combo_id,atr_pct,ema50_slope,va_slope,pf,mdd,win_rate,ev_per_trade,n_trades,score
1,0.01,0.002,0.003,0.0,0.0,0.0,-0.007744,2,-999.0
2,0.01,0.002,0.005,0.0,0.0,0.0,-0.007744,2,-999.0
3,0.01,0.002,0.007,0.0,0.0,0.0,-0.007744,2,-999.0
4,0.01,0.003,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
5,0.01,0.003,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
6,0.01,0.003,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
7,0.01,0.004,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
8,0.01,0.004,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
9,0.01,0.004,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
10,0.01,0.005,0.003,inf,0.0,0.0,0.0,0,nan
11,0.01,0.005,0.005,inf,0.0,0.0,0.0,0,nan
12,0.01,0.005,0.007,inf,0.0,0.0,0.0,0,nan
13,0.012,0.002,0.003,0.0,0.0,0.0,-0.007744,2,-999.0
14,0.012,0.002,0.005,0.0,0.0,0.0,-0.007744,2,-999.0
15,0.012,0.002,0.007,0.0,0.0,0.0,-0.007744,2,-999.0
16,0.012,0.003,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
17,0.012,0.003,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
18,0.012,0.003,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
19,0.012,0.004,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
20,0.012,0.004,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
21,0.012,0.004,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
22,0.012,0.005,0.003,inf,0.0,0.0,0.0,0,nan
23,0.012,0.005,0.005,inf,0.0,0.0,0.0,0,nan
24,0.012,0.005,0.007,inf,0.0,0.0,0.0,0,nan
25,0.015,0.002,0.003,0.0,0.0,0.0,-0.007744,2,-999.0
26,0.015,0.002,0.005,0.0,0.0,0.0,-0.007744,2,-999.0
27,0.015,0.002,0.007,0.0,0.0,0.0,-0.007744,2,-999.0
28,0.015,0.003,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
29,0.015,0.003,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
30,0.015,0.003,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
31,0.015,0.004,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
32,0.015,0.004,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
33,0.015,0.004,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
34,0.015,0.005,0.003,inf,0.0,0.0,0.0,0,nan
35,0.015,0.005,0.005,inf,0.0,0.0,0.0,0,nan
36,0.015,0.005,0.007,inf,0.0,0.0,0.0,0,nan
37,0.018,0.002,0.003,0.0,0.0,0.0,-0.007744,2,-999.0
38,0.018,0.002,0.005,0.0,0.0,0.0,-0.007744,2,-999.0
39,0.018,0.002,0.007,0.0,0.0,0.0,-0.007744,2,-999.0
40,0.018,0.003,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
41,0.018,0.003,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
42,0.018,0.003,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
43,0.018,0.004,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
44,0.018,0.004,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
45,0.018,0.004,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
46,0.018,0.005,0.003,inf,0.0,0.0,0.0,0,nan
47,0.018,0.005,0.005,inf,0.0,0.0,0.0,0,nan
48,0.018,0.005,0.007,inf,0.0,0.0,0.0,0,nan
49,0.02,0.002,0.003,0.0,0.0,0.0,-0.007744,2,-999.0
50,0.02,0.002,0.005,0.0,0.0,0.0,-0.007744,2,-999.0
51,0.02,0.002,0.007,0.0,0.0,0.0,-0.007744,2,-999.0
52,0.02,0.003,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
53,0.02,0.003,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
54,0.02,0.003,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
55,0.02,0.004,0.003,0.3599,0.0,0.5,-0.004811,2,-999.0
56,0.02,0.004,0.005,0.3599,0.0,0.5,-0.004811,2,-999.0
57,0.02,0.004,0.007,0.3599,0.0,0.5,-0.004811,2,-999.0
58,0.02,0.005,0.003,inf,0.0,0.0,0.0,0,nan
59,0.02,0.005,0.005,inf,0.0,0.0,0.0,0,nan
60,0.02,0.005,0.007,inf,0.0,0.0,0.0,0,nan
