combo_id,ATR_BUFFER,MIN_SL_PCT,vwap_sigma_entry,pf,mdd,win_rate,ev_per_trade,n_trades,score,pass,binding_rate_pct,sl_n_calls,sl_raw_bound,sl_min_clamp_bound
1,1.0,0.01,2.0,1.3133,0.0116,0.3333,0.002423,3,-999.0,False,66.67,6,2,4
2,1.0,0.012,2.0,1.7546,0.0136,0.3333,0.004368,3,-999.0,False,80.0,5,1,4
3,1.0,0.015,2.0,1.4962,0.0166,0.3333,0.003368,3,-999.0,False,80.0,5,1,4
4,1.0,0.018,2.0,1.3573,0.0187,0.3333,0.002674,3,-999.0,False,100.0,5,0,5
5,1.0,0.022,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,100.0,5,0,5
6,1.5,0.01,2.0,0.0,0.0234,0.0,-0.011722,2,-999.0,False,50.0,6,3,3
7,1.5,0.012,2.0,0.0,0.0174,0.0,-0.008682,2,-999.0,False,80.0,5,1,4
8,1.5,0.015,2.0,0.0,0.0204,0.0,-0.010182,2,-999.0,False,80.0,5,1,4
9,1.5,0.018,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,80.0,5,1,4
10,1.5,0.022,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,80.0,5,1,4
11,2.0,0.01,2.0,0.0,0.0154,0.0,-0.007682,2,-999.0,False,40.0,5,3,2
12,2.0,0.012,2.0,0.0,0.0174,0.0,-0.008682,2,-999.0,False,60.0,5,2,3
13,2.0,0.015,2.0,0.0,0.0204,0.0,-0.010182,2,-999.0,False,80.0,5,1,4
14,2.0,0.018,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,80.0,5,1,4
15,2.0,0.022,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,80.0,5,1,4
16,2.5,0.01,2.0,0.0,0.0187,0.0,-0.00935,2,-999.0,False,20.0,5,4,1
17,2.5,0.012,2.0,0.0,0.0187,0.0,-0.00935,2,-999.0,False,20.0,5,4,1
18,2.5,0.015,2.0,0.0,0.0204,0.0,-0.010182,2,-999.0,False,40.0,5,3,2
19,2.5,0.018,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,80.0,5,1,4
20,2.5,0.022,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,80.0,5,1,4
21,2.8,0.01,2.0,0.0,0.0208,0.0,-0.010375,2,-999.0,False,20.0,5,4,1
22,2.8,0.012,2.0,0.0,0.0208,0.0,-0.010375,2,-999.0,False,20.0,5,4,1
23,2.8,0.015,2.0,0.0,0.0208,0.0,-0.010375,2,-999.0,False,20.0,5,4,1
24,2.8,0.018,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,60.0,5,2,3
25,2.8,0.022,2.0,0.0,0.0224,0.0,-0.011223,2,-999.0,False,80.0,5,1,4
