combo_id,ATR_BUFFER,MIN_SL_PCT,CHANDELIER_MULT,pf,mdd,win_rate,ev_per_trade,n_trades,score,pass
1,0.1,0.01,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
2,0.1,0.01,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
3,0.1,0.01,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
4,0.1,0.01,3.5,0.0279,0.0162,0.5,-0.007871,2,-999.0,False
5,0.1,0.012,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
6,0.1,0.012,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
7,0.1,0.012,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
8,0.1,0.012,3.5,0.0279,0.0162,0.5,-0.007871,2,-999.0,False
9,0.1,0.015,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
10,0.1,0.015,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
11,0.1,0.015,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
12,0.1,0.015,3.5,0.0272,0.0166,0.5,-0.008074,2,-999.0,False
13,0.1,0.018,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
14,0.1,0.018,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
15,0.1,0.018,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
16,0.1,0.018,3.5,0.0238,0.019,0.5,-0.009249,2,-999.0,False
17,0.2,0.01,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
18,0.2,0.01,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
19,0.2,0.01,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
20,0.2,0.01,3.5,0.0265,0.017,0.5,-0.008292,2,-999.0,False
21,0.2,0.012,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
22,0.2,0.012,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
23,0.2,0.012,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
24,0.2,0.012,3.5,0.0265,0.017,0.5,-0.008292,2,-999.0,False
25,0.2,0.015,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
26,0.2,0.015,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
27,0.2,0.015,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
28,0.2,0.015,3.5,0.0265,0.017,0.5,-0.008292,2,-999.0,False
29,0.2,0.018,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
30,0.2,0.018,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
31,0.2,0.018,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
32,0.2,0.018,3.5,0.0238,0.019,0.5,-0.009249,2,-999.0,False
33,0.3,0.01,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
34,0.3,0.01,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
35,0.3,0.01,3.0,0.3599,0.015,0.5,-0.004811,2,-999.0,False
36,0.3,0.01,3.5,0.0253,0.0179,0.5,-0.008714,2,-999.0,False
37,0.3,0.012,2.0,2.1296,0.0072,0.5,0.004065,2,-999.0,False
38,0.3,0.012,2.5,0.9328,0.0111,0.5,-0.000373,2,-999.0,False
