ts_ms,open,high,low,close,volume,turnover
1679580000000,1.2715,1.322,1.22,1.2955,2347729.6,2980394.86015
1679583600000,1.2955,1.4475,1.244,1.329,52592058.8,71251320.43245
1679587200000,1.329,1.361,1.211,1.3065,63210050.6,80665718.7441
1679590800000,1.3065,1.331,1.269,1.289,37606611.4,48962159.21515
1679594400000,1.289,1.3475,1.277,1.329,23409639.3,30750897.2775
1679598000000,1.329,1.4325,1.322,1.4315,31878297.3,44062124.72485
1679601600000,1.4315,1.493,1.3865,1.4185,44749785.5,64628653.13265
1679605200000,1.4185,1.4755,1.387,1.4685,29096004.8,41610062.275
1679608800000,1.4685,1.4715,1.3515,1.381,29351327,41040413.2782
1679612400000,1.381,1.401,1.3065,1.321,27781427.7,37427156.7636
1679616000000,1.321,1.403,1.321,1.3785,24037185.3,32919729.6334
1679619600000,1.3785,1.434,1.3705,1.4175,19108785.8,26752695.0158
1679623200000,1.4175,1.4295,1.391,1.3985,13102777.2,18492132.28885
1679626800000,1.3985,1.4165,1.3715,1.401,10789738.7,15040870.78235
1679630400000,1.401,1.401,1.336,1.3665,13654140,18647701.65445
1679634000000,1.3665,1.3945,1.3555,1.392,7157234.4,9834375.08385
1679637600000,1.392,1.429,1.383,1.417,13688651,19322531.35525
1679641200000,1.417,1.4935,1.407,1.483,28193386.5,41203346.2299
1679644800000,1.483,1.5675,1.483,1.523,42621427.3,64996230.818
1679648400000,1.523,1.5485,1.466,1.479,31597617.4,47631103.48475
1679652000000,1.479,1.509,1.455,1.504,25318612.3,37425585.84385
1679655600000,1.504,1.511,1.277,1.4135,43591679.4,61609754.39385
1679659200000,1.4135,1.465,1.3975,1.4335,30881726.4,44193332.56025
1679662800000,1.4335,1.44,1.365,1.4155,27218943.2,38320316.64475
1679666400000,1.4155,1.457,1.366,1.3725,31479230.5,44570577.45195
1679670000000,1.3725,1.3865,1.3345,1.379,27570216.5,37597463.46865
1679673600000,1.379,1.379,1.314,1.3265,24567774.3,33115806.7286
1679677200000,1.3265,1.3355,1.241,1.275,50061378.7,63956103.1907
1679680800000,1.275,1.3055,1.263,1.2955,22215404.2,28612784.48085
1679684400000,1.2955,1.321,1.2765,1.3055,14227429.5,18511352.3652
1679688000000,1.3055,1.306,1.209,1.241,39765867.7,49405254.8491
1679691600000,1.241,1.2595,1.1685,1.2345,42800806.2,51985498.59635
1679695200000,1.2345,1.253,1.2245,1.2445,13915900.1,17253658.516
1679698800000,1.2445,1.2885,1.2395,1.2735,20462222.7,25974392.05195
1679702400000,1.2735,1.299,1.2315,1.2945,18150447.4,22902566.56925
1679706000000,1.2945,1.309,1.27,1.2895,14531643.7,18714310.83135
1679709600000,1.2895,1.316,1.2735,1.279,13271738.3,17180653.79245
1679713200000,1.279,1.2815,1.2435,1.2605,12821215,16189322.90475
1679716800000,1.2605,1.2705,1.244,1.2475,10510816.1,13210276.4912
1679720400000,1.2475,1.2665,1.195,1.219,17736511.5,21830947.28425
1679724000000,1.219,1.2385,1.1795,1.2335,16601890.6,20148164.6535
1679727600000,1.2335,1.2565,1.224,1.2335,10116552.3,12542799.84395
1679731200000,1.2335,1.236,1.1955,1.211,17855616.4,21679720.23905
1679734800000,1.211,1.2315,1.183,1.222,14835689,17923234.4504
1679738400000,1.222,1.251,1.207,1.24,13956437.7,17167199.1559
1679742000000,1.24,1.2685,1.231,1.2415,17106094.4,21373878.8246
1679745600000,1.2415,1.2585,1.2245,1.2545,14119438.5,17512404.2447
1679749200000,1.2545,1.2785,1.238,1.2655,16576886.6,20887170.92105
1679752800000,1.2655,1.272,1.2305,1.2405,13892492.9,17362528.489
1679756400000,1.2405,1.2685,1.2315,1.256,12654834.3,15828487.2059
1679760000000,1.256,1.286,1.247,1.2675,15086714.6,19123821.54645
1679763600000,1.2675,1.2745,1.23,1.236,17318882.1,21605076.3585
1679767200000,1.236,1.2485,1.2085,1.2285,15348501,18924193.4649
1679770800000,1.2285,1.229,1.1845,1.189,28564361.2,34475754.8538
1679774400000,1.189,1.2095,1.178,1.1995,12902143.3,15470897.8642
1679778000000,1.1995,1.2155,1.1875,1.202,12545002.3,15094411.67775
1679781600000,1.202,1.2225,1.1985,1.2195,7990261.2,9708394.5791
1679785200000,1.2195,1.2325,1.21,1.218,6536213.8,7990369.3417
1679788800000,1.218,1.2385,1.202,1.223,10210636.7,12450239.81855
1679792400000,1.223,1.2355,1.215,1.2355,6246234.8,7652724.94625
1679796000000,1.2355,1.2375,1.2255,1.229,3719891.3,4577775.6374
1679799600000,1.229,1.232,1.2125,1.2235,5717548.6,6987725.248
1679803200000,1.2235,1.228,1.2035,1.216,6370556.7,7736637.2314
1679806800000,1.216,1.2315,1.2065,1.225,4829023.2,5885074.10885
1679810400000,1.225,1.2525,1.22,1.2515,8831578,10929145.8626
1679814000000,1.2515,1.2745,1.2475,1.2635,16333413.6,20607462.6818
1679817600000,1.2635,1.315,1.263,1.3045,23765607.4,30654507.863
1679821200000,1.3045,1.3115,1.285,1.297,15209474.2,19737248.44345
1679824800000,1.297,1.3005,1.2795,1.289,11731191,15133447.31745
1679828400000,1.289,1.305,1.265,1.2935,16255810.2,20885390.28815
1679832000000,1.2935,1.3035,1.279,1.2925,14142206,18266209.4648
1679835600000,1.2925,1.346,1.288,1.342,24054983.9,31766347.08985
1679839200000,1.342,1.3485,1.2925,1.305,23898540.7,31514518.75775
1679842800000,1.305,1.3205,1.2945,1.3035,12880654.6,16833163.69745
1679846400000,1.3035,1.31,1.272,1.279,15334732.4,19815310.14575
1679850000000,1.279,1.2935,1.275,1.2935,8465050.5,10884695.22525
1679853600000,1.2935,1.2985,1.278,1.2845,8456063.5,10877637.8581
1679857200000,1.2845,1.29,1.2755,1.285,6601990.8,8472593.21765
1679860800000,1.285,1.295,1.23,1.27,20002615.6,25314781.4396
1679864400000,1.27,1.271,1.251,1.2615,7865807.9,9907109.40865
1679868000000,1.2615,1.283,1.2575,1.2795,10175322.5,12960649.23555
1679871600000,1.2795,1.2945,1.278,1.283,6898868.5,8870848.7016
1679875200000,1.283,1.321,1.2805,1.3175,17223406.9,22531636.03035
1679878800000,1.3175,1.3275,1.287,1.291,12756520.3,16625973.86155
1679882400000,1.291,1.2955,1.2675,1.2785,12003912.8,15371812.64575
1679886000000,1.2785,1.2925,1.277,1.288,5626652.7,7239894.76855
1679889600000,1.288,1.297,1.2755,1.283,5488104.4,7060821.37505
1679893200000,1.283,1.2855,1.2465,1.2555,13109874.7,16571002.8562
1679896800000,1.2555,1.267,1.2465,1.2655,6902858.8,8678690.4904
1679900400000,1.2655,1.269,1.2515,1.2585,5208166.5,6564598.54125
1679904000000,1.2585,1.269,1.2475,1.2655,7493918.5,9442186.27155
1679907600000,1.2655,1.2775,1.259,1.273,7234368,9187535.8966
1679911200000,1.273,1.2755,1.259,1.267,5525442,7003722.0256
1679914800000,1.267,1.2765,1.254,1.2615,8290918.4,10490335.27055
1679918400000,1.2615,1.265,1.231,1.242,19811226.9,24717229.65885
1679922000000,1.242,1.2515,1.224,1.2365,16236585.5,20121021.03915
1679925600000,1.2365,1.245,1.2025,1.2025,22922661.4,28026437.1122
1679929200000,1.2025,1.2105,1.1595,1.205,38802404.7,46191930.5234
1679932800000,1.205,1.228,1.1925,1.2,22068768.5,26727613.77435
1679936400000,1.2,1.2045,1.176,1.1785,17195526.3,20447400.33435
1679940000000,1.1785,1.198,1.174,1.1895,12223966.6,14523360.83665
1679943600000,1.1895,1.1965,1.125,1.151,28508300.8,33163910.01255
1679947200000,1.151,1.1595,1.113,1.1415,36365149.3,41277659.0044
1679950800000,1.1415,1.1555,1.126,1.14,11947334.7,13677662.1161
1679954400000,1.14,1.1535,1.135,1.1505,7605146.1,8709371.2517
1679958000000,1.1505,1.168,1.1465,1.165,7373052.5,8547241.25705
1679961600000,1.165,1.1655,1.128,1.1365,11319483.1,12956424.87645
1679965200000,1.1365,1.149,1.107,1.1375,16177680.2,18297774.1464
1679968800000,1.1375,1.145,1.1325,1.142,5171420.4,5885946.33585
1679972400000,1.142,1.1425,1.12,1.129,6746801.2,7613617.7569
1679976000000,1.129,1.139,1.114,1.134,8515726.5,9589730.449
1679979600000,1.134,1.148,1.1305,1.1475,7374405.7,8407602.32465
1679983200000,1.1475,1.158,1.1435,1.152,7590668.9,8742797.03685
1679986800000,1.152,1.159,1.137,1.1415,6109597.9,7015718.97965
1679990400000,1.1415,1.15,1.136,1.1485,6634995,7580420.76955
1679994000000,1.1485,1.152,1.1295,1.1325,7281061.9,8303614.7611
1679997600000,1.1325,1.1375,1.116,1.1275,10646744.5,11995608.10105
1680001200000,1.1275,1.1555,1.1255,1.1505,10406520.1,11875239.897
1680004800000,1.1505,1.1655,1.1425,1.152,13117043.8,15129431.15685
1680008400000,1.152,1.156,1.1355,1.144,10288699.2,11783888.16535
1680012000000,1.144,1.1785,1.1415,1.1605,17333137.8,20168500.358
1680015600000,1.1605,1.175,1.159,1.1725,9030366.8,10537502.2407
1680019200000,1.1725,1.1845,1.152,1.1585,14338875.3,16729475.03635
1680022800000,1.1585,1.1635,1.1415,1.1505,8949455.2,10305063.9697
1680026400000,1.1505,1.183,1.1475,1.1795,8903297,10381794.2831
1680030000000,1.1795,1.215,1.1755,1.2075,18642286,22207490.27385
1680033600000,1.2075,1.2155,1.1935,1.1985,9439021.3,11350734.59085
1680037200000,1.1985,1.2035,1.182,1.187,7123623.6,8480635.5229
1680040800000,1.187,1.196,1.182,1.1935,7182535.3,8539950.9755
1680044400000,1.1935,1.226,1.193,1.22,18278881.3,22170950.1687
1680048000000,1.22,1.243,1.214,1.2335,12836126.9,15742119.1314
1680051600000,1.2335,1.2475,1.223,1.227,11034659.5,13603830.34835
1680055200000,1.227,1.2335,1.2215,1.225,4794078.7,5881536.60405
1680058800000,1.225,1.2305,1.218,1.2275,3751815,4596098.31895
1680062400000,1.2275,1.2505,1.226,1.238,8248568.9,10216178.1439
1680066000000,1.238,1.2515,1.23,1.235,8204245.5,10176691.24095
1680069600000,1.235,1.264,1.227,1.2535,10800190.5,13488642.887
1680073200000,1.2535,1.261,1.246,1.2575,5267356.2,6597389.18655
1680076800000,1.2575,1.2775,1.2525,1.263,12174962.4,15416086.0167
1680080400000,1.263,1.2685,1.2525,1.253,6059494.8,7636774.13915
1680084000000,1.253,1.2595,1.2415,1.2465,5912891.4,7398392.32145
1680087600000,1.2465,1.249,1.2335,1.242,6583904.8,8162411.7856
1680091200000,1.242,1.247,1.222,1.238,7249915.5,8932852.7469
1680094800000,1.238,1.2415,1.2285,1.237,4764655.7,5882963.8259
1680098400000,1.237,1.247,1.1995,1.2025,13232480.3,16148497.9487
1680102000000,1.2025,1.2175,1.193,1.216,8505625.1,10271797.61135
1680105600000,1.216,1.2185,1.195,1.197,5742171.7,6930647.7966
1680109200000,1.197,1.2145,1.1965,1.207,4110262.1,4964400.9479
1680112800000,1.207,1.2255,1.206,1.2205,5701481.9,6935103.8228
1680116400000,1.2205,1.2295,1.214,1.2255,3765948,4602510.44345
1680120000000,1.2255,1.228,1.213,1.214,3480926.6,4244898.80675
1680123600000,1.214,1.225,1.2095,1.2195,3965196.8,4827472.38925
1680127200000,1.2195,1.2275,1.2005,1.2235,5599752.1,6799745.4587
1680130800000,1.2235,1.2335,1.221,1.2255,4187178.4,5137880.7765
1680134400000,1.2255,1.261,1.222,1.237,11203607.5,13894997.7226
1680138000000,1.237,1.313,1.2355,1.3035,37351302,47824840.941
1680141600000,1.3035,1.3475,1.301,1.3055,21967574.2,29040798.99495
1680145200000,1.3055,1.3115,1.2465,1.2915,22056459.6,28186233.4873
1680148800000,1.2915,1.307,1.2875,1.2995,5931793.3,7698316.8845
1680152400000,1.2995,1.304,1.284,1.297,7340687.7,9483466.8625
1680156000000,1.297,1.364,1.2935,1.35,36889306.9,49416512.07405
1680159600000,1.35,1.375,1.337,1.368,16344148.5,22197265.2406
1680163200000,1.368,1.4325,1.3635,1.379,39389093.2,55219153.58695
1680166800000,1.379,1.398,1.353,1.3895,19453205.8,26769256.36685
1680170400000,1.3895,1.396,1.359,1.3685,13515873.1,18596493.0388
1680174000000,1.3685,1.3975,1.364,1.381,12179995.4,16849678.57435
1680177600000,1.381,1.3955,1.3665,1.378,11847288.8,16350648.2631
1680181200000,1.378,1.378,1.334,1.3505,19378151.5,26269927.3562
1680184800000,1.3505,1.36,1.3365,1.3495,16215402.2,21846721.8982
1680188400000,1.3495,1.359,1.3245,1.332,13385592.2,17906182.16025
1680192000000,1.332,1.344,1.3075,1.3325,15839988.5,20990017.1074
1680195600000,1.3325,1.334,1.301,1.3235,13204760.9,17397099.1262
1680199200000,1.3235,1.3435,1.319,1.3345,8504914.7,11340459.7562
1680202800000,1.3345,1.354,1.3295,1.344,8988680.2,12087786.0431
1680206400000,1.344,1.3945,1.342,1.379,14088726.9,19317815.60125
1680210000000,1.379,1.391,1.37,1.3855,8617597.9,11902212.9226
1680213600000,1.3855,1.3895,1.352,1.3565,11700121.6,16007587.93115
1680217200000,1.3565,1.386,1.3535,1.38,7124408.8,9764615.1993
1680220800000,1.38,1.3845,1.3555,1.3805,9685402.1,13280614.67175
1680224400000,1.3805,1.4205,1.378,1.407,18303707.5,25728376.13065
1680228000000,1.407,1.4165,1.393,1.399,8367101.6,11738441.18385
1680231600000,1.399,1.446,1.3985,1.423,21115221.2,30128278.72025
1680235200000,1.423,1.4245,1.408,1.4195,8769512.6,12425376.7887
1680238800000,1.4195,1.433,1.3935,1.398,11467548.9,16225128.0718
1680242400000,1.398,1.4035,1.375,1.382,11352381,15751184.58125
1680246000000,1.382,1.3865,1.3245,1.3575,20093360.5,27242108.20165
1680249600000,1.3575,1.364,1.339,1.3525,10460770,14141161.56125
1680253200000,1.3525,1.3695,1.34,1.349,9793562,13266166.0233
1680256800000,1.349,1.364,1.3455,1.347,4989890.2,6760392.05775
1680260400000,1.347,1.361,1.332,1.356,7613251.4,10261399.7317
1680264000000,1.356,1.3805,1.343,1.372,10765364,14702945.1928
1680267600000,1.372,1.413,1.3685,1.386,14294112.4,19894173.2223
1680271200000,1.386,1.4,1.381,1.3835,9407588.5,13075825.7352
1680274800000,1.3835,1.3875,1.36,1.3705,9939935.2,13617337.8569
1680278400000,1.3705,1.3755,1.3525,1.375,5793421,7903860.97415
1680282000000,1.375,1.3825,1.3695,1.382,4419750.8,6083396.67205
1680285600000,1.382,1.3825,1.37,1.38,3604115.8,4964557.9504
1680289200000,1.38,1.3905,1.372,1.383,5807250.3,8026800.95025
1680292800000,1.383,1.39,1.3735,1.3745,5072009.7,7011694.63635
1680296400000,1.3745,1.408,1.3735,1.395,7209966.8,10058504.75405
1680300000000,1.395,1.407,1.392,1.401,5530304,7734994.9464
1680303600000,1.401,1.408,1.387,1.3895,4363962.3,6101442.94175
1680307200000,1.3895,1.403,1.3735,1.378,6333617.5,8797381.58015
1680310800000,1.378,1.3845,1.3595,1.3815,5149799.5,7067800.80945
1680314400000,1.3815,1.391,1.363,1.3695,3827777.2,5268490.41655
1680318000000,1.3695,1.375,1.353,1.3565,3954387.5,5397526.6391
1680321600000,1.3565,1.3675,1.355,1.358,3535232.4,4811934.8647
1680325200000,1.358,1.36,1.339,1.34,7225279.3,9733102.5392
1680328800000,1.34,1.3435,1.3165,1.3395,10163038.1,13528986.1896
1680332400000,1.3395,1.3435,1.3255,1.335,5277703.9,7049038.46335
1680336000000,1.335,1.3375,1.318,1.328,6603890.1,8766981.36595
1680339600000,1.328,1.34,1.3245,1.3315,2867827.8,3825084.4278
1680343200000,1.3315,1.3465,1.3225,1.3415,5674451.8,7567586.967
1680346800000,1.3415,1.3445,1.3315,1.3345,3422860.4,4579277.133
1680350400000,1.3345,1.345,1.3265,1.344,3986073.5,5331685.70335
1680354000000,1.344,1.3445,1.3295,1.334,3024882.8,4039844.2616
1680357600000,1.334,1.3365,1.3045,1.312,9525572.7,12544488.6126
1680361200000,1.312,1.322,1.267,1.2915,17547558.7,22654070.0044
1680364800000,1.2915,1.294,1.2565,1.2685,11414741.7,14586090.62415
1680368400000,1.2685,1.277,1.2645,1.2745,5815832.7,7396081.64645
1680372000000,1.2745,1.2825,1.2695,1.279,4760565.4,6078725.02605
1680375600000,1.279,1.284,1.261,1.269,5770743.9,7339163.06125
1680379200000,1.269,1.298,1.268,1.2845,7766473,9976641.6056
1680382800000,1.2845,1.2985,1.284,1.2965,3098686.1,4005362.5985
1680386400000,1.2965,1.3025,1.291,1.2935,3177469.6,4117117.41105
1680390000000,1.2935,1.299,1.288,1.293,3063600,3961090.35245
1680393600000,1.293,1.2985,1.267,1.271,7181203.1,9194747.3327
1680397200000,1.271,1.2795,1.268,1.27,4272109.5,5440209.15465
1680400800000,1.27,1.278,1.264,1.269,4466556.7,5680657.8115
1680404400000,1.269,1.2775,1.2665,1.2745,3202615.5,4075947.84425
1680408000000,1.2745,1.275,1.225,1.2425,14525027.3,18126824.12525
1680411600000,1.2425,1.2535,1.2425,1.252,4236657.7,5292131.17015
1680415200000,1.252,1.2705,1.249,1.269,4330635.9,5459177.25295
1680418800000,1.269,1.27,1.254,1.264,3541270.3,4468769.0061
1680422400000,1.264,1.2775,1.2535,1.27,5465350.5,6915928.7173
