ts_ms,open,high,low,close,volume,turnover
1672531200000,10.9,10.905,10.815,10.845,60627.1,658052.1145
1672534800000,10.845,10.855,10.815,10.84,47920.5,519232.859
1672538400000,10.84,10.885,10.82,10.84,40172.8,436197.836
1672542000000,10.84,10.84,10.79,10.815,54538.5,589662.8935
1672545600000,10.815,10.815,10.695,10.735,102513.8,1101595.7515
1672549200000,10.735,10.75,10.69,10.735,69320.7,743145.002
1672552800000,10.735,10.765,10.73,10.74,28539.8,306757.8215
1672556400000,10.74,10.74,10.68,10.705,59875.9,640975.569
1672560000000,10.705,10.705,10.655,10.665,66295.4,707956.0775
1672563600000,10.665,10.715,10.645,10.71,40624.8,433785.2345
1672567200000,10.71,10.71,10.66,10.695,69112.6,738460.688
1672570800000,10.695,10.745,10.685,10.745,54605.1,585049.9285
1672574400000,10.745,10.765,10.72,10.76,47903.4,514717.111
1672578000000,10.76,10.77,10.71,10.73,53089.7,569957.491
1672581600000,10.73,10.77,10.72,10.735,52639,565397.608
1672585200000,10.735,10.755,10.705,10.755,40425.3,433610.5365
1672588800000,10.755,10.765,10.735,10.765,26756.5,287662.819
1672592400000,10.765,10.84,10.755,10.835,52554.5,567727.589
1672596000000,10.835,10.875,10.825,10.85,62243.2,675637.2935
1672599600000,10.85,10.905,10.85,10.88,41675,453245.4525
1672603200000,10.88,10.935,10.86,10.87,94186.2,1026330.3405
1672606800000,10.87,10.895,10.845,10.87,31811.1,345569.299
1672610400000,10.87,10.895,10.84,10.89,70917.9,770571.578
1672614000000,10.89,10.92,10.84,10.86,166772.9,1814849.1705
1672617600000,10.86,10.88,10.795,10.805,62695.1,679949.7905
1672621200000,10.805,10.805,10.695,10.735,207381.6,2227396.648
1672624800000,10.735,10.785,10.725,10.765,29711.7,319734.4715
1672628400000,10.765,10.91,10.76,10.84,292316.2,3172056.735
1672632000000,10.84,10.965,10.825,10.85,302585,3293983.3025
1672635600000,10.85,10.86,10.825,10.86,32382.3,351154.5235
1672639200000,10.86,10.89,10.855,10.87,23713.1,257925.022
1672642800000,10.87,11.275,10.87,11.12,757621,8419602.4255
1672646400000,11.12,11.19,11.105,11.145,84318.3,940736.5735
1672650000000,11.145,11.18,11.115,11.13,41409.2,461855.429
1672653600000,11.13,11.175,11.095,11.155,52022.4,579322.386
1672657200000,11.155,11.16,11.1,11.14,48408.1,538948.584
1672660800000,11.14,11.21,11.135,11.155,52260.7,583916.238
1672664400000,11.155,11.165,11.11,11.135,62205.6,692515.4885
1672668000000,11.135,11.16,11.11,11.145,60502.6,673852.265
1672671600000,11.145,11.205,11.135,11.18,77559.3,866281.073
1672675200000,11.18,11.21,11.155,11.16,33816.9,378237.0485
1672678800000,11.16,11.17,11.125,11.145,25254.5,281638.221
1672682400000,11.145,11.205,11.145,11.17,12304.8,137534.7235
1672686000000,11.17,11.2,11.155,11.19,59096.3,660584.484
1672689600000,11.19,11.19,11.14,11.175,33996.4,379497.8525
1672693200000,11.175,11.275,11.175,11.235,59903.9,672497.318
1672696800000,11.235,11.235,11.065,11.12,89286.7,995439.02
1672700400000,11.12,11.17,11.09,11.155,61502.8,684984.1025
1672704000000,11.155,11.195,11.1,11.17,69401.6,773700.7925
1672707600000,11.17,11.175,11.065,11.08,97888.3,1086428.4225
1672711200000,11.08,11.175,11.07,11.1,260700.6,2899280.0885
1672714800000,11.1,11.14,11.06,11.14,235928.3,2618618.002
1672718400000,11.14,11.195,11.135,11.185,48605.7,542838.519
1672722000000,11.185,11.33,11.185,11.325,109853.2,1235632.583
1672725600000,11.325,11.35,11.24,11.255,62524.4,707201.2995
1672729200000,11.255,11.285,11.235,11.27,27074.3,304881.2475
1672732800000,11.27,11.295,11.155,11.21,97705.9,1096176.9495
1672736400000,11.21,11.3,11.205,11.28,36496.2,410621.0295
1672740000000,11.28,11.335,11.265,11.31,64354.1,727223.232
1672743600000,11.31,11.36,11.265,11.28,63657.6,720281.1325
1672747200000,11.28,11.405,11.245,11.3,136132,1543157.4475
1672750800000,11.3,11.38,11.3,11.355,43258,490660.1005
1672754400000,11.355,11.435,11.235,11.26,207793.1,2358224.5655
1672758000000,11.26,11.405,11.26,11.405,90689.3,1025677.9495
1672761600000,11.405,11.55,11.32,11.335,233386.8,2671912.505
1672765200000,11.335,11.435,11.325,11.35,102164.2,1162150.309
1672768800000,11.35,11.375,11.285,11.315,35360,400391.0835
1672772400000,11.315,11.315,11.255,11.3,51894,585519.737
1672776000000,11.3,11.36,11.295,11.315,85832.3,972518.515
1672779600000,11.315,11.355,11.315,11.335,40140.4,454790
1672783200000,11.335,11.355,11.295,11.34,35897.7,406472.827
1672786800000,11.34,11.39,11.32,11.38,63814.9,724724.3975
1672790400000,11.38,11.415,11.34,11.38,74857.8,851515.806
1672794000000,11.38,11.59,11.38,11.52,163016.5,1875320.3895
1672797600000,11.52,11.72,11.5,11.675,173373.7,2013538.5725
1672801200000,11.675,11.855,11.675,11.815,323779.5,3811137.083
1672804800000,11.815,11.855,11.725,11.735,69580.8,820463.513
1672808400000,11.735,11.81,11.735,11.805,51838.3,610453.2075
1672812000000,11.805,11.91,11.785,11.905,61122,723911.6095
1672815600000,11.905,11.955,11.81,11.895,168879.7,2009423.305
1672819200000,11.895,11.975,11.795,11.85,91670,1088871.1955
1672822800000,11.85,11.875,11.8,11.82,35399.8,419108.8885
1672826400000,11.82,11.85,11.805,11.84,30902.6,365530.4735
1672830000000,11.84,11.84,11.69,11.765,96015.9,1128784.462
1672833600000,11.765,11.855,11.76,11.78,99999.4,1180589.5455
1672837200000,11.78,11.875,11.77,11.865,30891.7,365234.3415
1672840800000,11.865,11.94,11.82,11.875,96081.1,1141652.093
1672844400000,11.875,12.135,11.75,12.1,354580.6,4246194.862
1672848000000,12.1,12.155,11.975,11.975,187740.7,2264550.3685
1672851600000,11.975,12.115,11.945,12.06,161776.9,1950470.124
1672855200000,12.06,12.285,12.035,12.155,214358.6,2610703.7335
1672858800000,12.155,12.195,11.965,12.135,239409.9,2893907.906
1672862400000,12.135,12.135,11.925,12.01,134656.8,1616423.3995
1672866000000,12.01,12.075,11.95,11.965,127759.4,1534008.9715
1672869600000,11.965,12.05,11.96,12.005,75410.6,905626.9345
1672873200000,12.005,12.085,11.995,12.075,46013.4,554873.499
1672876800000,12.075,12.145,11.99,12.015,69983.6,845352.185
1672880400000,12.015,12.11,11.955,12.05,48316.5,581124.708
1672884000000,12.05,12.085,11.995,12.06,24818,298850.309
1672887600000,12.06,12.12,12.045,12.1,37472.6,452768.7955
1672891200000,12.1,12.175,12.08,12.09,78557.3,952400.604
1672894800000,12.09,12.135,12.045,12.075,67621.4,817635.9685
1672898400000,12.075,12.115,11.99,12.03,58908.1,709210.235
1672902000000,12.03,12.035,11.95,11.99,52034.1,623781.483
1672905600000,11.99,12.015,11.885,11.915,135769.7,1621270.6085
1672909200000,11.915,11.935,11.84,11.895,119658.9,1422742.2625
1672912800000,11.895,11.945,11.86,11.92,63935.8,761022.4985
1672916400000,11.92,11.93,11.775,11.895,122613.3,1454322.286
1672920000000,11.895,11.915,11.84,11.87,53713.8,637084.131
1672923600000,11.87,11.875,11.76,11.77,112257.9,1326491.1675
1672927200000,11.77,11.84,11.735,11.825,144936.6,1707542.538
1672930800000,11.825,11.885,11.765,11.77,147651.7,1747446.521
1672934400000,11.77,11.815,11.72,11.765,88148.1,1036629.63
1672938000000,11.765,11.77,11.71,11.72,64029.8,751632.072
1672941600000,11.72,11.79,11.72,11.79,74140.8,872338.3805
1672945200000,11.79,11.86,11.765,11.83,50564.7,597474.346
1672948800000,11.83,11.85,11.785,11.825,87502.4,1033975.995
1672952400000,11.825,11.84,11.785,11.795,44488.2,525547.593
1672956000000,11.795,11.82,11.745,11.76,46869.8,551996.3755
1672959600000,11.76,11.8,11.65,11.735,209019.4,2446868.509
1672963200000,11.735,11.81,11.68,11.8,120261.9,1414190.0565
1672966800000,11.8,11.815,11.74,11.745,42479.3,500667
1672970400000,11.745,11.75,11.68,11.73,61141.9,716176.231
1672974000000,11.73,11.73,11.68,11.685,13527.7,158352.927
1672977600000,11.685,11.705,11.57,11.635,197403.6,2295686.508
1672981200000,11.635,11.635,11.565,11.6,106282.2,1232486.196
1672984800000,11.6,11.615,11.495,11.515,112433.7,1298117.8625
1672988400000,11.515,11.54,11.475,11.53,110433.8,1270699.09
1672992000000,11.53,11.59,11.53,11.56,44816.8,518050.075
1672995600000,11.56,11.56,11.45,11.52,145140.9,1667853.9135
1672999200000,11.52,11.525,11.425,11.445,114407.5,1311712.938
1673002800000,11.445,11.465,11.38,11.455,130689.3,1492663.922
1673006400000,11.455,11.455,11.4,11.42,72684.6,830198.312
1673010000000,11.42,11.585,11.35,11.49,567754.2,6502241.775
1673013600000,11.49,11.515,11.42,11.475,107044.2,1227478.0905
1673017200000,11.475,11.61,11.475,11.605,132397.1,1528784.5555
1673020800000,11.605,11.63,11.535,11.6,140898.7,1630642.8335
1673024400000,11.6,11.625,11.555,11.58,37543.8,434858.951
1673028000000,11.58,11.68,11.58,11.64,108085.5,1257775.4545
1673031600000,11.64,11.755,11.605,11.745,139208.5,1626729.893
1673035200000,11.745,11.785,11.635,11.65,119563.8,1400654.0445
1673038800000,11.65,11.72,11.645,11.675,82012.7,958816.6175
1673042400000,11.675,11.775,11.675,11.76,47532.8,557405.3675
1673046000000,11.76,11.815,11.74,11.78,99328.2,1169638.263
1673049600000,11.78,11.85,11.74,11.84,66894,788531.482
1673053200000,11.84,11.865,11.805,11.815,76439.7,904680.9605
1673056800000,11.815,11.845,11.805,11.815,33656,397959.5765
1673060400000,11.815,11.825,11.79,11.815,21446.8,253283.2325
1673064000000,11.815,11.815,11.77,11.77,24627.5,290307.7725
1673067600000,11.77,11.795,11.765,11.77,22153.5,260900.669
1673071200000,11.77,11.825,11.725,11.82,86948.9,1022383.4475
1673074800000,11.82,11.84,11.81,11.815,42534.6,503045.26
1673078400000,11.815,11.835,11.735,11.745,35366.9,416476.421
1673082000000,11.745,11.775,11.73,11.765,35355.9,415568.5405
1673085600000,11.765,11.765,11.735,11.74,20240.5,237847.058
1673089200000,11.74,11.74,11.7,11.715,24470.8,286707.7205
