ts_ms,open_interest
1672531200000,1007504.60000000
1672534800000,1004484.50000000
1672538400000,1018260.60000000
1672542000000,1012723.10000000
1672545600000,1012693.60000000
1672549200000,979857.70000000
1672552800000,983652.30000000
1672556400000,983008.80000000
1672560000000,996484.80000000
1672563600000,999179.20000000
1672567200000,1006939.20000000
1672570800000,1041204.50000000
1672574400000,1047208.40000000
1672578000000,1072797.10000000
1672581600000,1062239.00000000
1672585200000,1060414.70000000
1672588800000,1074185.39999999
1672592400000,1072906.70000000
1672596000000,1063946.10000000
1672599600000,1058968.89999999
1672603200000,1040443.40000000
1672606800000,1055042.70000000
1672610400000,1048201.60000000
1672614000000,1057617.60000000
1672617600000,1062567.30000000
1672621200000,1047020.40000000
1672624800000,1027051.70000000
1672628400000,1031814.70000000
1672632000000,1062138.30000000
1672635600000,1054910.00000000
1672639200000,1053361.89999999
1672642800000,1047427.00000000
1672646400000,979645.70000000
1672650000000,982005.30000000
1672653600000,1005514.50000000
1672657200000,1010605.40000000
1672660800000,1006127.20000000
1672664400000,1012937.50000000
1672668000000,1031536.90000000
1672671600000,1052595.89999999
1672675200000,1027393.20000000
1672678800000,1030472.80000000
1672682400000,1040936.70000000
1672686000000,1040562.40000000
1672689600000,1078247.80000000
1672693200000,1059450.50000000
1672696800000,1053433.30000000
1672700400000,1036622.90000000
1672704000000,1022478.90000000
1672707600000,1023205.30000000
1672711200000,1023242.70000000
1672714800000,1117583.30000000
1672718400000,1093792.39999999
1672722000000,1076631.60000000
1672725600000,1073097.60000000
1672729200000,1066713.70000000
1672732800000,1071342.30000000
1672736400000,1060712.80000000
1672740000000,1064448.60000000
1672743600000,1064500.50000000
1672747200000,1059037.89999999
1672750800000,1053547.00000000
1672754400000,1047377.40000000
1672758000000,994641.10000000
1672761600000,990475.90000000
1672765200000,1011991.30000000
1672768800000,989003.90000000
1672772400000,993344.20000000
1672776000000,989239.00000000
1672779600000,1007622.30000000
1672783200000,985493.60000000
1672786800000,978807.50000000
1672790400000,970677.80000000
1672794000000,980034.40000000
1672797600000,955374.70000000
1672801200000,970736.90000000
1672804800000,914225.40000000
1672808400000,927515.80000000
1672812000000,935788.50000000
1672815600000,938603.90000000
1672819200000,930806.30000000
1672822800000,952275.80000000
1672826400000,948440.10000000
1672830000000,955142.90000000
1672833600000,961110.90000000
1672837200000,968368.10000000
1672840800000,960291.70000000
1672844400000,971369.00000000
1672848000000,1010050.50000000
1672851600000,997607.50000000
1672855200000,1005536.00000000
1672858800000,1018030.20000000
1672862400000,993545.30000000
1672866000000,1018006.40000000
1672869600000,1019275.10000000
1672873200000,1002758.50000000
1672876800000,1008988.60000000
1672880400000,993649.90000000
1672884000000,994971.00000000
1672887600000,999645.00000000
1672891200000,1005143.10000000
1672894800000,996973.50000000
1672898400000,1004166.30000000
1672902000000,1008141.60000000
1672905600000,1004262.70000000
1672909200000,1043136.50000000
1672912800000,1010426.90000000
1672916400000,1028910.80000000
1672920000000,1041445.40000000
1672923600000,1044736.80000000
1672927200000,1041365.60000000
1672930800000,1050855.10000000
1672934400000,1039246.90000000
1672938000000,1029739.30000000
1672941600000,1045164.40000000
1672945200000,1029795.40000000
1672948800000,1025930.60000000
1672952400000,1022149.90000000
1672956000000,1010090.90000000
1672959600000,998772.30000000
1672963200000,991889.80000000
1672966800000,1009795.20000000
1672970400000,987957.50000000
1672974000000,975126.20000000
1672977600000,974730.00000000
1672981200000,953343.90000000
1672984800000,973690.90000000
1672988400000,963408.80000000
1672992000000,941945.50000000
1672995600000,941777.60000000
1672999200000,952653.80000000
1673002800000,1001815.00000000
1673006400000,988321.60000000
1673010000000,996889.60000000
1673013600000,934618.10000000
1673017200000,948221.40000000
1673020800000,957677.00000000
1673024400000,919255.50000000
1673028000000,930671.80000000
1673031600000,929486.90000000
1673035200000,949730.40000000
1673038800000,915541.00000000
1673042400000,948282.70000000
1673046000000,943385.80000000
1673049600000,963401.80000000
1673053200000,954213.20000000
1673056800000,1001479.50000000
1673060400000,999973.90000000
1673064000000,1001906.90000000
1673067600000,997659.60000000
1673071200000,995041.00000000
1673074800000,1007449.10000000
1673078400000,989199.20000000
1673082000000,982374.60000000
1673085600000,982589.10000000
1673089200000,984232.20000000
1673092800000,984752.70000000
1673096400000,983318.20000000
1673100000000,981390.70000000
1673103600000,986502.30000000
1673107200000,997343.00000000
1673110800000,992533.00000000
1673114400000,997424.50000000
1673118000000,1019151.60000000
1673121600000,1020243.70000000
1673125200000,984263.90000000
1673128800000,984388.20000000
1673132400000,957170.30000000
1673136000000,978958.50000000
1673139600000,973377.50000000
1673143200000,952944.00000000
1673146800000,962741.70000000
1673150400000,964920.70000000
1673154000000,969482.80000000
1673157600000,972800.40000000
1673161200000,977392.50000000
1673164800000,975010.60000000
1673168400000,967967.30000000
1673172000000,983854.30000000
1673175600000,989502.60000000
1673179200000,995100.00000000
1673182800000,994112.00000000
1673186400000,997781.80000000
1673190000000,988521.50000000
1673193600000,992561.10000000
1673197200000,976862.70000000
1673200800000,980141.20000000
1673204400000,972897.80000000
1673208000000,980607.00000000
1673211600000,979859.30000000
1673215200000,982067.70000000
1673218800000,983447.60000000
1673222400000,988260.30000000
1673226000000,990987.50000000
1673229600000,948585.70000000
1673233200000,925287.90000000
1673236800000,944086.80000000
1673240400000,922251.80000000
1673244000000,914493.50000000
1673247600000,912141.50000000
1673251200000,917948.70000000
1673254800000,941129.30000000
1673258400000,931921.20000000
1673262000000,912802.00000000
1673265600000,919166.70000000
1673269200000,913505.90000000
1673272800000,909808.90000000
1673276400000,898569.00000000
1673280000000,940414.40000000
1673283600000,966325.60000000
1673287200000,984965.10000000
1673290800000,988620.90000000
1673294400000,983073.00000000
1673298000000,979607.30000000
1673301600000,979997.90000000
1673305200000,970582.10000000
1673308800000,971282.70000000
1673312400000,974492.10000000
1673316000000,984502.60000000
1673319600000,978168.30000000
1673323200000,984997.10000000
1673326800000,1000282.00000000
1673330400000,965812.80000000
1673334000000,971343.80000000
1673337600000,948081.00000000
1673341200000,942009.60000000
1673344800000,944054.70000000
1673348400000,952027.50000000
1673352000000,948187.20000000
1673355600000,931623.70000000
1673359200000,910974.40000000
1673362800000,924594.60000000
1673366400000,978020.50000000
1673370000000,963084.70000000
1673373600000,987182.00000000
1673377200000,991037.00000000
1673380800000,993917.20000000
1673384400000,988572.40000000
1673388000000,968593.70000000
1673391600000,961198.80000000
1673395200000,972614.40000000
1673398800000,969794.30000000
1673402400000,948283.10000000
1673406000000,925325.60000000
1673409600000,907080.00000000
1673413200000,936078.90000000
1673416800000,931531.10000000
1673420400000,911968.40000000
1673424000000,929994.60000000
1673427600000,937509.10000000
1673431200000,932737.10000000
1673434800000,919930.30000000
1673438400000,911777.00000000
1673442000000,936359.00000000
1673445600000,950946.70000000
1673449200000,931771.90000000
1673452800000,918432.90000000
1673456400000,923808.90000000
1673460000000,923352.60000000
1673463600000,1284328.60000000
1673467200000,1489961.10000000
1673470800000,1540135.90000000
1673474400000,1499544.10000000
1673478000000,1612789.60000000
1673481600000,1572292.50000000
1673485200000,1534177.90000000
1673488800000,1548995.30000000
1673492400000,1565739.10000000
1673496000000,1602907.70000000
1673499600000,1624437.00000000
1673503200000,1609535.10000000
1673506800000,1564605.30000000
1673510400000,1620166.20000000
1673514000000,1614915.30000000
1673517600000,1566885.90000000
1673521200000,1728006.80000000
1673524800000,1626269.40000000
1673528400000,1590876.80000000
1673532000000,1516512.40000000
1673535600000,1621513.70000000
1673539200000,1646652.20000000
1673542800000,1649341.70000000
1673546400000,1527220.80000000
1673550000000,1514134.50000000
1673553600000,1515579.10000000
1673557200000,1510969.70000000
1673560800000,1471486.20000000
1673564400000,1444198.30000000
1673568000000,1516723.70000000
1673571600000,1439282.20000000
1673575200000,1426525.30000000
1673578800000,1425882.30000000
1673582400000,1447938.10000000
1673586000000,1453838.60000000
1673589600000,1380754.00000000
1673593200000,1437474.20000000
1673596800000,1451981.00000000
1673600400000,1499908.00000000
1673604000000,1487459.70000000
1673607600000,1491678.50000000
1673611200000,1483507.50000000
1673614800000,1422065.20000000
1673618400000,1428810.00000000
1673622000000,1461927.50000000
1673625600000,1469985.00000000
1673629200000,1454717.60000000
1673632800000,1464826.80000000
1673636400000,1454925.30000000
1673640000000,1508396.40000000
1673643600000,1575822.20000000
1673647200000,1473221.30000000
1673650800000,1404228.00000000
1673654400000,1376982.39999999
1673658000000,1345159.00000000
1673661600000,1365302.10000000
1673665200000,1334981.89999999
1673668800000,1379148.20000000
1673672400000,1330150.20000000
1673676000000,1238290.50000000
1673679600000,1242399.30000000
1673683200000,1178491.70000000
1673686800000,1174800.20000000
1673690400000,1012685.70000000
1673694000000,1024047.80000000
1673697600000,1026178.20000000
1673701200000,1038136.30000000
1673704800000,1123055.30000000
1673708400000,1035527.10000000
1673712000000,1042967.20000000
1673715600000,1071276.10000000
1673719200000,1055123.50000000
1673722800000,1036473.70000000
1673726400000,1035973.60000000
1673730000000,1050325.30000000
1673733600000,1045484.40000000
1673737200000,1116470.80000000
1673740800000,1142050.00000000
1673744400000,1071124.39999999
1673748000000,1053067.70000000
1673751600000,1035828.10000000
1673755200000,1041935.40000000
1673758800000,1054875.60000000
1673762400000,1060873.00000000
1673766000000,1041940.50000000
1673769600000,1021059.90000000
1673773200000,1002762.30000000
1673776800000,1017554.00000000
1673780400000,1034037.80000000
1673784000000,1021641.90000000
1673787600000,1038170.20000000
1673791200000,1065940.10000000
1673794800000,1060535.20000000
1673798400000,1111120.60000000
1673802000000,1053539.70000000
1673805600000,1045572.70000000
1673809200000,1131986.89999999
1673812800000,1038062.80000000
1673816400000,1024083.90000000
1673820000000,1032622.00000000
1673823600000,1018809.30000000
1673827200000,1052834.70000000
1673830800000,1024812.80000000
