ts_ms,open,high,low,close,volume,turnover
1672531200000,246,246.4,245.35,245.6,7422.37,1825104.627
1672534800000,245.6,245.85,245.25,245.75,2769.4,679874.8645
1672538400000,245.75,245.8,245.15,245.15,3872.87,950489.05
1672542000000,245.15,245.4,245,245.2,2939.55,720639.7905
1672545600000,245.2,245.2,243.55,243.6,9125.87,2229973.05
1672549200000,243.6,244.2,243.3,244,6547.6,1595996.84
1672552800000,244,244.25,243.8,243.8,2740.15,668539.207
1672556400000,243.8,244.1,243.6,243.95,2815.29,686526.7425
1672560000000,243.95,243.95,243,243.35,10437.15,2541219.868
1672563600000,243.35,244.35,243.3,244.3,3875.79,945007.771
1672567200000,244.3,244.35,243.9,244.15,5257.77,1283384.9055
1672570800000,244.15,244.45,244.05,244.2,2242.95,547866.3735
1672574400000,244.2,244.45,244,244.05,6492.11,1585596.499
1672578000000,244.05,244.35,243.8,244.05,4198.28,1024555.1645
1672581600000,244.05,244.25,243.9,243.9,1890.19,461396.5925
1672585200000,243.9,244.65,243.9,244.45,2905.79,709977.7025
1672588800000,244.45,244.95,244.2,244.8,5902.08,1443806.4305
1672592400000,244.8,245.4,244.7,245.35,6351.1,1556335.824
1672596000000,245.35,245.6,244.6,244.75,7610.45,1865985.7465
1672599600000,244.75,245.55,244.7,245.05,3568.35,875237.9875
1672603200000,245.05,245.7,245.05,245.2,4032.6,989877.318
1672606800000,245.2,245.2,244.85,245.05,2212.14,542058.0475
1672610400000,245.05,245.05,244.5,244.65,4995.58,1222794.7425
1672614000000,244.65,244.75,243.55,244.3,11514.65,2809744.348
1672617600000,244.3,244.4,243.35,243.5,7286.23,1776206.454
1672621200000,243.5,243.6,240.35,242,44507.49,10772387.4695
1672624800000,242,242.7,241.5,242.25,4997.1,1210639.494
1672628400000,242.25,244,242.25,243.65,8198.08,1993570.946
1672632000000,243.65,243.7,242.75,243.3,8220.47,1999314.1155
1672635600000,243.3,244.2,243.3,243.8,6303.45,1536004.77
1672639200000,243.8,244.2,243.4,243.8,6230.49,1518541.0085
1672642800000,243.8,247.3,243.65,246.2,35512.86,8735754.439
1672646400000,246.2,247.25,246.15,246.9,14248.42,3517136.235
1672650000000,246.9,247.75,246.25,246.6,9516.46,2353046.6085
1672653600000,246.6,247.35,246.2,246.85,8188.57,2021921.191
1672657200000,246.85,246.85,246.05,246.75,4576.32,1127990.0365
1672660800000,246.75,247.45,246.7,246.95,4704,1162227.9095
1672664400000,246.95,247.2,245.95,246.5,6495.25,1601069.539
1672668000000,246.5,246.6,245.85,246.3,6820.76,1680162.6715
1672671600000,246.3,247.15,245.9,246.7,6485.78,1599459.245
1672675200000,246.7,247.05,246,246,9501.17,2342289.0145
1672678800000,246,246.5,246,246.45,3066.18,754980.539
1672682400000,246.45,246.6,246.15,246.4,1709.86,421359.182
1672686000000,246.4,246.55,246.05,246.5,1418.26,349431.7115
1672689600000,246.5,247.3,246.1,247.2,7339.69,1812140.0825
1672693200000,247.2,247.8,246.85,247.15,8091.08,2000887.6195
1672696800000,247.15,247.35,245.9,245.95,6111.62,1505722.638
1672700400000,245.95,246.4,244.85,245.1,10250.5,2516817.7785
1672704000000,245.1,245.95,244.8,245.7,5233.87,1283992.0845
1672707600000,245.7,245.7,244.5,245.2,6759.22,1655253.4035
1672711200000,245.2,245.6,245.05,245.25,2550.93,625858.912
1672714800000,245.25,245.85,245.1,245.75,4021.67,987999.427
1672718400000,245.75,245.85,245.2,245.25,3025.32,742986.8035
1672722000000,245.25,246.35,245.1,246.35,4107.49,1009543.031
1672725600000,246.35,246.9,246,246.05,6873.66,1694687.207
1672729200000,246.05,246.25,245.75,246.15,3050.7,750643.551
1672732800000,246.15,246.35,245.35,245.85,4532.76,1113646.3775
1672736400000,245.85,246.6,245.8,246.25,7611.4,1874307.9825
1672740000000,246.25,246.45,245.3,245.65,5667.36,1392787.6705
1672743600000,245.65,246.3,245.2,245.45,5676.94,1395677.537
1672747200000,245.45,245.7,244.9,245.2,11160.93,2737158.4515
1672750800000,245.2,245.55,244.9,245.35,5030.78,1233849.482
1672754400000,245.35,246.25,244.2,244.65,19635.37,4817736.985
1672758000000,244.65,245.45,244.45,245.25,13783.97,3376051.176
1672761600000,245.25,245.8,244.3,244.6,15251.09,3736094.6515
1672765200000,244.6,245.1,244.5,245.05,6407.19,1568346.2295
1672768800000,245.05,245.2,244.5,244.95,3545.79,868236.972
1672772400000,244.95,245.45,244.65,245.2,1962.55,480949.85
1672776000000,245.2,245.55,245,245.4,4138.23,1015303.524
1672779600000,245.4,245.7,245.3,245.7,2663.46,653716.721
1672783200000,245.7,245.95,245.25,245.65,4620.9,1134807.9405
1672786800000,245.65,246.2,245.65,245.95,3960.76,974272.518
1672790400000,245.95,246.15,245.5,245.8,3086.47,758657.7845
1672794000000,245.8,247.15,245.8,246.3,12475.04,3076194.0795
1672797600000,246.3,252.45,246.25,251.05,51039.92,12737234.1355
1672801200000,251.05,258.6,251.05,257.05,95614.17,24464068.6095
1672804800000,257.05,257.25,255.3,255.65,12243.53,3134412.425
1672808400000,255.65,255.75,254.7,255.1,10113.28,2579949.8395
1672812000000,255.1,255.2,253.7,254.8,9707.47,2469306.121
1672815600000,254.8,255.5,254.15,255.05,8263.95,2106391.0425
1672819200000,255.05,256.2,253.8,254.95,9126.58,2326323.0205
1672822800000,254.95,255.3,254.55,254.75,3101.49,790687.7905
1672826400000,254.75,255.05,254,254.8,5155.37,1312331.9835
1672830000000,254.8,254.95,254.45,254.8,5296.79,1349413.4465
1672833600000,254.8,255.95,254.7,254.9,5579.41,1423805.2765
1672837200000,254.9,255.7,254.85,255.35,2937.93,749676.3065
1672840800000,255.35,256.05,254.9,255.45,5998.87,1532197.85
1672844400000,255.45,257.3,253.85,256.95,26225.46,6706928.4455
1672848000000,256.95,260,255.85,257.5,46707.37,12070956.647
1672851600000,257.5,260.9,257.05,259.5,27350.75,7098410.6455
1672855200000,259.5,260.6,258.95,259.2,11735.01,3048702.202
1672858800000,259.2,259.85,256.25,257.45,19362.24,4994302.033
1672862400000,257.45,257.5,254.65,255.6,15844.88,4057066.2045
1672866000000,255.6,257.15,255.35,257.1,7234.71,1855745.1235
1672869600000,257.1,258.35,256.6,257.4,7169.48,1846439.545
1672873200000,257.4,259.15,257.35,258.55,7752.87,2003737.284
1672876800000,258.55,258.9,257.05,257.05,12116.25,3125492.235
1672880400000,257.05,258.15,256.6,257.45,8116.76,2089590.419
1672884000000,257.45,258.1,256.9,257.85,3399.81,875512.2325
1672887600000,257.85,258.05,256.85,257.5,6529.79,1680684.1205
1672891200000,257.5,258.65,257.4,258.3,5602.74,1446458.4595
1672894800000,258.3,258.9,258.05,258.3,3615.28,934358.864
1672898400000,258.3,258.35,257.2,257.5,5739.63,1478154.5835
1672902000000,257.5,257.65,256.25,257.35,6324.94,1624932.156
1672905600000,257.35,257.45,256.15,256.9,3878.72,996361.865
1672909200000,256.9,256.95,255.3,256.05,7772.83,1990291.3715
1672912800000,256.05,256.8,256,256.8,6443.3,1652684.503
1672916400000,256.8,257,255.95,256.95,5063.97,1297888.855
1672920000000,256.95,257,256.3,256.55,3291.88,844898.0035
1672923600000,256.55,256.85,255.5,255.55,9271.07,2374377.3425
1672927200000,255.55,256.55,254.95,256.1,13815.1,3531952.181
1672930800000,256.1,258.05,255.95,256.6,22430.7,5766815.98
1672934400000,256.6,256.85,255.95,256.35,8481.45,2174159.025
1672938000000,256.35,256.55,256.05,256.3,3660.21,937912.727
1672941600000,256.3,257.2,256.15,256.85,5916.63,1518928.7445
1672945200000,256.85,258.4,256.85,257.5,6966.98,1796145.56
1672948800000,257.5,257.85,257.25,257.55,4779.25,1230696.2205
1672952400000,257.55,257.7,256.85,257.1,4384.4,1127290.3505
1672956000000,257.1,257.4,256.55,256.6,5221.23,1341868.9775
1672959600000,256.6,257.05,255.6,256.35,10501.09,2689657.19
1672963200000,256.35,257.7,255.9,257.55,4643.96,1193930.8665
1672966800000,257.55,258.05,257.15,257.3,5318.49,1369922.561
1672970400000,257.3,258.45,256.65,258.15,8093.52,2086618.322
1672974000000,258.15,258.55,256.9,257.55,8171.79,2106235.1585
1672977600000,257.55,257.95,256.55,257.4,4216.14,1084541.5045
1672981200000,257.4,257.4,256.4,256.75,3033.13,778757.7165
1672984800000,256.75,256.8,255.1,255.5,5234.72,1338648.5825
1672988400000,255.5,256.3,255.1,256.1,4094.53,1047554.222
1672992000000,256.1,257.15,256.05,256.7,15782.54,4052009.5345
1672995600000,256.7,256.95,255.9,256.45,6471.01,1659221.888
1672999200000,256.45,256.7,255.6,255.9,4326.16,1108832.851
1673002800000,255.9,256.5,255.2,256.25,7287.95,1864965.004
1673006400000,256.25,256.3,254.1,255.55,14781.15,3773147.1795
1673010000000,255.55,257.15,254.4,256.15,21274.48,5442990.832
1673013600000,256.15,256.85,255.65,256.25,10336.53,2648012.737
1673017200000,256.25,260.1,256.25,258.95,30049.9,7753657.467
1673020800000,258.95,260.3,257.95,258.75,15080.3,3905749.8975
1673024400000,258.75,259.05,258.1,258.35,4977.52,1286481.2625
1673028000000,258.35,259.7,258.25,258.6,7841.73,2030265.6245
1673031600000,258.6,260.25,258.25,259.8,6214.87,1613093.238
1673035200000,259.8,260.65,258.35,258.6,12609.92,3272787.2475
1673038800000,258.6,259.35,258.6,258.95,4327.09,1120446.09
1673042400000,258.95,259.65,258.9,259.4,2495.61,646980.367
1673046000000,259.4,259.9,259.05,259.65,6303.58,1635528.508
1673049600000,259.65,263.9,259.2,263.2,20859.96,5465357.808
1673053200000,263.2,263.2,261.1,261.6,10528.94,2757904.967
1673056800000,261.6,262.05,261.2,261.35,2744.83,718261.108
1673060400000,261.35,261.9,261.25,261.9,2614.8,683547.594
1673064000000,261.9,262.1,260.75,260.75,3305.74,864379.522
1673067600000,260.75,261.2,260.45,260.55,2061.41,537753.133
1673071200000,260.55,260.85,260.4,260.8,2244.56,584956.4395
1673074800000,260.8,261,260.4,260.75,1256.96,327638.894
1673078400000,260.75,261.05,260.45,260.75,1516.55,395436.348
1673082000000,260.75,261.15,260.5,260.95,2115.81,551834.1575
1673085600000,260.95,261.05,260.6,260.8,1896,494563.8715
1673089200000,260.8,260.95,260.45,260.5,1976.84,515274.7565
1673092800000,260.5,260.55,259.6,260.05,4210.27,1094934.475
1673096400000,260.05,260.8,259.85,260.3,4939.46,1286725.7555
1673100000000,260.3,260.4,259.8,260.2,5703.55,1483625.896
1673103600000,260.2,260.95,260.15,260.9,2373.64,618420.099
1673107200000,260.9,261.15,260.4,260.55,2553.73,666041.7385
1673110800000,260.55,261.15,260.5,261.1,2298.47,599623.8705
1673114400000,261.1,261.55,261.1,261.1,5488.89,1434287.2475
1673118000000,261.1,261.55,261,261.45,3541.73,925306.4295
1673121600000,261.45,261.55,261.15,261.5,2607.7,681518.5885
1673125200000,261.5,261.55,260.9,260.95,3720.6,971441.691
1673128800000,260.95,261.15,260.4,260.75,6030.27,1572264.491
1673132400000,260.75,261.1,260.45,261.05,819.65,213784.6335
1673136000000,261.05,261.55,259.8,260.2,9073.99,2364322.4795
1673139600000,260.2,260.75,259.9,260.5,4026.51,1048409.2625
1673143200000,260.5,260.9,260.25,260.5,2842.47,740563.816
1673146800000,260.5,260.75,260.4,260.75,2243.09,584451.6585
1673150400000,260.75,260.95,260.65,260.9,1539.73,401525.442
1673154000000,260.9,261.15,260.45,261.05,4242.98,1106716.718
1673157600000,261.05,261.1,260.75,260.95,1132.64,295568.3635
1673161200000,260.95,261,260.6,260.65,1306.49,340677.0715
1673164800000,260.65,260.7,260.45,260.65,2681.75,698822.791
1673168400000,260.65,261.4,260.5,261,5232.66,1365693.4965
1673172000000,261,261.2,260.95,261.15,2362.7,616877.5915
1673175600000,261.15,261.4,260.7,260.75,2395.8,625748.22
1673179200000,260.75,261.1,260.5,260.85,6241.14,1627192.573
1673182800000,260.85,262.4,260.75,261.45,9593.94,2510846.4405
1673186400000,261.45,263.7,261.45,263.6,14297.89,3755688.431
1673190000000,263.6,267.75,262.65,266.9,43406.51,11530478.713
1673193600000,266.9,267.2,263.55,264.55,32841.76,8703347.939
1673197200000,264.55,265.55,264.5,264.9,5228.5,1385982.519
1673200800000,264.9,265.85,264.9,265.3,6024.4,1598998.0115
1673204400000,265.3,268.7,265.05,267.25,12495.92,3336319.114
1673208000000,267.25,271.1,266.85,269.8,29370.51,7913067.111
1673211600000,269.8,270.7,269.4,269.75,11466.77,3095786.57
1673215200000,269.75,272.45,269.5,271.55,11574.5,3134852.9575
1673218800000,271.55,276.5,271.55,274.65,46234.8,12669576.399
1673222400000,274.65,278.4,273.35,278.35,32652.58,9000040.209
1673226000000,278.35,280.45,275.85,278.25,43424.66,12099474.181
1673229600000,278.25,280.95,277.6,278.3,20766.19,5806603.704
1673233200000,278.3,279.4,277.7,278.55,7417.19,2065330.676
1673236800000,278.55,279.5,278.5,278.75,3861.8,1077559.946
1673240400000,278.75,279.5,277.95,278,4627.88,1290458.192
1673244000000,278,278.5,277.15,277.55,6351.35,1765157.2415
1673247600000,277.55,278.35,277.3,277.55,3758.34,1044193.0875
1673251200000,277.55,277.7,276.45,276.65,13437.43,3723161.6225
1673254800000,276.65,279.55,276.55,278.85,11179.72,3112341.498
1673258400000,278.85,280.25,278.15,278.55,20663.26,5768423.571
1673262000000,278.55,279.5,278,278.05,9438.55,2630786.7755
1673265600000,278.05,278.7,277.75,278.65,4667.84,1298703.161
1673269200000,278.65,279.7,276.3,277.35,9427.61,2620289.1595
1673272800000,277.35,280.4,276.7,279.9,10672.44,2974116.7495
1673276400000,279.9,282.75,278.4,280.1,28516.31,7992664.433
1673280000000,280.1,282.2,279.25,281.45,15775.93,4425846.013
1673283600000,281.45,283.5,280.65,281.65,13106.64,3696681.9805
1673287200000,281.65,282.15,277.05,277.75,11920.44,3332443.413
1673290800000,277.75,278,276.45,276.55,7058,1957029.855
1673294400000,276.55,276.8,271.45,272.35,28047.37,7681853.6805
1673298000000,272.35,274.15,271.55,272,11540.44,3149247.0285
1673301600000,272,273.6,271.3,273.25,8958.14,2440441.395
1673305200000,273.25,273.3,271.2,272.35,7613.89,2073016.065
1673308800000,272.35,276.15,272.35,276.05,9073.25,2490345.04
1673312400000,276.05,276.1,273.95,274.3,4169.08,1146429.7795
1673316000000,274.3,275,269.95,272.6,12198.39,3319215.4085
1673319600000,272.6,273.7,271.75,273.65,4614.72,1258937.223
1673323200000,273.65,274.55,272.85,274.5,1957.15,535304.0685
1673326800000,274.5,274.8,273.5,274.5,3011.28,825655.589
1673330400000,274.5,274.95,273.7,274.65,3098.87,850432.796
1673334000000,274.65,274.95,273.85,274.25,2060.74,565449.584
1673337600000,274.25,275.6,273.95,275,6563.64,1804067.6415
1673341200000,275,275.85,274.55,275.15,3805.38,1047425.204
1673344800000,275.15,276.4,275,276.15,3879.18,1069921.4585
1673348400000,276.15,276.65,274.35,274.8,5445.83,1501368.3545
1673352000000,274.8,275.05,273.6,273.75,4626.05,1268640.8145
1673355600000,273.75,274.7,273.3,274.55,3358.14,920176.2355
1673359200000,274.55,275.85,273.45,275.05,14097.4,3873208.2765
1673362800000,275.05,276.45,274.5,275.55,13982.68,3849158.3265
1673366400000,275.55,275.7,274,274.6,5611.66,1541708.5525
1673370000000,274.6,275,274.3,275,2762.94,759182.56
1673373600000,275,276.15,274.55,275.9,6161.8,1697582.392
1673377200000,275.9,276.35,275.35,276.05,8502.51,2345765.032
1673380800000,276.05,278.7,275.85,277.8,16182.18,4491237.719
1673384400000,277.8,278.05,277.25,277.4,3922.71,1088678.5295
1673388000000,277.4,277.4,276.1,276.45,5447.16,1507348.144
1673391600000,276.45,278.1,276.3,276.95,10248.06,2841892.6055
1673395200000,276.95,277.7,276.45,276.7,3500.64,969416.779
1673398800000,276.7,277.65,276.35,276.7,3010.88,833301.148
1673402400000,276.7,276.9,274.5,274.75,8331.21,2296321.14
1673406000000,274.75,275.15,273.8,274.7,4907.27,1346688.6585
1673409600000,274.7,275.1,273.9,274.7,4406.47,1209820.847
1673413200000,274.7,276.35,274.55,275.75,5771.17,1590945.9855
1673416800000,275.75,277.25,275.45,277.05,5042.48,1394864.6835
1673420400000,277.05,277.7,276.7,277.55,3905.48,1082117.3665
1673424000000,277.55,277.7,276.8,277.3,4856.35,1346130.79
1673427600000,277.3,278.4,277.25,277.55,4155.33,1154401.996
1673431200000,277.55,278.25,277.5,278.05,3190.5,886556.269
1673434800000,278.05,278.3,277.35,277.65,3281.64,911949.3255
1673438400000,277.65,277.8,276.75,277.45,4939.91,1369378.7145
1673442000000,277.45,279.05,277.1,277.7,8152.14,2267048.061
1673445600000,277.7,278.4,276.1,277.85,10009.7,2772709.659
1673449200000,277.85,278.6,276.15,276.65,6796.66,1882994.477
1673452800000,276.65,277.2,275.25,275.7,7572.5,2092035.2205
1673456400000,275.7,277.2,275.55,276.95,4208.96,1164809.2165
1673460000000,276.95,279.65,276.9,278.5,10762.62,2999010.8505
1673463600000,278.5,279.7,277.8,279.6,6836.63,1907846.6825
1673467200000,279.6,279.9,278.7,279.1,4926.45,1375799.645
1673470800000,279.1,279.7,278.7,279.35,4036.6,1127217.5655
1673474400000,279.35,280.65,278.55,280.05,7939.88,2220453.3195
1673478000000,280.05,287.5,280.05,284.7,50235.22,14265547.967
1673481600000,284.7,288.1,283.8,287.85,24692.81,7055716.047
1673485200000,287.85,288.15,284.25,285.35,14681.83,4197898.676
1673488800000,285.35,286.95,284.7,285.5,7484.7,2137600.908
1673492400000,285.5,287.5,285.45,286.7,7469.73,2143208.3605
1673496000000,286.7,287.05,286.3,286.7,2121.97,608246.6145
1673499600000,286.7,287.05,284.2,284.25,4688.21,1340115.4695
1673503200000,284.25,285.2,284.2,284.6,3021,860228.327
1673506800000,284.6,285.5,284.4,284.95,3823.65,1089763.2465
1673510400000,284.95,284.95,282.35,283.2,7435.9,2107172.789
1673514000000,283.2,283.65,282.35,283.1,4883.15,1382433.92
1673517600000,283.1,283.5,281.65,283.05,4548.6,1285625.3445
1673521200000,283.05,283.4,282.4,283.2,2743.34,776548.907
1673524800000,283.2,283.8,282,283.7,6356.37,1798002.2815
1673528400000,283.7,285.9,278.7,285.55,77038.3,21715868.668
1673532000000,285.55,286.25,278.7,280.6,23689.84,6677699.7035
1673535600000,280.6,282.2,280.45,281.35,5744.91,1616252.101
1673539200000,281.35,282.15,280.75,282.1,4081.97,1149317.938
1673542800000,282.1,287.55,281.7,286.95,28371.88,8095749.8805
1673546400000,286.95,287.75,284.55,286.05,12741.36,3645739.504
1673550000000,286.05,287.25,285.3,285.85,8168.45,2336920.886
1673553600000,285.85,288.3,285.3,288.05,12668.31,3633474.2135
1673557200000,288.05,288.5,285.65,286.45,10675.65,3061510.577
1673560800000,286.45,286.85,285.45,286.55,4793.56,1372133.033
1673564400000,286.55,287.95,286.2,287.45,3559.61,1022023.3265
1673568000000,287.45,287.95,285.65,286.3,7126.45,2044126.885
1673571600000,286.3,286.9,285.45,286.4,2660.5,761033.1535
1673575200000,286.4,287.55,285.7,287.5,2680.8,767880.6905
1673578800000,287.5,290.3,287.5,288.9,13822.46,3993875.995
1673582400000,288.9,291.65,288.45,289.25,8152.98,2365561.38
1673586000000,289.25,289.9,288.15,288.2,3995.18,1154509.602
1673589600000,288.2,289.45,287.7,289.15,3926.79,1132737.1385
1673593200000,289.15,289.15,287.15,287.7,5000.93,1439592.281
1673596800000,287.7,288.15,286.8,287.05,4114.87,1183176.641
