ts_ms,funding_rate
1669766400000,0.0001
1669795200000,-0.00023605
1669824000000,-0.00049842
1669852800000,-0.00068704
1669881600000,-0.00092313
1669910400000,-0.00106087
1669939200000,0.0001
1669968000000,0.0001
1669996800000,0.0001
1670025600000,0.0001
1670054400000,0.0001
1670083200000,0.0001
1670112000000,0.0001
1670140800000,0.0001
1670169600000,0.0001
1670198400000,0.0001
1670227200000,0.0001
1670256000000,0.0001
1670284800000,0.0001
1670313600000,0.0001
1670342400000,0.0001
1670371200000,0.0001
1670400000000,0.0001
1670428800000,0.0001
1670457600000,0.00009321
1670486400000,0.0001
1670515200000,0.0001
1670544000000,0.0001
1670572800000,0.0001
1670601600000,0.0001
1670630400000,0.0001
1670659200000,0.0001
1670688000000,0.0001
1670716800000,0.0001
1670745600000,0.0001
1670774400000,0.0001
1670803200000,0.0001
1670832000000,0.0001
1670860800000,0.0001
1670889600000,0.0001
1670918400000,0.0001
1670947200000,0.0001
1670976000000,0.0001
1671004800000,0.0001
1671033600000,0.0001
1671062400000,0.0001
1671091200000,0.0001
1671120000000,0.0001
1671148800000,0.0001
1671177600000,0.0001
1671206400000,-0.00020639
1671235200000,-0.00082028
1671264000000,-0.00148379
1671292800000,-0.00126661
1671321600000,-0.00056342
1671350400000,-0.00117791
1671379200000,-0.00077152
1671408000000,-0.00095279
1671436800000,-0.00099044
1671465600000,-0.00045848
1671494400000,-0.00038139
1671523200000,-0.0002309
1671552000000,-0.00035599
1671580800000,-0.00040738
1671609600000,-0.00024174
1671638400000,-0.000188
1671667200000,-0.00040286
1671696000000,-0.00033684
1671724800000,-0.00020993
1671753600000,-0.00013807
1671782400000,-0.00008509
1671811200000,-0.00034915
1671840000000,-0.0003608
1671868800000,-0.00046149
1671897600000,-0.00032722
1671926400000,-0.00034644
1671955200000,-0.00019282
1671984000000,-0.00031164
1672012800000,-0.00021574
1672041600000,-0.00011487
1672070400000,-0.00024985
1672099200000,-0.00001143
1672128000000,0.0000503
1672156800000,-0.00006872
1672185600000,-0.00014673
1672214400000,-0.00024022
1672243200000,-0.00028111
1672272000000,-0.00029822
1672300800000,-0.00021296
1672329600000,-0.00014727
1672358400000,-0.00017599
1672387200000,-0.0001663
1672416000000,-0.0001954
1672444800000,-0.00012872
1672473600000,-0.00010548
1672502400000,-0.00000091
1672531200000,-0.00012422
1672560000000,-0.00006018
1672588800000,-0.00015462
1672617600000,0.00006802
1672646400000,-0.00005585
1672675200000,-0.00012851
1672704000000,-0.00007757
1672732800000,-0.00009654
1672761600000,0.00007904
1672790400000,-0.00022275
1672819200000,0.00007601
1672848000000,0.00002934
1672876800000,-0.00046954
1672905600000,-0.00054583
1672934400000,-0.00047537
1672963200000,-0.00028864
1672992000000,-0.00024618
1673020800000,-0.00010758
1673049600000,-0.00013425
1673078400000,-0.00031663
1673107200000,-0.00027892
1673136000000,-0.0003418
1673164800000,-0.00033599
1673193600000,-0.00014268
1673222400000,-0.00025263
1673251200000,-0.00017918
1673280000000,-0.00014814
1673308800000,0.00003765
1673337600000,0.00000876
1673366400000,-0.000132
1673395200000,-0.00031827
1673424000000,-0.00030872
1673452800000,-0.00030381
1673481600000,-0.00018609
1673510400000,-0.00005134
1673539200000,-0.0000849
1673568000000,-0.00039124
1673596800000,-0.00023828
1673625600000,-0.00021416
1673654400000,-0.00002017
1673683200000,0.00026293
1673712000000,0.0001
1673740800000,0.0001
1673769600000,0.0001
1673798400000,0.0001
1673827200000,0.0001
1673856000000,0.0001
1673884800000,0.0001
1673913600000,0.0001
1673942400000,0.0001
1673971200000,0.0001
1674000000000,0.00008542
1674028800000,0.0001
1674057600000,0.0001
1674086400000,-0.00013308
1674115200000,-0.0001996
1674144000000,-0.0000417
1674172800000,-0.00025609
1674201600000,-0.00007574
1674230400000,0.0001
1674259200000,0.0001
1674288000000,0.0001
1674316800000,0.0001
1674345600000,0.0001
1674374400000,0.0001
1674403200000,0.0001
1674432000000,0.0001
1674460800000,0.0001
1674489600000,0.0001
1674518400000,0.0001
1674547200000,0.00011329
1674576000000,0.0001
1674604800000,0.0001
1674633600000,0.0001
1674662400000,0.0001
1674691200000,0.0001
1674720000000,0.0001
1674748800000,0.0001
1674777600000,0.0001
1674806400000,0.0001
1674835200000,0.0001
1674864000000,0.0001
1674892800000,0.0001
1674921600000,0.0001
1674950400000,0.0001
1674979200000,0.0001
1675008000000,0.0001
1675036800000,0.0001
1675065600000,0.0001
1675094400000,0.0001
1675123200000,0.0001
1675152000000,0.0001
1675180800000,0.0001
1675209600000,0.0001
1675238400000,0.0001
1675267200000,0.0001
1675296000000,0.0001
1675324800000,0.0001
1675353600000,0.0001
1675382400000,0.0001
1675411200000,0.0001
1675440000000,0.0001
1675468800000,0.0001
1675497600000,0.0001
1675526400000,0.0001
1675555200000,0.0001
1675584000000,0.0001
1675612800000,0.0001
1675641600000,0.0001
1675670400000,0.0001
1675699200000,0.0001
1675728000000,0.0001
1675756800000,0.0001
1675785600000,0.0001
1675814400000,0.0001
1675843200000,0.0001
1675872000000,0.0001
1675900800000,0.0001
1675929600000,0.0001
1675958400000,0.0001
1675987200000,0.0001
1676016000000,-0.00007373
1676044800000,-0.0001423
1676073600000,-0.00024252
1676102400000,-0.00035445
1676131200000,-0.00041845
1676160000000,-0.00021551
1676188800000,-0.00033766
1676217600000,-0.00032752
1676246400000,-0.00031
1676275200000,-0.00019944
1676304000000,-0.00029565
1676332800000,-0.00007976
1676361600000,-0.00011136
1676390400000,-0.00005183
1676419200000,-0.00023103
1676448000000,0.00001039
1676476800000,-0.00013872
1676505600000,0.00004117
1676534400000,0.0001
1676563200000,0.0001
1676592000000,0.0001
