ts_ms,open_interest
1672531200000,270784.28999999
1672534800000,268893.03000000
1672538400000,268129.90000000
1672542000000,267417.36000000
1672545600000,266886.09000000
1672549200000,264568.09999999
1672552800000,263853.03999999
1672556400000,264515.67000000
1672560000000,266274.88000000
1672563600000,270228.11000000
1672567200000,270139.46000000
1672570800000,269405.28000000
1672574400000,268736.67000000
1672578000000,272315.88000000
1672581600000,273362.07000000
1672585200000,273526.14000000
1672588800000,271790.46999999
1672592400000,271152.01000000
1672596000000,272731.12000000
1672599600000,272979.15000000
1672603200000,273628.40999999
1672606800000,273382.82000000
1672610400000,273090.73000000
1672614000000,270977.34000000
1672617600000,275229.05000000
1672621200000,277349.55000000
1672624800000,270395.48000000
1672628400000,270312.65999999
1672632000000,266732.37000000
1672635600000,269079.01000000
1672639200000,267677.59999999
1672642800000,267654.21999999
1672646400000,259028.76000000
1672650000000,262086.47000000
1672653600000,263970.81000000
1672657200000,262421.96999999
1672660800000,260099.66000000
1672664400000,260892.12000000
1672668000000,259865.87000000
1672671600000,258018.17000000
1672675200000,257757.23000000
1672678800000,257499.68000000
1672682400000,257459.54000000
1672686000000,258072.70000000
1672689600000,258625.13000000
1672693200000,257136.68000000
1672696800000,256702.80000000
1672700400000,259077.16000000
1672704000000,255566.75000000
1672707600000,254696.68000000
1672711200000,255780.76000000
1672714800000,254966.18000000
1672718400000,252436.18000000
1672722000000,250645.38000000
1672725600000,252261.36000000
1672729200000,253714.00000000
1672732800000,253817.01000000
1672736400000,254648.37000000
1672740000000,250053.14000000
1672743600000,249000.80000000
1672747200000,249031.11000000
1672750800000,249096.63000000
1672754400000,249970.04000000
1672758000000,246633.80000000
1672761600000,247390.35000000
1672765200000,245868.85000000
1672768800000,244653.85000000
1672772400000,245794.26000000
1672776000000,245317.00000000
1672779600000,245495.57000000
1672783200000,245166.36000000
1672786800000,246003.61000000
1672790400000,246342.31000000
1672794000000,246769.82000000
1672797600000,245213.79000000
1672801200000,238628.87000000
1672804800000,217750.52000000
1672808400000,213703.28000000
1672812000000,208408.84000000
1672815600000,206102.77000000
1672819200000,204865.26000000
1672822800000,206446.22000000
1672826400000,206415.01000000
1672830000000,206977.29000000
1672833600000,205993.37000000
1672837200000,207567.89000000
1672840800000,206961.77000000
1672844400000,208130.70000000
1672848000000,210930.09000000
1672851600000,213962.04000000
1672855200000,211715.33000000
1672858800000,209274.62000000
1672862400000,209014.57000000
1672866000000,211088.83000000
1672869600000,209905.99000000
1672873200000,207314.57000000
1672876800000,209873.56000000
1672880400000,211453.76000000
1672884000000,212119.62000000
1672887600000,212506.61000000
1672891200000,214536.04000000
1672894800000,217594.98000000
1672898400000,218332.49000000
1672902000000,218412.89000000
1672905600000,218670.63000000
1672909200000,218202.58000000
1672912800000,216770.27000000
1672916400000,218439.22000000
1672920000000,219861.67000000
1672923600000,221079.64000000
1672927200000,220488.69000000
1672930800000,220394.25000000
1672934400000,217823.09000000
1672938000000,219715.44000000
1672941600000,220581.34000000
1672945200000,221603.42000000
1672948800000,220078.87000000
1672952400000,220485.15000000
1672956000000,219396.33000000
1672959600000,219714.44000000
1672963200000,217177.09000000
1672966800000,215776.23000000
1672970400000,217434.99000000
1672974000000,216129.31000000
1672977600000,218701.99000000
1672981200000,217169.76000000
1672984800000,217197.84000000
1672988400000,215738.24000000
1672992000000,217352.30000000
1672995600000,211152.67000000
1672999200000,212499.87000000
1673002800000,212000.85000000
1673006400000,213738.74000000
1673010000000,211763.40000000
1673013600000,212309.79000000
1673017200000,216789.13000000
1673020800000,213956.76000000
1673024400000,215320.02000000
1673028000000,214753.85000000
1673031600000,213300.68000000
1673035200000,212725.46000000
1673038800000,210766.70000000
1673042400000,210013.52000000
1673046000000,209540.41000000
1673049600000,209143.99000000
1673053200000,206995.46000000
1673056800000,205362.62000000
1673060400000,206040.63000000
1673064000000,206165.63000000
1673067600000,206229.47000000
1673071200000,205503.15000000
1673074800000,205127.95000000
1673078400000,205492.29000000
1673082000000,205926.79000000
1673085600000,207229.79000000
1673089200000,207069.23000000
1673092800000,207476.91000000
1673096400000,208153.86000000
1673100000000,208338.21000000
1673103600000,210736.64000000
1673107200000,211969.52000000
1673110800000,212424.01000000
1673114400000,213801.75000000
1673118000000,214218.92000000
1673121600000,214164.13000000
1673125200000,214332.52000000
1673128800000,215436.48000000
1673132400000,211463.91000000
1673136000000,211140.10000000
1673139600000,209941.78000000
1673143200000,208274.11000000
1673146800000,208444.86000000
1673150400000,208359.91000000
1673154000000,209186.66000000
1673157600000,208868.61000000
1673161200000,208833.54000000
1673164800000,208658.00000000
1673168400000,209878.86000000
1673172000000,209231.11000000
1673175600000,209393.87000000
1673179200000,209997.35000000
1673182800000,210915.53000000
1673186400000,210393.04000000
1673190000000,210454.70000000
1673193600000,202833.68000000
1673197200000,204782.80000000
1673200800000,206463.95000000
1673204400000,207258.77000000
1673208000000,209006.11000000
1673211600000,204893.87000000
1673215200000,206737.86000000
1673218800000,205456.44000000
1673222400000,202746.12000000
1673226000000,195527.13000000
1673229600000,187257.23000000
1673233200000,186599.42000000
1673236800000,187963.21000000
1673240400000,186999.60000000
1673244000000,186796.82000000
1673247600000,185379.25000000
1673251200000,186086.73000000
1673254800000,184033.86000000
1673258400000,183785.27000000
1673262000000,186367.70000000
1673265600000,185612.22000000
1673269200000,186399.98000000
1673272800000,185447.46000000
1673276400000,185863.49000000
1673280000000,179452.62000000
1673283600000,177869.23000000
1673287200000,175872.29000000
1673290800000,173468.22000000
1673294400000,172538.35999999
1673298000000,170203.48000000
1673301600000,167540.17000000
1673305200000,168264.63000000
1673308800000,166013.35999999
1673312400000,164437.75000000
1673316000000,163865.35999999
1673319600000,163031.09000000
1673323200000,163672.91000000
1673326800000,163171.90000000
1673330400000,163309.97000000
1673334000000,163122.17000000
1673337600000,163110.97000000
1673341200000,162928.82999999
1673344800000,163266.09000000
1673348400000,163649.16000000
1673352000000,164148.42000000
1673355600000,164518.93000000
1673359200000,165354.41000000
1673362800000,166668.87000000
1673366400000,171537.01000000
1673370000000,170872.26000000
1673373600000,172031.78000000
1673377200000,170328.50000000
1673380800000,166846.34000000
1673384400000,165791.29000000
1673388000000,167035.69000000
1673391600000,165986.29000000
1673395200000,165859.74000000
1673398800000,166346.37000000
1673402400000,166769.70000000
1673406000000,167075.79999999
1673409600000,166836.81000000
1673413200000,167725.29000000
1673416800000,166753.13000000
1673420400000,166854.85999999
1673424000000,167899.82999999
1673427600000,169130.65000000
1673431200000,170775.53000000
1673434800000,170115.15000000
1673438400000,169684.26000000
1673442000000,170130.70000000
1673445600000,170467.01999999
1673449200000,171717.39000000
1673452800000,172480.99000000
1673456400000,174059.75000000
1673460000000,173979.92000000
1673463600000,174174.84000000
1673467200000,174050.79999999
1673470800000,173711.04000000
1673474400000,173407.94000000
1673478000000,173514.06000000
1673481600000,164218.26000000
1673485200000,160903.54999999
1673488800000,158982.23000000
1673492400000,158621.06000000
1673496000000,158332.48000000
1673499600000,158490.22000000
1673503200000,159295.06000000
1673506800000,158443.16000000
1673510400000,159495.24000000
1673514000000,159464.82999999
1673517600000,160534.47000000
1673521200000,158984.43000000
1673524800000,159231.99000000
1673528400000,158659.54999999
1673532000000,154654.71000000
1673535600000,156110.90000000
1673539200000,156549.91000000
1673542800000,156559.51999999
1673546400000,151040.47000000
1673550000000,152105.17000000
1673553600000,153606.81000000
1673557200000,150894.32000000
1673560800000,151689.06000000
1673564400000,152670.51999999
1673568000000,152308.60999999
1673571600000,152127.49000000
1673575200000,152812.87000000
1673578800000,152827.97000000
1673582400000,150844.13000000
1673586000000,150871.50000000
1673589600000,152221.78000000
1673593200000,151201.85999999
1673596800000,153169.57999999
1673600400000,153625.10000000
1673604000000,155353.54999999
1673607600000,154335.26000000
1673611200000,153989.04999999
1673614800000,153998.00000000
1673618400000,152899.85000000
1673622000000,150764.07000000
1673625600000,151674.57999999
1673629200000,151713.29000000
1673632800000,151893.06000000
1673636400000,152224.38000000
1673640000000,151057.92000000
1673643600000,150228.95000000
1673647200000,147245.35000000
1673650800000,140861.97000000
1673654400000,141062.89000000
1673658000000,140255.48000000
1673661600000,141617.46000000
1673665200000,142659.49000000
1673668800000,141467.78000000
1673672400000,140660.98000000
1673676000000,140554.74000000
1673679600000,142190.06000000
1673683200000,140820.98000000
1673686800000,141254.22000000
1673690400000,135657.95000000
1673694000000,136264.93000000
1673697600000,138380.46000000
1673701200000,138473.16000000
1673704800000,137826.57000000
1673708400000,138179.22000000
1673712000000,138499.32999999
1673715600000,138321.39000000
1673719200000,138658.03000000
1673722800000,137963.14000000
1673726400000,137580.87000000
1673730000000,137727.91000000
1673733600000,137705.43000000
1673737200000,138876.44000000
1673740800000,140081.81000000
1673744400000,138112.49000000
1673748000000,138267.07000000
1673751600000,136525.87000000
1673755200000,136761.89000000
1673758800000,136702.43000000
1673762400000,137013.40000000
1673766000000,137390.20000000
1673769600000,136082.62000000
1673773200000,136880.71000000
1673776800000,138943.97000000
1673780400000,138756.00000000
1673784000000,139185.46000000
1673787600000,140203.53000000
1673791200000,141219.92000000
1673794800000,140717.93000000
1673798400000,140294.57999999
1673802000000,139916.82000000
1673805600000,141239.92000000
1673809200000,139864.18000000
1673812800000,139051.95000000
1673816400000,139176.24000000
1673820000000,139309.35000000
1673823600000,139056.19000000
1673827200000,138586.09000000
1673830800000,139314.89000000
1673834400000,139309.98000000
1673838000000,138758.32000000
1673841600000,138493.45000000
1673845200000,138432.64000000
1673848800000,139684.91000000
1673852400000,139739.38000000
1673856000000,139500.22000000
1673859600000,135719.51000000
1673863200000,135511.65000000
1673866800000,137176.23000000
1673870400000,138170.69000000
1673874000000,139006.75000000
1673877600000,139539.17000000
1673881200000,138754.39000000
1673884800000,136474.22000000
1673888400000,137826.32999999
1673892000000,138130.51999999
1673895600000,137956.78000000
1673899200000,142901.92000000
1673902800000,143967.79000000
1673906400000,143043.89000000
1673910000000,141907.81000000
1673913600000,141682.10000000
1673917200000,135166.09000000
1673920800000,133722.03000000
1673924400000,133913.90000000
1673928000000,133806.85999999
1673931600000,134998.59000000
1673935200000,135653.46000000
1673938800000,135885.00000000
1673942400000,136722.37000000
1673946000000,136800.96000000
1673949600000,137270.01999999
1673953200000,137539.51000000
1673956800000,138430.10000000
1673960400000,139834.43000000
1673964000000,139616.66000000
1673967600000,137303.47000000
1673971200000,135043.51000000
1673974800000,134649.74000000
1673978400000,134209.13000000
1673982000000,134915.29000000
1673985600000,134758.66000000
1673989200000,134590.20000000
1673992800000,133578.93000000
1673996400000,132192.70000000
1674000000000,131840.66000000
1674003600000,133071.09000000
1674007200000,132831.43000000
1674010800000,132718.71000000
1674014400000,130690.89000000
1674018000000,130765.51000000
1674021600000,130948.96000000
1674025200000,130307.30000000
1674028800000,130510.92000000
1674032400000,129418.56000000
1674036000000,129974.99000000
1674039600000,129638.71000000
1674043200000,129327.82000000
1674046800000,130499.84000000
1674050400000,131822.07999999
1674054000000,132579.91000000
1674057600000,143003.39000000
1674061200000,145349.25000000
1674064800000,134689.71000000
1674068400000,134145.07999999
1674072000000,135051.59000000
1674075600000,134488.14000000
1674079200000,134627.74000000
1674082800000,134122.45000000
1674086400000,133207.16000000
1674090000000,131307.68000000
1674093600000,131125.76999999
1674097200000,131040.56000000
1674100800000,130666.24000000
1674104400000,129957.19000000
1674108000000,130109.64000000
1674111600000,130112.55000000
1674115200000,130407.85000000
1674118800000,132122.24000000
1674122400000,139997.51999999
1674126000000,135707.99000000
1674129600000,134959.99000000
1674133200000,134757.32999999
1674136800000,127723.65000000
1674140400000,126522.04000000
1674144000000,128032.58000000
1674147600000,127831.01000000
1674151200000,128471.41000000
1674154800000,127775.95000000
1674158400000,128212.11000000
1674162000000,126361.26000000
1674165600000,125391.29000000
1674169200000,124030.73000000
1674172800000,123620.38000000
1674176400000,123950.05000000
1674180000000,124632.32000000
1674183600000,124050.24000000
1674187200000,124145.08000000
1674190800000,122966.70000000
1674194400000,123112.83000000
1674198000000,125761.19000000
1674201600000,126593.03000000
1674205200000,128655.36000000
1674208800000,130559.15000000
1674212400000,130649.02000000
1674216000000,129290.25000000
1674219600000,131444.85000000
1674223200000,134643.79999999
1674226800000,134405.68000000
1674230400000,134920.76999999
1674234000000,130252.63000000
1674237600000,129381.53000000
1674241200000,129872.68000000
1674244800000,129929.78000000
1674248400000,127322.33000000
1674252000000,126615.22000000
1674255600000,125689.16000000
1674259200000,124386.59000000
1674262800000,135549.51000000
1674266400000,135674.07999999
1674270000000,135530.87000000
1674273600000,134605.45000000
1674277200000,136998.65000000
1674280800000,139046.39000000
1674284400000,140040.13000000
1674288000000,140924.23000000
1674291600000,141231.50000000
1674295200000,143330.25000000
1674298800000,130501.76000000
1674302400000,129461.72000000
1674306000000,130328.36000000
1674309600000,128959.55000000
1674313200000,128549.98000000
1674316800000,129566.88000000
1674320400000,133037.89000000
1674324000000,134125.06000000
1674327600000,136474.09000000
1674331200000,137840.39000000
1674334800000,136864.37000000
1674338400000,138383.24000000
1674342000000,138169.40000000
1674345600000,130912.16000000
1674349200000,130936.11000000
1674352800000,130797.02000000
1674356400000,129805.02000000
1674360000000,129411.86000000
1674363600000,129521.97000000
1674367200000,129368.96000000
1674370800000,130516.98000000
1674374400000,129249.54000000
1674378000000,129916.49000000
1674381600000,129964.59000000
1674385200000,131898.51000000
1674388800000,132266.47000000
1674392400000,131931.79000000
1674396000000,131086.90000000
1674399600000,131409.99000000
1674403200000,126165.48000000
1674406800000,124754.66000000
1674410400000,124425.59000000
1674414000000,124304.85000000
1674417600000,123369.29000000
1674421200000,117018.30000000
1674424800000,116224.90000000
1674428400000,116125.69000000
1674432000000,115809.63000000
1674435600000,115230.16000000
1674439200000,115801.59000000
1674442800000,115837.55000000
1674446400000,115474.29000000
1674450000000,116028.63000000
1674453600000,116242.44000000
1674457200000,116154.47000000
1674460800000,115644.26000000
1674464400000,116011.35000000
1674468000000,116296.72000000
1674471600000,116109.86000000
1674475200000,118082.48000000
1674478800000,119307.31000000
1674482400000,118286.50000000
1674486000000,117191.00000000
1674489600000,118154.46000000
1674493200000,117435.82000000
1674496800000,117591.50000000
1674500400000,118275.78000000
1674504000000,118283.46000000
1674507600000,118794.71000000
1674511200000,119613.26000000
1674514800000,119338.27000000
1674518400000,118492.23000000
1674522000000,117815.54000000
1674525600000,118898.08000000
1674529200000,119922.59000000
1674532800000,121025.63000000
1674536400000,120764.70000000
1674540000000,121346.28000000
1674543600000,121535.41000000
1674547200000,122446.06000000
1674550800000,121159.07000000
1674554400000,118778.48000000
1674558000000,119800.56000000
1674561600000,120060.56000000
1674565200000,120524.70000000
1674568800000,119407.87000000
1674572400000,120120.14000000
1674576000000,120898.35000000
1674579600000,120265.74000000
1674583200000,119859.82000000
1674586800000,119114.65000000
1674590400000,118532.47000000
1674594000000,118053.51000000
1674597600000,114994.00000000
1674601200000,111056.14000000
1674604800000,110440.24000000
1674608400000,112063.42000000
1674612000000,112837.11000000
1674615600000,113024.30000000
1674619200000,113426.55000000
1674622800000,114471.54000000
1674626400000,114298.83000000
1674630000000,114890.41000000
1674633600000,114413.63000000
1674637200000,114411.79000000
1674640800000,114164.75000000
1674644400000,115140.64000000
1674648000000,115208.81000000
1674651600000,114702.94000000
1674655200000,115421.24000000
1674658800000,121980.55000000
1674662400000,122931.37000000
1674666000000,122715.57000000
1674669600000,122885.17000000
1674673200000,123384.15000000
1674676800000,126154.04000000
1674680400000,124739.00000000
1674684000000,120645.91000000
1674687600000,115743.07000000
1674691200000,114548.84000000
1674694800000,114531.13000000
1674698400000,116359.33000000
1674702000000,117229.87000000
1674705600000,117354.97000000
1674709200000,113352.98000000
1674712800000,112831.89000000
1674716400000,109271.62000000
1674720000000,109604.82000000
1674723600000,110602.38000000
1674727200000,113694.45000000
1674730800000,112780.36000000
1674734400000,111852.19000000
1674738000000,110409.64000000
