ts_ms,oi
1704060000000,198101.58
1704063600000,196204.84
1704067200000,198408.32
1704070800000,200351.01
1704074400000,200056.12
1704078000000,202098.43
1704081600000,205018.61
1704085200000,205049.76
1704088800000,204602.1
1704092400000,210241.72
1704096000000,211353.98
1704099600000,211868.98
1704103200000,209132.73
1704106800000,208885.47
1704110400000,208711.77
1704114000000,212409.35
1704117600000,210258.05
1704121200000,209925.37
1704124800000,216301.62
1704128400000,216806.29
1704132000000,216542.63
1704135600000,216836.73
1704139200000,217193.36
1704142800000,216105.42
1704146400000,215875.43
1704150000000,216479.22
1704153600000,215875.78
1704157200000,213820.66
1704160800000,214016.56
1704164400000,213958.04
1704168000000,214826.5
1704171600000,214601.37
1704175200000,216925.8
1704178800000,217658.59
1704182400000,217022.03
1704186000000,216303.48
1704189600000,217767.12
1704193200000,217608.3
1704196800000,218387.92
1704200400000,219226.34
1704204000000,218313.96
1704207600000,215036.68
1704211200000,217873.05
1704214800000,219414.09
1704218400000,218841.86
1704222000000,218674.36
1704225600000,217568.42
1704229200000,218305.77
1704232800000,217684.55
1704236400000,216690.96
1704240000000,216258.28
1704243600000,215527.05
1704247200000,215156.98
1704250800000,216832.4
1704254400000,216620.34
1704258000000,217729.06
1704261600000,218077.12
1704265200000,218508.24
1704268800000,217280.23
1704272400000,217120.43
1704276000000,218768.07
1704279600000,215249.25
1704283200000,210819.48
1704286800000,157650.85999999
1704290400000,155185.72
1704294000000,151996.78
1704297600000,157934.39
1704301200000,162102.35999999
1704304800000,162464.53
1704308400000,161106.46
1704312000000,161668.48
1704315600000,161378.16
1704319200000,161452.89
1704322800000,161249.51999999
1704326400000,161189.93
1704330000000,159391.0
1704333600000,158522.53
1704337200000,158292.09
1704340800000,159539.47
1704344400000,160678.04999999
1704348000000,160828.26
1704351600000,161587.32999999
1704355200000,161443.79999999
1704358800000,161470.16
1704362400000,161879.06
1704366000000,165134.53
1704369600000,164950.39
1704373200000,164174.19
1704376800000,165750.81
1704380400000,165350.65
1704384000000,168211.76
1704387600000,167001.29999999
1704391200000,165746.54
1704394800000,165658.16
1704398400000,166457.82
1704402000000,167977.85
1704405600000,168820.0
1704409200000,169368.38
1704412800000,169623.49
1704416400000,171936.32
1704420000000,165061.98
1704423600000,166443.51999999
1704427200000,166391.79999999
1704430800000,167477.51999999
1704434400000,167203.69
1704438000000,165140.24
1704441600000,164696.59
1704445200000,164106.2
1704448800000,165153.54
1704452400000,166886.46
1704456000000,168343.99
1704459600000,168972.24
1704463200000,169489.91
1704466800000,168120.96
1704470400000,169965.81
1704474000000,170098.85
1704477600000,170019.53
1704481200000,170379.34
1704484800000,170963.37
1704488400000,171323.4
1704492000000,170750.54
1704495600000,170437.9
1704499200000,171743.26999999
1704502800000,184966.61
1704506400000,184081.76
1704510000000,184058.4
1704513600000,183361.95
1704517200000,183672.68
1704520800000,181371.48
1704524400000,183650.23
1704528000000,177944.18
1704531600000,179419.66
1704535200000,179389.11
1704538800000,179240.81
1704542400000,179824.45
1704546000000,179431.82
1704549600000,178759.03
1704553200000,177494.72
1704556800000,179128.54
1704560400000,179033.41
1704564000000,177826.91
1704567600000,177693.99
1704571200000,177754.43
1704574800000,178763.48
1704578400000,178521.23
1704582000000,178361.58
1704585600000,177979.27
1704589200000,178251.89
1704592800000,178260.52
1704596400000,178047.08
1704600000000,178424.06
1704603600000,177482.58
1704607200000,176607.62
1704610800000,176353.46
1704614400000,176335.65
1704618000000,175441.65
1704621600000,174665.60999999
1704625200000,174770.79999999
1704628800000,174707.62
1704632400000,174822.73
1704636000000,174861.98
1704639600000,174844.53
1704643200000,175220.82
1704646800000,174713.79
1704650400000,175575.73
1704654000000,175443.1
1704657600000,175466.97
1704661200000,175188.23
1704664800000,173933.57
1704668400000,173754.72
1704672000000,173536.57999999
1704675600000,174195.44
1704679200000,175475.7
1704682800000,159923.57999999
1704686400000,159251.76999999
1704690000000,158713.23
1704693600000,157006.07999999
1704697200000,155254.48
1704700800000,155491.71
1704704400000,155955.12
1704708000000,155036.25
1704711600000,155109.51
1704715200000,155087.53
1704718800000,153756.84
1704722400000,153243.53
1704726000000,152423.23
1704729600000,152536.57
1704733200000,152723.69
1704736800000,152026.64
1704740400000,151074.99
1704744000000,150981.17
1704747600000,149643.82999999
1704751200000,149634.68
1704754800000,149937.82999999
1704758400000,150770.32
1704762000000,151415.32999999
1704765600000,151676.26
1704769200000,151407.6
1704772800000,151869.91
1704776400000,150659.85
1704780000000,146429.35
1704783600000,145861.46
1704787200000,143556.4
1704790800000,140884.63
1704794400000,139201.62
1704798000000,140131.87
1704801600000,139988.85999999
1704805200000,138027.4
1704808800000,139242.96
1704812400000,137226.37
1704816000000,135429.76999999
1704819600000,134973.93
1704823200000,134880.35
1704826800000,134694.43
1704830400000,134562.62
1704834000000,134442.01
1704837600000,132481.82
1704841200000,132104.01999999
1704844800000,132071.95
1704848400000,132671.85999999
1704852000000,132410.1
1704855600000,134611.74
1704859200000,134737.9
1704862800000,134595.32
1704866400000,134315.98
1704870000000,134543.72
1704873600000,134687.51999999
1704877200000,134980.93
1704880800000,134911.35999999
1704884400000,135824.7
1704888000000,135987.71
1704891600000,134354.38
1704895200000,133753.18
1704898800000,133959.26
1704902400000,133700.14
1704906000000,133548.68
1704909600000,134696.76
1704913200000,134612.23
1704916800000,136160.04999999
1704920400000,135073.78
1704924000000,146285.98
1704927600000,155655.93
1704931200000,151769.04
1704934800000,152402.1
1704938400000,150602.31
1704942000000,151067.49
1704945600000,151268.10999999
1704949200000,152239.19
1704952800000,151425.81
1704956400000,149730.59
1704960000000,151727.2
1704963600000,157065.88
1704967200000,157237.25
1704970800000,157990.84
1704974400000,159327.34
1704978000000,160303.66
1704981600000,159062.46
1704985200000,160230.87
1704988800000,154657.51999999
1704992400000,151320.57999999
1704996000000,149794.26999999
1704999600000,149861.81
1705003200000,150189.26999999
1705006800000,150808.2
1705010400000,152046.48
1705014000000,151955.82999999
1705017600000,154350.65
1705021200000,159637.32
1705024800000,161325.44
1705028400000,162366.98
1705032000000,165420.53
1705035600000,169708.29999999
1705039200000,173277.72
1705042800000,176323.14
1705046400000,178348.82
1705050000000,179784.26
1705053600000,179869.11
1705057200000,180472.92
1705060800000,180495.48
1705064400000,180507.99
1705068000000,182273.06
1705071600000,182487.74
1705075200000,172583.21
1705078800000,162383.97
1705082400000,157354.04999999
1705086000000,156593.04999999
1705089600000,156496.29
1705093200000,157605.42
1705096800000,157830.64
1705100400000,164408.23
1705104000000,163964.37
1705107600000,163464.25
1705111200000,163588.13
1705114800000,163685.87
1705118400000,163645.06
1705122000000,164011.76
1705125600000,163896.53
1705129200000,163904.79
1705132800000,163679.35
1705136400000,164490.68
1705140000000,163936.71
1705143600000,164132.04
1705147200000,164240.42
1705150800000,164892.97
1705154400000,165331.29
1705158000000,166060.12
1705161600000,166242.0
1705165200000,167156.54
1705168800000,166940.03
1705172400000,167876.54999999
1705176000000,168674.28
1705179600000,167701.18
1705183200000,168981.04999999
1705186800000,169939.79
1705190400000,168719.43
1705194000000,167690.53
1705197600000,168727.39
1705201200000,168968.24
1705204800000,168362.18
1705208400000,168858.76999999
1705212000000,173184.81
1705215600000,175757.21
1705219200000,175975.75
1705222800000,177142.83
1705226400000,178222.09
1705230000000,179566.43
1705233600000,179947.39
1705237200000,180619.2
1705240800000,184956.58
1705244400000,185029.4
1705248000000,186268.26
1705251600000,186399.09
1705255200000,187107.27
1705258800000,188149.93
1705262400000,189693.25
1705266000000,189984.14
1705269600000,190439.16
1705273200000,191546.32
1705276800000,194547.31
1705280400000,197852.75
1705284000000,199106.93
1705287600000,199923.01
1705291200000,201889.74
1705294800000,210782.53
1705298400000,217101.8
1705302000000,229558.22
1705305600000,225257.46
1705309200000,229585.27
1705312800000,232585.6
1705316400000,231930.72
1705320000000,231802.48
1705323600000,218141.54
1705327200000,206985.0
1705330800000,194318.75
1705334400000,193013.51
1705338000000,192279.99
1705341600000,191144.67
1705345200000,190157.27
1705348800000,191936.39
1705352400000,190513.97
1705356000000,189212.41
1705359600000,190339.54
1705363200000,198277.34
1705366800000,191881.16
1705370400000,192786.5
1705374000000,191555.57
1705377600000,189932.55
1705381200000,188641.01
1705384800000,188406.09
1705388400000,189178.81
1705392000000,188588.99
1705395600000,191899.35
1705399200000,193744.26
1705402800000,195964.33
1705406400000,197580.2
1705410000000,199274.26
1705413600000,200232.51
1705417200000,197916.83
1705420800000,203825.27
1705424400000,203041.02
1705428000000,203805.27
1705431600000,203184.7
1705435200000,200749.89
1705438800000,200749.43
1705442400000,200552.8
1705446000000,199785.64
1705449600000,199507.64
1705453200000,199062.27
1705456800000,198151.4
1705460400000,199658.44
1705464000000,202849.72
1705467600000,202986.07
1705471200000,198042.53
1705474800000,198193.59
1705478400000,203190.98
1705482000000,200707.9
1705485600000,200989.35
1705489200000,202338.75
1705492800000,202632.65
1705496400000,194807.47
1705500000000,191507.91
1705503600000,189600.35
1705507200000,189758.83
1705510800000,189323.22
1705514400000,188657.89
1705518000000,178027.35
1705521600000,165845.35
1705525200000,161296.51999999
1705528800000,160903.07999999
1705532400000,160215.17
1705536000000,158722.37
1705539600000,159032.59
1705543200000,158316.39
1705546800000,156431.66
1705550400000,156133.45
1705554000000,157237.69
1705557600000,157693.76999999
1705561200000,157579.82
1705564800000,157767.60999999
1705568400000,157926.9
1705572000000,157523.38
1705575600000,157037.92
1705579200000,156982.6
1705582800000,156023.51999999
1705586400000,156813.74
1705590000000,155251.73
1705593600000,157477.59
1705597200000,155221.01999999
1705600800000,154833.68
1705604400000,154679.89
1705608000000,154963.26999999
1705611600000,155237.32999999
1705615200000,155420.07999999
1705618800000,155563.53
1705622400000,155106.01
1705626000000,152721.06
1705629600000,152392.31
1705633200000,151930.03
1705636800000,150888.29
1705640400000,151609.63
1705644000000,150814.89
1705647600000,152572.6
1705651200000,150035.79
1705654800000,152083.16
1705658400000,151799.44
1705662000000,151575.84
1705665600000,154064.57999999
1705669200000,155171.54999999
1705672800000,157633.16
1705676400000,157243.29999999
1705680000000,157751.32
1705683600000,158688.75
1705687200000,153819.93
1705690800000,152853.81
1705694400000,153510.28
1705698000000,153161.01999999
1705701600000,153105.54999999
1705705200000,152877.32999999
1705708800000,152820.49
1705712400000,152990.91
1705716000000,153653.34
1705719600000,153467.82999999
1705723200000,154393.95
1705726800000,154234.31
1705730400000,154938.23
1705734000000,154590.59
1705737600000,155096.07
1705741200000,154769.26999999
1705744800000,153701.69
1705748400000,154512.88
1705752000000,154979.37
1705755600000,155247.79999999
1705759200000,155272.67
1705762800000,154600.96
1705766400000,154056.76999999
1705770000000,154042.10999999
1705773600000,154255.95
1705777200000,154948.01
1705780800000,155072.45
1705784400000,154394.54
1705788000000,154740.07
1705791600000,153953.28
1705795200000,154897.26999999
1705798800000,157372.74
1705802400000,157701.26
1705806000000,158745.13
1705809600000,158746.79
1705813200000,159504.57
1705816800000,160720.88
1705820400000,161443.29999999
1705824000000,161494.7
1705827600000,161312.14
1705831200000,161152.04999999
1705834800000,163411.96
1705838400000,162679.31
1705842000000,163089.84
1705845600000,162944.42
1705849200000,162591.31
1705852800000,163482.95
1705856400000,164020.04999999
1705860000000,164274.07999999
1705863600000,165351.99
1705867200000,165577.26
1705870800000,166597.54999999
1705874400000,166635.19
1705878000000,166336.98
1705881600000,167128.56
1705885200000,166623.38
1705888800000,165089.03
1705892400000,165865.82
1705896000000,165037.22
1705899600000,164793.09
1705903200000,164122.54999999
1705906800000,164526.78
1705910400000,164641.39
1705914000000,164203.82999999
1705917600000,163512.32999999
1705921200000,162716.1
1705924800000,163347.5
1705928400000,163821.10999999
1705932000000,164106.19
1705935600000,164761.53
1705939200000,163842.95
1705942800000,163506.38
1705946400000,163978.39
1705950000000,163244.91
1705953600000,162700.88
1705957200000,161997.85999999
1705960800000,161875.72
1705964400000,162212.89
1705968000000,160850.91
1705971600000,160473.19
1705975200000,160351.07999999
1705978800000,159410.34
1705982400000,159277.15
1705986000000,159412.53
