ts_ms,open,high,low,close,volume,turnover
1672531200000,16549.5,16556,16524,16545,1202.025,19880815.8705
1672534800000,16545,16570,16544,16570,620.348,10271418.0355
1672538400000,16570,16577.5,16562,16563.5,774.636,12834955.961
1672542000000,16563.5,16564,16540.5,16553,798.486,13214311.097
1672545600000,16553,16553,16529,16534.5,704.972,11659182.8155
1672549200000,16534.5,16547,16527.5,16547,584.254,9660401.335
1672552800000,16547,16560,16546.5,16553.5,583.434,9658127.115
1672556400000,16553.5,16554.5,16511,16537.5,1966.085,32501486.435
1672560000000,16537.5,16539,16520,16522,900.463,14883786.2855
1672563600000,16522,16553.5,16519,16553.5,996.254,16471811.1285
1672567200000,16553.5,16560,16549.5,16559.5,742.65,12294321.6885
1672570800000,16559.5,16569,16555.5,16568.5,920.362,15242575.394
1672574400000,16568.5,16582,16563.5,16575,1399.989,23202369.935
1672578000000,16575,16580,16554,16554.5,1196.817,19825109.2555
1672581600000,16554.5,16569,16554,16560.5,726.342,12030296.9835
1672585200000,16560.5,16575,16550.5,16574,637.612,10559185.93
1672588800000,16574,16592.5,16569.5,16575.5,1581.48,26222666.2135
1672592400000,16575.5,16609.5,16575,16589.5,1940.653,32200912.159
1672596000000,16589.5,16609,16589,16595.5,1127.995,18725906.8655
1672599600000,16595.5,16631,16595.5,16608,1883.485,31297920.703
1672603200000,16608,16630.5,16607.5,16608,896.422,14897152.901
1672606800000,16608,16611,16600,16611,616.115,10231501.2
1672610400000,16611,16614.5,16587,16603.5,983.302,16322947.382
1672614000000,16603.5,16625.5,16603,16622.5,1158.835,19254879.2055
1672617600000,16622.5,16627,16587,16591.5,1676.436,27833308.0415
1672621200000,16591.5,16592,16552,16573,2835.862,46984331.8485
1672624800000,16573,16595,16562.5,16593,803.758,13326726.7855
1672628400000,16593,16709.5,16588,16664.5,6078.429,101245998.0405
1672632000000,16664.5,16676.5,16629.5,16643.5,3282.012,54654316.674
1672635600000,16643.5,16661,16623,16646,1424.537,23704785.029
1672639200000,16646,16659.5,16633.5,16639,795.653,13244048.2455
1672642800000,16639,16774,16639,16717.5,9186.593,153659345.623
1672646400000,16717.5,16768.5,16707.5,16730,4244.389,71043623.457
1672650000000,16730,16740,16710.5,16715.5,2889.726,48327323.058
1672653600000,16715.5,16756,16709.5,16722.5,2099.712,35123762.1705
1672657200000,16722.5,16736,16702,16731,1335.67,22334584.614
1672660800000,16731,16739,16721,16721,849.336,14209834.0575
1672664400000,16721,16721.5,16686,16694,3189.696,53274207.6445
1672668000000,16694,16708,16666,16699,2641.545,44084087.3555
1672671600000,16699,16749.5,16694.5,16731.5,3981.365,66594314.4455
1672675200000,16731.5,16734.5,16707,16707.5,2076.912,34736231.7085
1672678800000,16707.5,16719.5,16700.5,16710.5,998.742,16688993.444
1672682400000,16710.5,16731.5,16707,16721,1016.055,16985058.7935
1672686000000,16721,16736.5,16720,16734.5,799.96,13381531.767
1672689600000,16734.5,16735,16708.5,16728.5,940.082,15721476.677
1672693200000,16728.5,16799,16720,16752,3341.092,56003866.74
1672696800000,16752,16760,16675.5,16695,4471.953,74778983.7665
1672700400000,16695,16721,16651,16668,3885.392,64820288.034
1672704000000,16668,16703.5,16644.5,16696,3139.191,52352409.8295
1672707600000,16696,16696,16650,16677,3033.997,50562081.789
1672711200000,16677,16683.5,16671,16674.5,811.217,13529610.742
1672714800000,16674.5,16697.5,16669.5,16691,1038.234,17325347.019
1672718400000,16691,16699.5,16684,16689,882.5,14729970.3745
1672722000000,16689,16722,16686.5,16719.5,2371.107,39610879.226
1672725600000,16719.5,16774,16716.5,16719,5857.101,98059662.73
1672729200000,16719,16729.5,16702.5,16726,2033.512,33992150.78
1672732800000,16726,16730,16693,16712,2329.786,38925619.6495
1672736400000,16712,16750,16711.5,16735.5,1888.578,31601057.031
1672740000000,16735.5,16741.5,16722,16722.5,1367.184,22873201.299
1672743600000,16722.5,16733.5,16707,16715.5,1313.39,21960624.891
1672747200000,16715.5,16722.5,16701,16706,1651.955,27607063.2785
1672750800000,16706,16735,16706,16724,1423.366,23801296.1355
1672754400000,16724,16770,16631,16658,10268.536,171543521.538
1672758000000,16658,16680,16616,16679.5,8501.428,141545257.4075
1672761600000,16679.5,16686,16606,16621.5,4999.237,83211016.8495
1672765200000,16621.5,16641.5,16605,16630.5,2831.586,47075250.082
1672768800000,16630.5,16653,16630.5,16642,1802.374,29994983.6585
1672772400000,16642,16656.5,16620.5,16645,1666.109,27724119.0245
1672776000000,16645,16668,16642,16661.5,2066.858,34427780.64
1672779600000,16661.5,16672.5,16658.5,16662,1160.359,19339354.5915
1672783200000,16662,16675.5,16642,16672.5,1407.757,23448887.9
1672786800000,16672.5,16693.5,16664.5,16670,1469.576,24510580.6365
1672790400000,16670,16671,16652,16656.5,1056.282,17600402.6605
1672794000000,16656.5,16728.5,16656.5,16698.5,4075.863,68085290.791
1672797600000,16698.5,16748,16698.5,16732,2995.911,50119729.3995
1672801200000,16732,16869.5,16732,16853.5,14170.986,238238658.9725
1672804800000,16853.5,16898.5,16844,16851,6929.607,116904219.1495
1672808400000,16851,16852.5,16832.5,16849.5,1960.097,33010591.718
1672812000000,16849.5,16875,16846,16875,1749.929,29500935.3915
1672815600000,16875,16889.5,16846,16864.5,2345.434,39553582.9925
1672819200000,16864.5,16903,16831,16859,5498.072,92737175.3975
1672822800000,16859,16859,16830,16842,2170.371,36560712.5685
1672826400000,16842,16842,16826.5,16838,1420.191,23909487.079
1672830000000,16838,16849,16831.5,16832,1457.418,24544504.694
1672833600000,16832,16841,16807,16811.5,3269.287,54996198.307
1672837200000,16811.5,16835.5,16811,16823.5,1857.742,31252537.6575
1672840800000,16823.5,16850,16797,16827,4872.217,81982444.327
1672844400000,16827,16850,16760.5,16850,8330.126,139993595.634
1672848000000,16850,16891.5,16825.5,16850.5,5848.963,98614004.348
1672851600000,16850.5,16930,16843.5,16881,6656.424,112481197.3915
1672855200000,16881,16982,16859,16943.5,8102.665,137167915.3235
