ts_ms,funding_rate
1669766400000,0.00001048
1669795200000,-0.00000676
1669824000000,0.0001
1669852800000,-0.00018601
1669881600000,-0.00030662
1669910400000,-0.0000957
1669939200000,0.0001
1669968000000,0.0001
1669996800000,0.00004769
1670025600000,-0.00011683
1670054400000,-0.00010381
1670083200000,0.0001
1670112000000,0.0001
1670140800000,0.00008482
1670169600000,0.00006685
1670198400000,-0.00010183
1670227200000,-0.00030041
1670256000000,-0.00026486
1670284800000,0.0001
1670313600000,0.0001
1670342400000,0.00009862
1670371200000,0.00009301
1670400000000,0.0001
1670428800000,0.0001
1670457600000,-0.00000629
1670486400000,-0.00008519
1670515200000,-0.0000265
1670544000000,-0.0003213
1670572800000,-0.00019539
1670601600000,-0.00007354
1670630400000,-0.000037
1670659200000,-0.00004695
1670688000000,-0.00003214
1670716800000,-0.00024822
1670745600000,-0.0000733
1670774400000,-0.00007369
1670803200000,0.00001826
1670832000000,0.00007832
1670860800000,-0.0000578
1670889600000,-0.0002016
1670918400000,-0.00022398
1670947200000,-0.00038555
1670976000000,-0.00032917
1671004800000,0.00003926
1671033600000,-0.00023733
1671062400000,-0.0006066
1671091200000,-0.00014548
1671120000000,-0.00006123
1671148800000,0.0001
1671177600000,-0.00019453
1671206400000,-0.00007165
1671235200000,0.0001
1671264000000,0.0001
1671292800000,0.00009731
1671321600000,0.00009656
1671350400000,0.0000552
1671379200000,0.00000537
1671408000000,0.00007116
1671436800000,-0.00004437
1671465600000,0.00003085
1671494400000,0.0001
1671523200000,0.0001
1671552000000,0.00006004
1671580800000,0.00006598
1671609600000,0.0001
1671638400000,0.0001
1671667200000,0.0001
1671696000000,0.00007265
1671724800000,0.0001
1671753600000,0.0001
1671782400000,0.0001
1671811200000,0.0001
1671840000000,0.0001
1671868800000,0.0001
1671897600000,0.0001
1671926400000,0.0001
1671955200000,0.0001
1671984000000,0.0001
1672012800000,0.0001
1672041600000,0.00004361
1672070400000,0.00009139
1672099200000,0.0001
1672128000000,0.00008357
1672156800000,0.0001
1672185600000,0.0001
1672214400000,0.0001
1672243200000,0.0001
1672272000000,0.0001
1672300800000,0.0001
1672329600000,0.0001
1672358400000,0.0001
1672387200000,0.0001
1672416000000,0.0001
1672444800000,0.00014457
1672473600000,0.0003689
1672502400000,0.00035736
1672531200000,0.00024639
1672560000000,0.0003643
1672588800000,0.00019145
1672617600000,0.0001
1672646400000,0.0001
1672675200000,0.0001
1672704000000,0.0001
1672732800000,0.0001
1672761600000,0.0001
1672790400000,0.0001
1672819200000,0.0001
1672848000000,0.0001
1672876800000,0.00006612
1672905600000,0.00003569
1672934400000,0.0001
1672963200000,-0.00003394
1672992000000,0.00008281
1673020800000,0.0001
1673049600000,0.00000582
1673078400000,0.00002609
1673107200000,0.0001
1673136000000,0.0001
1673164800000,0.0001
1673193600000,0.0001
1673222400000,0.0001
1673251200000,-0.00011396
1673280000000,-0.00021
1673308800000,-0.00015672
1673337600000,0.00001103
1673366400000,-0.00017739
1673395200000,-0.0004199
1673424000000,-0.00016625
1673452800000,0.00001701
1673481600000,-0.00025655
1673510400000,-0.00019061
1673539200000,-0.00001809
1673568000000,-0.00035608
1673596800000,-0.00042722
1673625600000,-0.00029924
1673654400000,-0.00045309
1673683200000,0.0001
1673712000000,0.0001
1673740800000,0.0001
1673769600000,0.0001
1673798400000,0.0001
1673827200000,0.0001
1673856000000,0.0001
1673884800000,0.0001
1673913600000,0.0001
1673942400000,0.0001
1673971200000,0.0001
1674000000000,-0.0000982
1674028800000,0.0001
1674057600000,0.00001262
1674086400000,0.0001
1674115200000,0.0001
1674144000000,-0.00001471
1674172800000,-0.00018378
1674201600000,-0.00001235
1674230400000,0.00000914
1674259200000,0.00000966
1674288000000,0.0001
1674316800000,0.0001
1674345600000,0.0001
1674374400000,0.0001
1674403200000,0.0001
1674432000000,0.0001
1674460800000,0.0001
1674489600000,0.0001
1674518400000,0.0001
1674547200000,0.0001
1674576000000,0.0001
1674604800000,0.0001
1674633600000,0.0001
1674662400000,0.0001
1674691200000,0.0001
1674720000000,0.0001
1674748800000,0.0001
1674777600000,0.0001
1674806400000,0.0001
1674835200000,0.0001
1674864000000,0.0001
1674892800000,0.0001
1674921600000,0.0001
1674950400000,0.0001
1674979200000,0.0001
1675008000000,0.0001
1675036800000,0.0001
1675065600000,0.0001
1675094400000,0.0001
1675123200000,0.0001
1675152000000,0.0001
1675180800000,0.0001
1675209600000,0.0001
1675238400000,0.0001
1675267200000,0.0001
1675296000000,0.0001
1675324800000,0.0001
1675353600000,0.0001
1675382400000,0.0001
1675411200000,0.0001
1675440000000,0.0001
1675468800000,0.0001
1675497600000,0.0001
1675526400000,0.0001
1675555200000,0.0001
1675584000000,0.0001
1675612800000,0.0001
1675641600000,0.0001
1675670400000,0.0001
1675699200000,0.0001
1675728000000,0.0001
1675756800000,0.0001
1675785600000,0.0001
1675814400000,0.0001
1675843200000,0.0001
1675872000000,0.0001
1675900800000,0.0001
1675929600000,0.0001
1675958400000,0.00005169
1675987200000,0.0001
1676016000000,0.0001
1676044800000,0.0001
1676073600000,0.0001
1676102400000,0.00005648
1676131200000,0.0001
1676160000000,0.0001
1676188800000,0.0001
1676217600000,0.0001
1676246400000,0.00003235
1676275200000,0.0001
1676304000000,0.0001
1676332800000,0.0001
1676361600000,0.0001
1676390400000,0.0001
1676419200000,0.00001311
1676448000000,0.00000058
1676476800000,0.00000791
1676505600000,0.0001
1676534400000,0.0001
1676563200000,0.00014868
1676592000000,0.0001
1676620800000,0.0001
1676649600000,0.0001
1676678400000,0.0001
1676707200000,0.0001
1676736000000,0.0001
1676764800000,0.0001
1676793600000,0.0001
1676822400000,0.0001
1676851200000,0.0001
1676880000000,0.0001
1676908800000,0.0001
1676937600000,0.0001
1676966400000,0.0001
1676995200000,0.0001
1677024000000,0.0001
1677052800000,0.0001
1677081600000,0.0001
1677110400000,0.0001
1677139200000,0.0001
1677168000000,0.0001
1677196800000,0.0001
1677225600000,0.0001
1677254400000,0.0001
1677283200000,0.0001
1677312000000,0.0001
1677340800000,0.0001
1677369600000,0.0001
1677398400000,0.0001
1677427200000,0.0001
1677456000000,0.0001
1677484800000,0.0001
1677513600000,0.0001
1677542400000,0.0001
1677571200000,0.0001
1677600000000,0.0001
1677628800000,0.0001
1677657600000,0.0001
1677686400000,0.0001
1677715200000,0.0001
1677744000000,0.0001
1677772800000,0.0001
1677801600000,0.0001
1677830400000,0.0001
1677859200000,0.0001
1677888000000,0.0001
1677916800000,0.00005761
1677945600000,0.00002137
1677974400000,0.0001
1678003200000,0.00003899
1678032000000,0.0001
1678060800000,0.00003621
1678089600000,-0.00000853
1678118400000,0.00003329
1678147200000,0.00003018
1678176000000,0.00003779
1678204800000,0.0001
1678233600000,0.0001
1678262400000,0.00005819
1678291200000,0.0001
1678320000000,0.0001
1678348800000,0.0001
1678377600000,0.0001
1678406400000,0.0001
1678435200000,0.00002191
1678464000000,0.00005194
1678492800000,0.00007963
1678521600000,0.00002727
1678550400000,0.0001
1678579200000,0.0001
1678608000000,0.0001
1678636800000,0.00009121
1678665600000,0.0001
1678694400000,-0.0000281
1678723200000,0.0001
1678752000000,0.00012226
1678780800000,0.0001
1678809600000,0.0001
1678838400000,0.0001
1678867200000,0.0001719
1678896000000,0.0001
1678924800000,0.0001
1678953600000,0.0001
1678982400000,0.0001
1679011200000,0.0001
1679040000000,0.0001
1679068800000,0.0001
1679097600000,0.0001
1679126400000,0.0001
1679155200000,0.0001
1679184000000,0.0001
1679212800000,0.0001
1679241600000,0.0001
1679270400000,0.0001
1679299200000,0.0001
1679328000000,0.0001
1679356800000,0.0001
1679385600000,0.00003085
1679414400000,0.00007882
1679443200000,-0.00000795
1679472000000,0.00006154
1679500800000,0.00006755
1679529600000,-0.00000895
1679558400000,0.00008682
1679587200000,0.0001
1679616000000,0.0001
1679644800000,0.0001
1679673600000,0.00006691
1679702400000,0.0001
1679731200000,0.0001
1679760000000,0.00003954
1679788800000,0.00002751
1679817600000,-0.000042
1679846400000,0.00004325
1679875200000,0.00007762
