ts_ms,open_interest
1672531200000,71621.18799999
1672534800000,71895.33400000
1672538400000,71993.55300000
1672542000000,71842.77099999
1672545600000,71760.69100000
1672549200000,71836.38499999
1672552800000,71870.62699999
1672556400000,72019.46799999
1672560000000,72006.81299999
1672563600000,72136.08000000
1672567200000,72281.52200000
1672570800000,72409.91300000
1672574400000,72522.48000000
1672578000000,72649.94600000
1672581600000,72610.43200000
1672585200000,72572.88900000
1672588800000,72530.27600000
1672592400000,72737.11199999
1672596000000,72557.73000000
1672599600000,72814.62200000
1672603200000,72939.98000000
1672606800000,73122.15700000
1672610400000,73169.03999999
1672614000000,72951.66300000
1672617600000,73182.09600000
1672621200000,73446.71900000
1672624800000,73070.47000000
1672628400000,73261.41600000
1672632000000,71650.83700000
1672635600000,72324.69500000
1672639200000,72898.01900000
1672642800000,73039.72800000
1672646400000,72774.84299999
1672650000000,73878.95500000
1672653600000,74624.01300000
1672657200000,74911.99400000
1672660800000,75234.08000000
1672664400000,75421.53800000
1672668000000,75594.06800000
1672671600000,75586.42100000
1672675200000,75192.81299999
1672678800000,75592.52000000
1672682400000,75457.10000000
1672686000000,75417.51800000
1672689600000,75626.89800000
1672693200000,75761.62699999
1672696800000,73999.33199999
1672700400000,74187.04600000
1672704000000,73959.34200000
1672707600000,74147.06500000
1672711200000,74105.22100000
1672714800000,74395.60300000
1672718400000,74207.14599999
1672722000000,74413.52700000
1672725600000,74544.38499999
1672729200000,74468.15200000
1672732800000,74769.31700000
1672736400000,75449.90399999
1672740000000,75552.65600000
1672743600000,75914.10700000
1672747200000,76056.51600000
1672750800000,75886.73200000
1672754400000,76085.48100000
1672758000000,74819.16300000
1672761600000,75206.38200000
1672765200000,75171.84900000
1672768800000,75434.06800000
1672772400000,75608.97900000
1672776000000,75347.56100000
1672779600000,75226.48400000
1672783200000,75060.15300000
1672786800000,74816.24800000
1672790400000,74399.28200000
1672794000000,74344.73600000
1672797600000,74496.71400000
1672801200000,74250.19899999
1672804800000,72330.86900000
1672808400000,72161.16700000
1672812000000,72002.12100000
1672815600000,71656.11100000
1672819200000,71816.36700000
1672822800000,71240.98100000
1672826400000,70979.72700000
1672830000000,71059.08900000
1672833600000,71035.65200000
1672837200000,70676.72400000
1672840800000,70866.96200000
1672844400000,71748.69400000
1672848000000,71208.81500000
1672851600000,72118.03900000
1672855200000,71685.91099999
1672858800000,70899.67700000
1672862400000,70411.80000000
1672866000000,70205.67900000
1672869600000,70166.04399999
1672873200000,69810.53400000
1672876800000,69771.80300000
1672880400000,70143.63400000
1672884000000,70555.72199999
1672887600000,70690.28000000
1672891200000,70642.85900000
1672894800000,70670.22300000
1672898400000,70546.55800000
1672902000000,70532.97500000
1672905600000,70509.75400000
1672909200000,70418.59900000
1672912800000,70522.08400000
1672916400000,70583.41499999
1672920000000,70737.40900000
1672923600000,70992.23100000
1672927200000,71747.33199999
1672930800000,72000.22300000
1672934400000,72830.06299999
1672938000000,72666.05100000
1672941600000,72441.39599999
1672945200000,72462.14200000
1672948800000,72584.79700000
1672952400000,72418.60000000
1672956000000,72029.86700000
1672959600000,71912.40600000
1672963200000,71720.66000000
1672966800000,72079.80300000
1672970400000,71691.53300000
1672974000000,71678.18900000
1672977600000,71589.31299999
1672981200000,71511.09500000
1672984800000,71135.96200000
1672988400000,71156.91800000
1672992000000,71113.47199999
1672995600000,71173.29100000
1672999200000,71127.11800000
1673002800000,70985.07200000
1673006400000,70310.67100000
1673010000000,70736.58500000
1673013600000,69842.69400000
1673017200000,70869.45400000
1673020800000,70189.92100000
1673024400000,69999.15800000
1673028000000,70101.55600000
1673031600000,70261.61700000
1673035200000,69452.85000000
1673038800000,68499.85799999
1673042400000,67842.86199999
1673046000000,67746.24700000
1673049600000,67884.10099999
1673053200000,67829.60200000
1673056800000,67813.83400000
1673060400000,67917.12400000
1673064000000,68094.73400000
1673067600000,68115.94200000
1673071200000,68248.15500000
1673074800000,68380.89700000
1673078400000,68271.05700000
1673082000000,68133.37400000
1673085600000,68155.16400000
1673089200000,68234.61599999
1673092800000,68461.66200000
1673096400000,68526.69600000
1673100000000,68587.85400000
1673103600000,68711.17000000
1673107200000,69124.77499999
1673110800000,69257.71900000
1673114400000,69172.36400000
1673118000000,69382.63300000
1673121600000,69418.25599999
1673125200000,69258.36599999
1673128800000,69341.92999999
1673132400000,69156.10900000
1673136000000,69342.39300000
1673139600000,69326.78900000
1673143200000,69119.91099999
1673146800000,69043.39700000
1673150400000,69112.27499999
1673154000000,69075.19000000
1673157600000,69182.76700000
1673161200000,69272.84000000
1673164800000,69131.39000000
1673168400000,69203.36700000
1673172000000,69554.04200000
1673175600000,69447.10600000
1673179200000,69259.95200000
1673182800000,69432.13800000
1673186400000,69721.38000000
1673190000000,69712.41899999
1673193600000,68901.85500000
1673197200000,68867.83600000
1673200800000,69183.92400000
1673204400000,69419.79800000
1673208000000,69533.02899999
1673211600000,68807.01300000
1673215200000,68832.04600000
1673218800000,68988.42900000
1673222400000,65432.63800000
1673226000000,66673.48000000
1673229600000,66697.05800000
1673233200000,67008.67700000
1673236800000,67063.41300000
1673240400000,66986.06800000
1673244000000,66813.96799999
1673247600000,66812.19899999
1673251200000,66506.51300000
1673254800000,66970.37100000
1673258400000,67202.56000000
1673262000000,67867.99200000
1673265600000,68309.94500000
1673269200000,68784.11900000
1673272800000,68744.20100000
1673276400000,68964.17000000
1673280000000,68919.02099999
1673283600000,69023.49600000
1673287200000,68897.69400000
1673290800000,69496.92700000
1673294400000,69039.11500000
1673298000000,67391.76500000
1673301600000,66627.64500000
1673305200000,65934.68900000
1673308800000,65232.23900000
1673312400000,65306.77500000
1673316000000,65283.06900000
1673319600000,65176.01400000
1673323200000,65387.39900000
1673326800000,65794.73900000
1673330400000,65799.83700000
1673334000000,65822.85000000
1673337600000,65907.76800000
1673341200000,66105.36700000
1673344800000,66348.27000000
1673348400000,66453.55000000
1673352000000,66887.49300000
1673355600000,66536.77899999
1673359200000,66398.67100000
1673362800000,67734.61599999
1673366400000,68207.04100000
1673370000000,68360.37300000
1673373600000,68285.62100000
1673377200000,69166.10099999
1673380800000,70748.82900000
1673384400000,71371.50400000
1673388000000,70793.23299999
1673391600000,71187.28400000
1673395200000,71088.15300000
1673398800000,71539.91600000
1673402400000,71923.83900000
1673406000000,72097.38800000
1673409600000,72047.66899999
1673413200000,72114.26900000
1673416800000,72397.53900000
1673420400000,72425.78400000
1673424000000,72658.80300000
1673427600000,72882.94899999
1673431200000,72802.27600000
1673434800000,72890.80700000
1673438400000,72925.12100000
1673442000000,73242.93700000
1673445600000,73100.87300000
1673449200000,72695.35200000
1673452800000,71019.76900000
1673456400000,71461.42000000
1673460000000,72045.07900000
1673463600000,69893.77400000
1673467200000,70200.57300000
1673470800000,70761.09200000
1673474400000,71410.06800000
1673478000000,71570.63300000
1673481600000,65987.33600000
1673485200000,62328.56500000
1673488800000,63250.20300000
1673492400000,63160.84600000
1673496000000,64006.91700000
1673499600000,64164.03300000
1673503200000,63688.49500000
1673506800000,63892.32000000
1673510400000,64396.63400000
1673514000000,64454.40200000
1673517600000,64675.76900000
1673521200000,64428.94400000
1673524800000,64461.29600000
1673528400000,63765.37900000
1673532000000,63563.15000000
1673535600000,64606.02800000
1673539200000,63865.53100000
1673542800000,64898.83800000
1673546400000,60313.18800000
1673550000000,60279.14400000
1673553600000,59565.78300000
1673557200000,59720.62000000
1673560800000,62737.50900000
1673564400000,63082.44800000
1673568000000,62674.27000000
1673571600000,62197.85500000
1673575200000,62151.09200000
1673578800000,62363.22700000
1673582400000,62637.28800000
1673586000000,62844.02000000
1673589600000,62648.16700000
1673593200000,62253.58600000
1673596800000,62366.38500000
1673600400000,62332.63600000
1673604000000,62900.05100000
1673607600000,63955.26200000
1673611200000,64577.34500000
1673614800000,65030.14600000
1673618400000,65377.31900000
1673622000000,64677.27100000
1673625600000,68459.33600000
1673629200000,70070.40600000
1673632800000,68576.74800000
1673636400000,69338.78300000
1673640000000,69059.26900000
1673643600000,69740.73200000
1673647200000,65202.13600000
1673650800000,64862.81100000
1673654400000,66091.20800000
1673658000000,51322.63000000
1673661600000,52249.86300000
1673665200000,52287.91900000
1673668800000,50673.17400000
1673672400000,50636.12400000
1673676000000,50883.60200000
1673679600000,50897.36800000
1673683200000,51521.37500000
1673686800000,51538.05100000
1673690400000,49522.85900000
1673694000000,49639.27500000
1673697600000,50477.24300000
1673701200000,50301.82800000
1673704800000,50308.84700000
1673708400000,48861.12000000
1673712000000,49009.54300000
1673715600000,48832.75600000
1673719200000,48712.64200000
1673722800000,48744.27800000
1673726400000,48938.23100000
1673730000000,48765.08400000
1673733600000,48964.17700000
1673737200000,48540.97500000
1673740800000,48592.79000000
1673744400000,48234.71900000
1673748000000,48481.40900000
1673751600000,48796.25600000
1673755200000,48697.03700000
1673758800000,49134.53600000
1673762400000,49566.00500000
1673766000000,49662.72800000
1673769600000,49901.26900000
1673773200000,50244.13500000
1673776800000,50815.22500000
1673780400000,51428.87000000
1673784000000,51326.23700000
1673787600000,51366.30400000
1673791200000,50464.51300000
1673794800000,50747.54400000
1673798400000,51189.20800000
1673802000000,51541.92900000
1673805600000,51568.57700000
1673809200000,50764.24500000
1673812800000,50689.45400000
1673816400000,50599.61800000
1673820000000,50889.90600000
1673823600000,50417.74900000
1673827200000,50504.29400000
1673830800000,50010.31900000
1673834400000,49446.19100000
1673838000000,49370.17100000
1673841600000,50009.94000000
1673845200000,49907.96000000
1673848800000,50241.09300000
1673852400000,50288.78600000
1673856000000,50807.93200000
1673859600000,50404.01300000
1673863200000,51173.12100000
1673866800000,51248.87600000
1673870400000,51551.56200000
1673874000000,52087.10000000
1673877600000,52346.30900000
1673881200000,53062.56600000
1673884800000,52337.63400000
1673888400000,52498.57300000
1673892000000,52483.38800000
1673895600000,52185.42200000
1673899200000,52049.25900000
1673902800000,51915.53700000
1673906400000,51813.69400000
1673910000000,51514.26100000
1673913600000,52061.02600000
1673917200000,51480.54200000
1673920800000,51372.09300000
1673924400000,51839.49800000
1673928000000,52071.65400000
1673931600000,52203.82400000
1673935200000,52285.86900000
1673938800000,52769.56000000
1673942400000,52824.18500000
1673946000000,53423.36300000
1673949600000,53691.62900000
1673953200000,53762.09300000
1673956800000,53597.78600000
1673960400000,53572.15400000
1673964000000,54058.59900000
1673967600000,52213.85100000
1673971200000,52999.40100000
1673974800000,53415.17200000
1673978400000,53255.44000000
1673982000000,52855.42700000
1673985600000,53361.17300000
1673989200000,53523.75500000
1673992800000,53564.56500000
1673996400000,53277.84400000
1674000000000,54033.63000000
1674003600000,53460.29600000
1674007200000,53733.39400000
1674010800000,52952.66000000
1674014400000,53249.50300000
1674018000000,53497.58900000
1674021600000,54042.95900000
1674025200000,53715.11200000
1674028800000,54053.55100000
1674032400000,54464.60500000
1674036000000,54443.84400000
1674039600000,54724.03700000
1674043200000,54811.37500000
1674046800000,54849.43100000
1674050400000,53781.48000000
1674054000000,53984.55300000
1674057600000,52668.35000000
1674061200000,51636.24500000
1674064800000,52838.28200000
1674068400000,53037.71500000
1674072000000,53421.87500000
1674075600000,53412.82900000
1674079200000,53088.19600000
1674082800000,52871.15500000
1674086400000,52890.64600000
1674090000000,53293.28800000
1674093600000,53533.37800000
1674097200000,53652.93800000
1674100800000,53639.40400000
1674104400000,53338.58400000
1674108000000,53223.70800000
1674111600000,53446.57900000
1674115200000,53850.29900000
1674118800000,53961.34600000
1674122400000,54181.94000000
1674126000000,54688.96500000
1674129600000,55007.43900000
1674133200000,55584.05100000
1674136800000,56302.35900000
1674140400000,56438.11400000
1674144000000,56937.05800000
1674147600000,56545.47000000
