ts_ms,oi
1704060000000,57650.525
1704063600000,56986.229
1704067200000,57333.868
1704070800000,57372.416
1704074400000,57110.981
1704078000000,57163.047
1704081600000,57661.197
1704085200000,57963.466
1704088800000,57798.264
1704092400000,57657.712
1704096000000,57520.986
1704099600000,57571.516
1704103200000,57518.797
1704106800000,57335.265
1704110400000,57230.758
1704114000000,57238.266
1704117600000,57309.154
1704121200000,57301.766
1704124800000,57490.497
1704128400000,57765.005
1704132000000,57760.117
1704135600000,56631.985
1704139200000,56528.961
1704142800000,57292.226
1704146400000,57284.859
1704150000000,57269.139
1704153600000,57100.658
1704157200000,55695.037
1704160800000,55101.438
1704164400000,56141.407
1704168000000,56604.672
1704171600000,57518.104
1704175200000,57689.267
1704178800000,57857.613
1704182400000,58012.255
1704186000000,58249.731
1704189600000,58563.177
1704193200000,59177.035
1704196800000,58584.483
1704200400000,59188.264
1704204000000,59273.172
1704207600000,59469.564
1704211200000,60110.072
1704214800000,60402.196
1704218400000,60539.329
1704222000000,61104.275
1704225600000,61062.324
1704229200000,60237.266
1704232800000,60403.823
1704236400000,59669.469
1704240000000,59520.831
1704243600000,58935.291
1704247200000,59496.582
1704250800000,59466.745
1704254400000,59581.839
1704258000000,59716.543
1704261600000,59673.931
1704265200000,59703.419
1704268800000,59604.942
1704272400000,59802.514
1704276000000,59748.136
1704279600000,59522.543
1704283200000,60012.081
1704286800000,55376.378
1704290400000,57275.461
1704294000000,58221.102
1704297600000,57831.186
1704301200000,58679.741
1704304800000,58819.531
1704308400000,55651.217
1704312000000,56854.362
1704315600000,57254.291
1704319200000,57422.05
1704322800000,57994.314
1704326400000,57947.856
1704330000000,58244.608
1704333600000,58360.378
1704337200000,58546.826
1704340800000,59001.531
1704344400000,59327.972
1704348000000,58962.069
1704351600000,58856.533
1704355200000,59045.21
1704358800000,58662.679
1704362400000,58274.58
1704366000000,57884.477
1704369600000,58335.797
1704373200000,58770.851
1704376800000,59898.891
1704380400000,60478.174
1704384000000,60434.133
1704387600000,59322.847
1704391200000,59325.71
1704394800000,59415.718
1704398400000,58369.382
1704402000000,58404.428
1704405600000,58397.815
1704409200000,57917.284
1704412800000,57238.537
1704416400000,57886.616
1704420000000,55523.075
1704423600000,55048.879
1704427200000,54898.177
1704430800000,55308.416
1704434400000,54893.002
1704438000000,54885.566
1704441600000,55141.943
1704445200000,55123.178
1704448800000,55807.856
1704452400000,54118.923
1704456000000,55219.468
1704459600000,55731.492
1704463200000,55216.8
1704466800000,55242.154
1704470400000,55949.625
1704474000000,55332.358
1704477600000,55633.866
1704481200000,55515.095
1704484800000,55618.017
1704488400000,55931.728
1704492000000,55119.135
1704495600000,54901.422
1704499200000,55341.066
1704502800000,55247.953
1704506400000,55629.286
1704510000000,55681.838
1704513600000,55452.125
1704517200000,55545.746
1704520800000,56347.772
1704524400000,56621.103
1704528000000,56366.513
1704531600000,56640.704
1704535200000,56700.806
1704538800000,56827.329
1704542400000,56706.853
1704546000000,56781.05
1704549600000,56805.829
1704553200000,56797.76
1704556800000,56711.839
1704560400000,56528.163
1704564000000,56608.08
1704567600000,56951.487
1704571200000,57162.835
1704574800000,56673.832
1704578400000,56445.634
1704582000000,56368.278
1704585600000,56317.492
1704589200000,56141.649
1704592800000,56521.994
1704596400000,56817.436
1704600000000,56551.66
1704603600000,56721.746
1704607200000,56922.989
1704610800000,56923.099
1704614400000,56981.16
1704618000000,57100.832
1704621600000,57480.537
1704625200000,57652.379
1704628800000,57537.179
1704632400000,57853.141
1704636000000,58512.968
1704639600000,58614.254
1704643200000,57697.836
1704646800000,57405.126
1704650400000,57340.412
1704654000000,57622.755
1704657600000,57475.294
1704661200000,57408.098
1704664800000,57177.422
1704668400000,56648.332
1704672000000,56475.498
1704675600000,56838.59
1704679200000,56515.044
1704682800000,56392.429
1704686400000,57719.959
