ts_ms,open,high,low,close,volume,turnover
1656633600000,7.06,7.25,6.975,7.125,333277.4,2373836.1775
1656637200000,7.125,7.2,7.075,7.115,128665.7,917009.3635
1656640800000,7.115,7.135,7.04,7.04,95489,675736.1195
1656644400000,7.04,7.07,6.83,6.85,154518,1076765.192
1656648000000,6.85,6.855,6.74,6.765,134892.3,917061.6045
1656651600000,6.765,6.79,6.54,6.605,350445.9,2337394.4165
1656655200000,6.605,6.705,6.595,6.685,115591.8,768918.08
1656658800000,6.685,6.805,6.665,6.79,105171.9,709584.207
1656662400000,6.79,6.88,6.74,6.77,187114.2,1276675.017
1656666000000,6.77,6.81,6.735,6.77,109886.9,744679.1075
1656669600000,6.77,6.795,6.64,6.665,175988.1,1179273.0765
1656673200000,6.665,6.715,6.625,6.7,103551.7,691727.1895
1656676800000,6.7,6.725,6.655,6.665,98532.6,659889.7515
1656680400000,6.665,6.825,6.66,6.78,250994.2,1692684.0875
1656684000000,6.78,6.805,6.645,6.715,207718.9,1395080.814
1656687600000,6.715,6.76,6.675,6.705,113079.9,759043.6
1656691200000,6.705,6.79,6.68,6.735,90825,612289.143
1656694800000,6.735,6.81,6.7,6.795,90225.5,610434.0895
1656698400000,6.795,6.82,6.745,6.78,86938.5,589671.466
1656702000000,6.78,6.835,6.76,6.82,68537.6,465970.2985
1656705600000,6.82,6.935,6.805,6.84,133535.4,917684.794
1656709200000,6.84,6.865,6.755,6.805,89442.1,609976.64
1656712800000,6.805,6.825,6.75,6.76,60220.8,408504.492
1656716400000,6.76,6.825,6.695,6.74,48690.9,328568.273
1656720000000,6.74,6.81,6.665,6.675,117708.1,793970.151
1656723600000,6.675,6.75,6.65,6.7,50748.7,340187.6435
1656727200000,6.7,6.755,6.615,6.65,103687.8,691452.0555
1656730800000,6.65,6.7,6.635,6.655,57006.1,379948.8345
1656734400000,6.655,6.725,6.655,6.695,58136.3,389059.6145
1656738000000,6.695,6.75,6.685,6.695,46565.7,312955.541
1656741600000,6.695,6.74,6.67,6.685,35070,234932.0775
1656745200000,6.685,6.745,6.67,6.68,46579.3,312150.079
1656748800000,6.68,6.74,6.675,6.685,55248.4,370197.545
1656752400000,6.685,6.735,6.635,6.735,123623.7,826831.1135
1656756000000,6.735,6.81,6.715,6.8,82568.4,558738.844
1656759600000,6.8,6.84,6.755,6.81,291184.8,1980720.504
1656763200000,6.81,6.86,6.775,6.84,171727.4,1171616.799
1656766800000,6.84,6.845,6.755,6.78,45539.6,309427.7255
1656770400000,6.78,6.825,6.765,6.765,65018,441884.6905
1656774000000,6.765,6.775,6.705,6.75,66120.4,445430.7575
1656777600000,6.75,6.81,6.72,6.795,77198.9,523145.696
1656781200000,6.795,6.825,6.775,6.8,58964.6,401037.478
1656784800000,6.8,6.91,6.795,6.87,94483.6,647065.5755
1656788400000,6.87,6.9,6.805,6.84,91772,627747.7285
1656792000000,6.84,6.86,6.79,6.82,68410.8,466720.8445
1656795600000,6.82,6.9,6.815,6.895,59106.5,405281.243
1656799200000,6.895,6.895,6.83,6.83,55455.3,380537.859
1656802800000,6.83,6.86,6.805,6.82,32749.2,223869.928
1656806400000,6.82,6.86,6.77,6.82,70842.7,481456.6405
1656810000000,6.82,6.82,6.73,6.75,39672.9,268322.711
1656813600000,6.75,6.79,6.725,6.765,43939,296895.2275
1656817200000,6.765,6.79,6.73,6.78,31828.8,215103.162
1656820800000,6.78,6.815,6.6,6.77,183363.7,1227922.4555
1656824400000,6.77,6.845,6.685,6.685,151262.5,1025046.179
1656828000000,6.685,6.745,6.66,6.725,57236.6,384281.9455
1656831600000,6.725,6.74,6.685,6.71,54534,366178.827
1656835200000,6.71,6.715,6.655,6.695,49120.6,328355.0895
1656838800000,6.695,6.72,6.66,6.71,32810.6,219500.9725
1656842400000,6.71,6.73,6.695,6.7,33508.2,224956.643
1656846000000,6.7,6.735,6.7,6.715,20604.3,138481.367
1656849600000,6.715,6.76,6.665,6.715,116008.8,779779.6645
1656853200000,6.715,6.72,6.63,6.65,43267.1,288787.832
1656856800000,6.65,6.705,6.63,6.69,70146.3,468864.4425
1656860400000,6.69,6.71,6.675,6.675,31663.3,211804.1985
1656864000000,6.675,6.745,6.66,6.725,85964.1,576880.2345
1656867600000,6.725,6.755,6.695,6.74,39652.5,266571.297
1656871200000,6.74,6.775,6.725,6.765,53555,361466.039
1656874800000,6.765,6.905,6.765,6.905,155334.6,1061391.4335
1656878400000,6.905,6.98,6.905,6.94,120511.7,836809.886
1656882000000,6.94,6.945,6.83,6.85,61023.3,419368.15
1656885600000,6.85,6.895,6.795,6.815,89539,613387.533
1656889200000,6.815,6.87,6.795,6.845,40816.8,279126.62
1656892800000,6.845,6.885,6.805,6.865,48732.9,333668.9035
1656896400000,6.865,6.865,6.79,6.84,44164.8,301328.7365
1656900000000,6.84,6.85,6.675,6.695,140376.5,942507.637
1656903600000,6.695,6.715,6.655,6.7,38508.1,257137.8705
1656907200000,6.7,6.725,6.655,6.72,41320.9,277046.2615
1656910800000,6.72,6.755,6.7,6.73,27199.6,183007.2035
1656914400000,6.73,6.775,6.67,6.695,71249.1,479458.057
1656918000000,6.695,6.735,6.685,6.72,26768.6,179674.627
1656921600000,6.72,6.745,6.705,6.705,37581.4,252625.613
1656925200000,6.705,6.825,6.705,6.815,146553.1,993086.3415
1656928800000,6.815,6.845,6.79,6.8,84689,577029.826
1656932400000,6.8,6.98,6.775,6.95,196979.9,1352690.084
1656936000000,6.95,7.05,6.93,6.97,218018.4,1524457.733
1656939600000,6.97,7.01,6.92,6.925,153573.9,1069775.964
1656943200000,6.925,6.975,6.915,6.965,105190.1,730503.8355
1656946800000,6.965,7.145,6.96,6.985,344002.3,2423480.7455
1656950400000,6.985,7.025,6.955,6.995,121978.8,852065.861
1656954000000,6.995,7.08,6.985,7.03,131561.4,926096.4595
1656957600000,7.03,7.055,6.99,7.05,49799,349684.3565
1656961200000,7.05,7.055,6.975,7.01,47911.3,335656.1425
1656964800000,7.01,7.04,6.97,7.01,56609.5,396436.02
