ts_ms,open,high,low,close,volume,turnover
1672531200000,1196.8,1197.1,1193.15,1194.5,19133.21,22863751.8395
1672534800000,1194.5,1197.05,1194.3,1196.65,9560.9,11432326.9565
1672538400000,1196.65,1197.45,1194.75,1196.35,5603.39,6701578.339
1672542000000,1196.35,1196.4,1191.9,1194.75,17862.83,21325122.7595
1672545600000,1194.75,1194.75,1191.35,1193.95,13255.81,15816769.868
1672549200000,1193.95,1195.4,1193.8,1195.35,6395.67,7639597.3835
1672552800000,1195.35,1195.9,1194.5,1195.65,6296.63,7526107.9475
1672556400000,1195.65,1196.6,1193.85,1195.9,9444.22,11288125.163
1672560000000,1195.9,1196.55,1194.75,1194.95,5015.39,5997163.2795
1672563600000,1194.95,1197.25,1194.7,1197.25,5499.51,6578566.9965
1672567200000,1197.25,1198.1,1196.3,1197.85,8191.57,9805214.2995
1672570800000,1197.85,1198.5,1196.4,1196.95,6656.86,7971579.723
1672574400000,1196.95,1199.05,1196.65,1197.7,12834.97,15374419.711
1672578000000,1197.7,1197.75,1194.25,1195.75,13690.66,16372434.1335
1672581600000,1195.75,1196,1194.95,1195,6276.98,7504678.561
1672585200000,1195,1197.1,1194.8,1197.05,8801.37,10525898.045
1672588800000,1197.05,1198.45,1196,1197.45,14414.72,17259381.8765
1672592400000,1197.45,1204.1,1197.45,1201.15,40760.15,48962407.98
1672596000000,1201.15,1203,1201.1,1201.45,9691.71,11648831.1475
1672599600000,1201.45,1204.7,1201.4,1202.05,15107.72,18176844.8925
1672603200000,1202.05,1205.05,1201.35,1201.4,18256.84,21969039.5215
1672606800000,1201.4,1202.95,1200.65,1202.6,6300.14,7571417.022
1672610400000,1202.6,1202.95,1200.4,1201.05,7668.91,9219367.597
1672614000000,1201.05,1202.8,1199.25,1200.6,12027.64,14443074.737
1672617600000,1200.6,1201.05,1197.3,1198.45,16029.79,19218701.644
1672621200000,1198.45,1198.5,1193.25,1195.35,30911.11,36951620.57
1672624800000,1195.35,1197.3,1194.6,1196.75,8373.89,10016778.444
1672628400000,1196.75,1203.6,1196.6,1201.7,24407.28,29310828.626
1672632000000,1201.7,1202.5,1200.05,1201.85,13764.61,16533409.516
1672635600000,1201.85,1202.75,1200.25,1202.25,9255.94,11122714.1505
1672639200000,1202.25,1204,1200.5,1201.5,13497.91,16230420.3795
1672642800000,1201.5,1221,1201.2,1213.05,119734.86,145265151.644
1672646400000,1213.05,1217,1212.5,1215.3,23769.9,28876339.637
1672650000000,1215.3,1218.85,1215.25,1216.7,28609.27,34822905.681
1672653600000,1216.7,1225.75,1216.2,1216.9,55340.41,67510328.149
1672657200000,1216.9,1217.2,1213.65,1216.9,21949.2,26682460.9935
1672660800000,1216.9,1217.9,1216.05,1216.1,12934.56,15740333.5015
1672664400000,1216.1,1216.35,1213.25,1214.4,16772.93,20374695.727
1672668000000,1214.4,1218.1,1214.35,1216.25,26961.2,32785263.771
1672671600000,1216.25,1221,1215.5,1218.45,33321.64,40597681.2365
1672675200000,1218.45,1219.1,1215.95,1216.2,15935.51,19406352.1905
1672678800000,1216.2,1217,1215.2,1216.7,16106.83,19586482.342
1672682400000,1216.7,1219.05,1216.4,1217.75,10832.94,13193097.5845
1672686000000,1217.75,1219,1217.1,1218.8,4645.74,5659063.536
1672689600000,1218.8,1218.85,1216.25,1217.9,7684.52,9356675.747
1672693200000,1217.9,1223.9,1217.5,1219.45,18785.7,22924100.7905
1672696800000,1219.45,1220,1209.3,1214.55,38126.52,46329155.521
1672700400000,1214.55,1216.75,1212.45,1213.55,15807.07,19197809.044
1672704000000,1213.55,1216.65,1212.9,1215.4,14558.65,17688060.56
1672707600000,1215.4,1215.65,1210.95,1214,19859.1,24087318.643
1672711200000,1214,1215.05,1212.85,1214,6350.63,7711110.9175
1672714800000,1214,1216.05,1212.8,1215.4,8839.36,10734818.02
1672718400000,1215.4,1215.55,1213.4,1213.5,9087.44,11037675.0575
1672722000000,1213.5,1217.75,1213.3,1217.6,15179.44,18453255.4935
1672725600000,1217.6,1220.2,1216,1216.35,20358.45,24795485.009
1672729200000,1216.35,1216.7,1215.2,1216.05,7693.96,9356728.05
1672732800000,1216.05,1216.7,1213.7,1215.5,20834.25,25311094.7595
1672736400000,1215.5,1218,1215.45,1216.7,13836.81,16834347.049
1672740000000,1216.7,1217.7,1215.7,1215.7,11046.04,13439451.1205
1672743600000,1215.7,1216.95,1214.2,1214.65,11108.68,13502024.896
1672747200000,1214.65,1215.95,1214.45,1215.1,10338.3,12561946.8905
1672750800000,1215.1,1217.45,1215.05,1216.3,12363.33,15034567.2235
1672754400000,1216.3,1219.05,1206.05,1210.15,74974.31,90925096.254
1672758000000,1210.15,1211.9,1206.7,1211.8,52811.52,63864705.98
1672761600000,1211.8,1212.45,1207.2,1207.5,32577.54,39405416.937
1672765200000,1207.5,1209.75,1206.5,1208.35,16750.15,20235670.4055
1672768800000,1208.35,1209,1206.3,1207.9,14519.28,17534181.945
1672772400000,1207.9,1210.6,1204.55,1209.4,24943.08,30111805.51
1672776000000,1209.4,1212.4,1209.4,1210.45,18035.07,21840712.4835
1672779600000,1210.45,1211.95,1210,1210.85,7882.24,9546311.6515
1672783200000,1210.85,1212.25,1209.1,1211.95,9028.7,10928803.914
