ts_ms,open_interest
1672531200000,580313.63000000
1672534800000,581252.81000000
1672538400000,582476.18999999
1672542000000,581796.68999999
1672545600000,584414.26000000
1672549200000,585614.96000000
1672552800000,583918.29000000
1672556400000,586145.68999999
1672560000000,586131.43999999
1672563600000,585803.54000000
1672567200000,587900.77000000
1672570800000,587934.66000000
1672574400000,587624.50000000
1672578000000,586873.57999999
1672581600000,588074.03000000
1672585200000,589316.18000000
1672588800000,589095.11000000
1672592400000,588018.06999999
1672596000000,581939.03000000
1672599600000,582327.07999999
1672603200000,583557.25000000
1672606800000,584950.32999999
1672610400000,585701.64000000
1672614000000,586182.74000000
1672617600000,588617.28000000
1672621200000,590442.36000000
1672624800000,586080.02000000
1672628400000,584471.10000000
1672632000000,580672.30000000
1672635600000,581936.75000000
1672639200000,583975.23000000
1672642800000,586027.77000000
1672646400000,579335.30000000
1672650000000,581166.44999999
1672653600000,588686.25000000
1672657200000,590727.63000000
1672660800000,588541.78000000
1672664400000,592527.78000000
1672668000000,592118.54000000
1672671600000,593721.65000000
1672675200000,593009.98000000
1672678800000,593641.24000000
1672682400000,594228.66000000
1672686000000,592450.25000000
1672689600000,592389.18999999
1672693200000,592877.66000000
1672696800000,594230.22000000
1672700400000,584107.85000000
1672704000000,584696.22000000
1672707600000,587685.25000000
1672711200000,586091.65000000
1672714800000,586004.46000000
1672718400000,586413.57999999
1672722000000,589487.61000000
1672725600000,586352.76000000
1672729200000,588856.92000000
1672732800000,589732.35000000
1672736400000,591070.62000000
1672740000000,592966.89000000
1672743600000,594988.60000000
1672747200000,593337.09000000
1672750800000,594188.81000000
1672754400000,590720.34000000
1672758000000,584164.40000000
1672761600000,587688.80000000
1672765200000,593364.75000000
1672768800000,594024.93000000
1672772400000,595319.80000000
1672776000000,594392.44999999
1672779600000,593049.46000000
1672783200000,592844.05000000
1672786800000,591593.15000000
1672790400000,587265.10000000
1672794000000,588328.24000000
1672797600000,584903.59000000
1672801200000,585123.93999999
1672804800000,561605.72000000
1672808400000,567813.53000000
1672812000000,572115.27000000
1672815600000,569995.94999999
1672819200000,570789.34000000
1672822800000,560316.46000000
1672826400000,564552.69999999
1672830000000,565791.00000000
1672833600000,564479.82999999
1672837200000,562204.89000000
1672840800000,562856.62000000
1672844400000,565598.76000000
1672848000000,562657.21000000
1672851600000,569244.98000000
1672855200000,561821.53000000
1672858800000,560189.07999999
1672862400000,569926.28000000
1672866000000,565521.36000000
1672869600000,564731.18000000
1672873200000,565378.15000000
1672876800000,564236.00000000
1672880400000,564686.68000000
1672884000000,565084.51000000
1672887600000,565235.48000000
