ts_ms,oi
1704060000000,494385.02
1704063600000,488288.31
1704067200000,490138.81
1704070800000,492486.97
1704074400000,495778.41
1704078000000,491127.24
1704081600000,488997.8
1704085200000,493867.02
1704088800000,494083.59
1704092400000,496207.63
1704096000000,494575.5
1704099600000,493354.34
1704103200000,491651.73
1704106800000,491088.8
1704110400000,492156.98
1704114000000,492542.17
1704117600000,492414.17
1704121200000,492985.61
1704124800000,499621.5
1704128400000,502192.92
1704132000000,500388.97
1704135600000,499376.9
1704139200000,500233.02
1704142800000,498698.12
1704146400000,499125.73
1704150000000,499720.54
1704153600000,501230.53
1704157200000,514466.0
1704160800000,518007.32
1704164400000,512904.29
1704168000000,519556.42
1704171600000,512104.74
1704175200000,512519.03
1704178800000,513095.02
1704182400000,512143.57
1704186000000,529234.54
1704189600000,529692.78
1704193200000,523620.66
1704196800000,528304.57999999
1704200400000,530509.82999999
1704204000000,531418.04
1704207600000,507553.41
1704211200000,505348.02
1704214800000,502540.16
1704218400000,502102.52
1704222000000,509389.79
1704225600000,508793.89
1704229200000,510088.85
1704232800000,506057.38
1704236400000,506097.58
1704240000000,503816.44
1704243600000,503774.56
1704247200000,505771.27
1704250800000,503275.4
1704254400000,503180.53
1704258000000,503408.49
1704261600000,504729.51
1704265200000,505133.93
1704268800000,502199.15
1704272400000,505624.8
1704276000000,506397.99
1704279600000,505188.0
1704283200000,498387.15
1704286800000,471723.36
1704290400000,476736.01
1704294000000,474148.84
1704297600000,477812.9
1704301200000,475121.86
1704304800000,471765.34
1704308400000,461710.08
1704312000000,465544.11
1704315600000,466822.01
1704319200000,468147.57
1704322800000,466494.46
1704326400000,470053.67
1704330000000,468784.42
1704333600000,467527.51
1704337200000,469905.35
1704340800000,469608.27
1704344400000,469473.2
1704348000000,469039.29
1704351600000,467274.81
1704355200000,460281.62
1704358800000,461450.71
1704362400000,460814.97
1704366000000,462353.14
1704369600000,465168.14
1704373200000,468279.21
1704376800000,468410.23
1704380400000,461780.74
1704384000000,462263.5
1704387600000,460312.01
1704391200000,468239.56
1704394800000,467923.03
1704398400000,468869.66
1704402000000,469239.28
1704405600000,469849.23
1704409200000,468467.69
1704412800000,468513.79
1704416400000,465203.64
1704420000000,457707.7
1704423600000,460388.6
1704427200000,460119.64
1704430800000,459309.57
1704434400000,458490.34
1704438000000,459728.39
1704441600000,460930.2
1704445200000,461846.63
1704448800000,462851.51
1704452400000,456966.81
1704456000000,461421.9
1704459600000,461823.87
1704463200000,462468.49
1704466800000,460617.77
1704470400000,463043.12
1704474000000,460973.88
1704477600000,461621.66
1704481200000,462241.58
1704484800000,460945.21
1704488400000,458778.78
1704492000000,458464.84
1704495600000,457696.2
1704499200000,463115.66
1704502800000,463706.35
1704506400000,464136.08
1704510000000,465071.14
1704513600000,464930.68
1704517200000,464950.17
1704520800000,465337.65
1704524400000,463246.6
1704528000000,463091.1
1704531600000,461707.93
1704535200000,462263.01
1704538800000,463045.48
1704542400000,463552.84
1704546000000,461061.87
1704549600000,460619.89
1704553200000,458410.24
1704556800000,459868.51
1704560400000,460787.36
1704564000000,459823.78
1704567600000,458548.62
1704571200000,458324.52
1704574800000,458836.14
1704578400000,458203.23
1704582000000,455723.34
1704585600000,456540.27
1704589200000,454048.03
1704592800000,456820.03
1704596400000,458660.61
1704600000000,458781.68
1704603600000,458655.27
1704607200000,460350.59
1704610800000,460607.87
1704614400000,460824.13
1704618000000,457646.19
1704621600000,459696.54
1704625200000,459814.69
1704628800000,462739.21
1704632400000,461176.88
1704636000000,459855.52
1704639600000,457191.74
1704643200000,462543.95
1704646800000,464708.65
1704650400000,462855.25
1704654000000,461749.62
1704657600000,459749.92
1704661200000,459382.37
1704664800000,458404.19
1704668400000,460801.79
1704672000000,463449.62
1704675600000,459487.43
1704679200000,459338.13
1704682800000,459060.22
1704686400000,453909.1
1704690000000,455030.59
1704693600000,453908.25
1704697200000,453313.47
1704700800000,454358.09
1704704400000,451843.35
1704708000000,448926.67
1704711600000,450100.19
1704715200000,452444.0
1704718800000,454184.92
1704722400000,461598.42
1704726000000,456213.5
1704729600000,457584.74
1704733200000,455487.42
1704736800000,464487.99
1704740400000,456877.31
1704744000000,462453.71
1704747600000,458443.44
1704751200000,458073.78
1704754800000,454600.45
1704758400000,453204.59
1704762000000,447878.2
1704765600000,441246.41
1704769200000,441256.54
1704772800000,441952.42
1704776400000,439427.95
1704780000000,437375.67
1704783600000,437455.86
1704787200000,436511.38
1704790800000,436708.92
1704794400000,442093.74
