ts_ms,open,high,low,close,volume,turnover
1672531200000,5.573,5.581,5.513,5.528,206951.7,1146978.6676
1672534800000,5.528,5.569,5.527,5.559,92946.3,515272.6813
1672538400000,5.559,5.568,5.55,5.55,58263.6,323903.5192
1672542000000,5.55,5.56,5.535,5.554,75564.4,419185.0618
1672545600000,5.554,5.555,5.507,5.519,114482.2,632700.2722
1672549200000,5.519,5.544,5.513,5.538,48814.5,269782.9734
1672552800000,5.538,5.547,5.531,5.545,57043.1,315985.4438
1672556400000,5.545,5.548,5.519,5.534,74417,411553.798
1672560000000,5.534,5.538,5.512,5.515,48284.7,266781.5105
1672563600000,5.515,5.581,5.512,5.578,195059.9,1083671.4481
1672567200000,5.578,5.579,5.562,5.571,75875.8,422760.7676
1672570800000,5.571,5.592,5.571,5.578,147304,822170.151
1672574400000,5.578,5.591,5.568,5.577,91455,510423.9565
1672578000000,5.577,5.582,5.551,5.562,105464.5,586526.782
1672581600000,5.562,5.579,5.558,5.559,60155.6,334829.7748
1672585200000,5.559,5.6,5.557,5.596,166565.6,930100.9675
1672588800000,5.596,5.609,5.585,5.596,90946.1,508994.2142
1672592400000,5.596,5.62,5.596,5.609,148882.6,835259.3746
1672596000000,5.609,5.637,5.609,5.616,164238.3,923529.6574
1672599600000,5.616,5.621,5.598,5.603,108603.4,609083.3037
1672603200000,5.603,5.639,5.603,5.612,128180.1,721018.5598
1672606800000,5.612,5.628,5.611,5.627,85923.4,482949.5769
1672610400000,5.627,5.628,5.604,5.614,64316.2,361438.6828
1672614000000,5.614,5.629,5.608,5.626,46118,259057.1315
1672617600000,5.626,5.66,5.601,5.602,220038.9,1239430.2035
1672621200000,5.602,5.606,5.544,5.563,447556.3,2491480.1943
1672624800000,5.563,5.594,5.558,5.58,81422.2,454239.3643
1672628400000,5.58,5.63,5.577,5.625,184418.9,1033776.0897
1672632000000,5.625,5.636,5.599,5.608,77596.8,435765.1506
1672635600000,5.608,5.636,5.603,5.631,71695.4,402884.4138
1672639200000,5.631,5.647,5.607,5.614,120993.1,680279.8447
1672642800000,5.614,5.744,5.613,5.68,663462.7,3774668.8552
1672646400000,5.68,5.721,5.676,5.689,230781.4,1314502.1896
1672650000000,5.689,5.711,5.686,5.694,132388.1,754362.3251
1672653600000,5.694,5.723,5.682,5.69,116871.6,666233.6277
1672657200000,5.69,5.698,5.657,5.691,152008.2,863474.1656
1672660800000,5.691,5.709,5.68,5.684,100946.6,575090.3662
1672664400000,5.684,5.701,5.655,5.662,131628.8,747321.1877
1672668000000,5.662,5.683,5.661,5.681,80856.6,458514.5877
1672671600000,5.681,5.714,5.67,5.701,166297.2,946790.7134
1672675200000,5.701,5.713,5.689,5.689,108800.2,620178.9303
1672678800000,5.689,5.725,5.683,5.712,126777.6,722976.6841
1672682400000,5.712,5.736,5.698,5.699,129373.7,739049.1281
