ts_ms,open_interest
1672531200000,4401865.40000000
1672534800000,4429314.90000000
1672538400000,4445342.59999999
1672542000000,4453176.00000000
1672545600000,4452889.90000000
1672549200000,4447775.50000000
1672552800000,4462163.00000000
1672556400000,4459813.40000000
1672560000000,4469086.80000000
1672563600000,4477217.20000000
1672567200000,4573394.70000000
1672570800000,4624130.09999999
1672574400000,4597622.30000000
1672578000000,4631542.09999999
1672581600000,4647267.80000000
1672585200000,4645187.30000000
1672588800000,4607561.50000000
1672592400000,4583028.90000000
1672596000000,4558550.00000000
1672599600000,4507065.30000000
1672603200000,4514564.50000000
1672606800000,4551036.40000000
1672610400000,4501283.90000000
1672614000000,4506121.00000000
1672617600000,4485486.00000000
1672621200000,4411937.30000000
1672624800000,4307589.90000000
1672628400000,4315196.90000000
1672632000000,4321672.40000000
1672635600000,4303948.20000000
1672639200000,4323628.70000000
1672642800000,4345652.80000000
1672646400000,4237447.30000000
1672650000000,4165749.40000000
1672653600000,4151906.00000000
1672657200000,4176889.80000000
1672660800000,4174567.10000000
1672664400000,4192204.00000000
1672668000000,4200400.40000000
1672671600000,4194766.90000000
1672675200000,4241477.70000000
1672678800000,4260732.20000000
1672682400000,4299432.40000000
1672686000000,4277039.20000000
1672689600000,4279244.20000000
1672693200000,4271494.59999999
1672696800000,4286233.80000000
1672700400000,4267368.59999999
1672704000000,4238872.09999999
1672707600000,4243504.50000000
1672711200000,4212933.70000000
1672714800000,4221936.70000000
1672718400000,4263418.00000000
1672722000000,4329491.20000000
1672725600000,4333254.80000000
1672729200000,4383474.30000000
1672732800000,4393478.00000000
1672736400000,4417031.30000000
1672740000000,4456555.00000000
1672743600000,4404841.50000000
1672747200000,4382538.59999999
1672750800000,4385060.50000000
1672754400000,4506069.30000000
1672758000000,4299642.59999999
1672761600000,4381137.80000000
1672765200000,4464017.90000000
1672768800000,4423603.59999999
1672772400000,4271566.09999999
1672776000000,4275375.40000000
1672779600000,4248341.70000000
1672783200000,4273207.70000000
1672786800000,4329392.20000000
1672790400000,4363786.70000000
1672794000000,4309644.20000000
1672797600000,4311088.50000000
1672801200000,4305247.20000000
1672804800000,4192533.70000000
1672808400000,4193778.10000000
1672812000000,4168529.20000000
1672815600000,4162319.70000000
1672819200000,4162529.00000000
1672822800000,4158119.70000000
1672826400000,4134618.90000000
1672830000000,4147851.20000000
1672833600000,4142544.50000000
1672837200000,4171240.40000000
1672840800000,4212507.70000000
1672844400000,4189109.90000000
1672848000000,4155431.20000000
1672851600000,4204390.09999999
1672855200000,4171651.90000000
1672858800000,4130230.20000000
1672862400000,4086081.50000000
1672866000000,4070474.40000000
1672869600000,4144935.00000000
1672873200000,4107905.20000000
1672876800000,4067381.60000000
1672880400000,4060921.30000000
1672884000000,4029030.50000000
1672887600000,4020730.40000000
1672891200000,4019878.90000000
1672894800000,4040239.50000000
1672898400000,4054925.80000000
1672902000000,4020986.50000000
1672905600000,4012730.20000000
1672909200000,4015092.90000000
1672912800000,3990849.20000000
1672916400000,4012487.30000000
1672920000000,4043779.60000000
1672923600000,4092091.90000000
1672927200000,4150443.40000000
1672930800000,4188212.30000000
1672934400000,4240781.20000000
1672938000000,4385101.59999999
1672941600000,4387095.00000000
1672945200000,4489099.59999999
1672948800000,4524453.30000000
1672952400000,4506854.90000000
1672956000000,4501398.09999999
1672959600000,4437877.50000000
1672963200000,4431646.70000000
1672966800000,4423858.50000000
1672970400000,4387918.80000000
1672974000000,4401294.50000000
1672977600000,4388465.59999999
1672981200000,4355778.59999999
1672984800000,4383766.09999999
1672988400000,4381216.50000000
1672992000000,4369532.70000000
1672995600000,4213451.80000000
1672999200000,4230600.59999999
1673002800000,4234603.80000000
1673006400000,4275039.00000000
1673010000000,4297070.70000000
1673013600000,4200837.00000000
1673017200000,4273091.20000000
1673020800000,4309368.59999999
1673024400000,4304526.09999999
1673028000000,4319595.00000000
1673031600000,4350415.00000000
1673035200000,4399244.90000000
1673038800000,4364558.59999999
1673042400000,4363317.30000000
1673046000000,4389228.80000000
1673049600000,4390453.80000000
1673053200000,4409690.50000000
1673056800000,4264383.30000000
1673060400000,4242434.50000000
1673064000000,4231179.09999999
1673067600000,4216709.90000000
1673071200000,4229545.09999999
1673074800000,4220786.20000000
1673078400000,4206106.40000000
1673082000000,4218811.30000000
1673085600000,4210485.00000000
1673089200000,4232730.50000000
1673092800000,4273749.20000000
1673096400000,4214354.50000000
1673100000000,4222924.90000000
1673103600000,4222369.59999999
1673107200000,4237271.80000000
1673110800000,4239030.30000000
1673114400000,4241752.50000000
1673118000000,4244099.09999999
1673121600000,4265688.40000000
1673125200000,4300849.70000000
1673128800000,4302811.40000000
1673132400000,4265638.70000000
1673136000000,4409127.80000000
1673139600000,4189831.10000000
1673143200000,4194874.70000000
1673146800000,4196653.30000000
1673150400000,4205062.00000000
1673154000000,4223886.50000000
1673157600000,4253166.40000000
1673161200000,4260044.59999999
1673164800000,4251167.09999999
1673168400000,4248179.20000000
1673172000000,4285138.80000000
1673175600000,4293975.70000000
1673179200000,4267337.90000000
1673182800000,4261018.40000000
1673186400000,4269405.80000000
1673190000000,4274169.00000000
1673193600000,4259970.70000000
1673197200000,4237350.40000000
1673200800000,4235946.70000000
1673204400000,4250359.00000000
1673208000000,4251857.50000000
1673211600000,4235395.00000000
1673215200000,4238831.90000000
1673218800000,4240519.30000000
1673222400000,4103053.50000000
1673226000000,3881724.60000000
1673229600000,3829678.60000000
1673233200000,3706375.80000000
1673236800000,3774301.90000000
1673240400000,3753103.00000000
1673244000000,3727767.00000000
1673247600000,3697397.20000000
1673251200000,3695627.40000000
1673254800000,3656037.40000000
1673258400000,3604509.20000000
1673262000000,3615915.60000000
1673265600000,3556499.40000000
1673269200000,3607529.20000000
1673272800000,3534365.70000000
1673276400000,3473448.80000000
1673280000000,3496233.40000000
1673283600000,3411673.30000000
1673287200000,3408608.00000000
1673290800000,3385845.10000000
1673294400000,3372480.30000000
1673298000000,3362104.10000000
1673301600000,3384124.90000000
1673305200000,3330475.20000000
1673308800000,3348253.80000000
1673312400000,3370093.60000000
1673316000000,3398894.30000000
1673319600000,3324512.10000000
1673323200000,3331339.70000000
1673326800000,3382158.70000000
1673330400000,3381534.20000000
1673334000000,3362395.80000000
1673337600000,3397261.30000000
1673341200000,3386074.70000000
1673344800000,3386308.20000000
1673348400000,3377381.80000000
1673352000000,3394327.00000000
1673355600000,3375810.40000000
1673359200000,3340271.80000000
1673362800000,3361799.70000000
1673366400000,3365971.70000000
1673370000000,3370646.80000000
1673373600000,3435851.70000000
1673377200000,3512106.60000000
1673380800000,3526996.30000000
1673384400000,3495485.60000000
1673388000000,3506752.90000000
1673391600000,3922575.50000000
1673395200000,3911815.80000000
1673398800000,3925586.60000000
1673402400000,3941644.50000000
1673406000000,3890389.20000000
1673409600000,3873752.20000000
1673413200000,3877964.50000000
1673416800000,3861104.30000000
1673420400000,3851188.50000000
1673424000000,3846053.20000000
1673427600000,3813876.90000000
1673431200000,3755394.30000000
1673434800000,3746508.20000000
1673438400000,3772633.20000000
1673442000000,3776890.40000000
1673445600000,3762364.60000000
1673449200000,3781636.80000000
1673452800000,3576295.10000000
1673456400000,3534254.60000000
1673460000000,3513130.90000000
1673463600000,3538663.90000000
1673467200000,3386996.60000000
1673470800000,3391675.50000000
1673474400000,3352710.70000000
1673478000000,3325976.60000000
1673481600000,3307039.90000000
1673485200000,3284362.90000000
1673488800000,3233897.40000000
1673492400000,3193528.50000000
1673496000000,3194376.90000000
1673499600000,3172855.20000000
1673503200000,3133498.40000000
1673506800000,3118445.90000000
1673510400000,3104641.70000000
1673514000000,3103411.90000000
1673517600000,3100723.20000000
1673521200000,3117146.50000000
1673524800000,3113156.60000000
1673528400000,3027222.90000000
1673532000000,2991499.90000000
1673535600000,2921173.10000000
1673539200000,2930002.40000000
1673542800000,2964900.00000000
1673546400000,2962311.30000000
1673550000000,2977596.30000000
1673553600000,2999312.80000000
1673557200000,3003579.50000000
1673560800000,2983111.30000000
1673564400000,3001758.90000000
1673568000000,3040949.70000000
1673571600000,3031911.80000000
1673575200000,3001917.70000000
1673578800000,2989166.60000000
1673582400000,2994645.00000000
1673586000000,3012653.80000000
1673589600000,3014972.40000000
1673593200000,3018436.60000000
1673596800000,3016593.70000000
1673600400000,3031978.90000000
1673604000000,3069569.00000000
1673607600000,3065092.50000000
1673611200000,3034401.40000000
1673614800000,3029860.70000000
1673618400000,3075117.40000000
1673622000000,3106988.80000000
1673625600000,3113773.60000000
1673629200000,3113651.10000000
1673632800000,3141219.70000000
1673636400000,3210268.30000000
1673640000000,3214053.60000000
1673643600000,3133524.10000000
1673647200000,3074587.70000000
1673650800000,3019803.80000000
1673654400000,3073101.10000000
1673658000000,2989029.80000000
1673661600000,2902207.70000000
1673665200000,2876877.00000000
1673668800000,2873668.90000000
1673672400000,2831276.00000000
1673676000000,2784960.29999999
1673679600000,2833241.60000000
1673683200000,2838030.30000000
1673686800000,2890596.00000000
1673690400000,2702366.79999999
1673694000000,2764822.00000000
1673697600000,2775126.70000000
1673701200000,2799491.50000000
1673704800000,2813703.70000000
1673708400000,2844241.50000000
1673712000000,2859044.30000000
1673715600000,2854263.70000000
1673719200000,2856089.30000000
1673722800000,2863600.70000000
1673726400000,2866078.20000000
1673730000000,2884813.10000000
1673733600000,2873309.50000000
1673737200000,2870826.90000000
1673740800000,2842045.40000000
1673744400000,2828150.40000000
1673748000000,2828317.20000000
1673751600000,2837850.60000000
1673755200000,2817725.20000000
1673758800000,2818800.80000000
1673762400000,2818766.50000000
1673766000000,2832876.10000000
1673769600000,2830378.20000000
1673773200000,2874289.90000000
1673776800000,2908693.10000000
1673780400000,2889440.60000000
1673784000000,2898682.80000000
1673787600000,2900854.60000000
1673791200000,2872927.40000000
1673794800000,2857611.40000000
1673798400000,2914235.90000000
1673802000000,2858307.50000000
1673805600000,2845598.00000000
1673809200000,2885827.80000000
1673812800000,2910210.70000000
1673816400000,2943950.40000000
1673820000000,3006395.40000000
1673823600000,3029417.90000000
1673827200000,3015430.40000000
1673830800000,2994645.30000000
1673834400000,2987148.20000000
1673838000000,3013155.70000000
1673841600000,2993803.60000000
1673845200000,2999249.10000000
1673848800000,2987918.50000000
1673852400000,2991587.60000000
1673856000000,3005968.10000000
1673859600000,2954591.50000000
1673863200000,2970215.40000000
1673866800000,2945720.20000000
1673870400000,2991978.70000000
1673874000000,2941563.10000000
1673877600000,3036313.90000000
1673881200000,3022433.40000000
1673884800000,2991005.40000000
1673888400000,2990122.80000000
1673892000000,3107763.50000000
1673895600000,3142986.50000000
1673899200000,3027462.30000000
1673902800000,3028711.20000000
1673906400000,3012411.20000000
1673910000000,2994562.00000000
1673913600000,2965621.80000000
1673917200000,2958898.70000000
1673920800000,2907062.60000000
1673924400000,2947870.30000000
1673928000000,2952172.70000000
