ts_ms,open,high,low,close,volume,turnover
1656633600000,3.334,3.455,3.296,3.387,1710751.1,5793791.3195
1656637200000,3.387,3.419,3.372,3.385,661916.8,2246011.7802
1656640800000,3.385,3.409,3.373,3.399,299190.7,1014273.3942
1656644400000,3.399,3.404,3.286,3.294,647548.2,2168725.1791
1656648000000,3.294,3.299,3.229,3.247,791282.7,2585303.7446
1656651600000,3.247,3.288,3.242,3.273,608247.5,1985012.4976
1656655200000,3.273,3.295,3.257,3.293,246762.6,808710.3921
1656658800000,3.293,3.362,3.276,3.35,518366.7,1726881.9884
1656662400000,3.35,3.376,3.318,3.329,664220.8,2225133.1833
1656666000000,3.329,3.353,3.312,3.325,458834.7,1529431.5941
1656669600000,3.325,3.349,3.241,3.26,598137.9,1966812.3962
1656673200000,3.26,3.284,3.241,3.275,296350.2,968887.9355
1656676800000,3.275,3.292,3.255,3.266,208279.8,682328.4318
1656680400000,3.266,3.35,3.257,3.331,505073.5,1671793.2706
1656684000000,3.331,3.342,3.263,3.302,540722.7,1784034.5568
1656687600000,3.302,3.322,3.262,3.278,271623.4,894726.9266
1656691200000,3.278,3.327,3.267,3.303,253794.7,838195.3029
1656694800000,3.303,3.375,3.3,3.358,476810,1594599.4145
1656698400000,3.358,3.374,3.337,3.366,242462.8,814275.9516
1656702000000,3.366,3.391,3.342,3.383,278990.8,940022.2709
1656705600000,3.383,3.449,3.371,3.404,380504.9,1301555.4154
1656709200000,3.404,3.417,3.359,3.377,147564.4,499839.3315
1656712800000,3.377,3.382,3.348,3.348,239920.8,807233.0012
1656716400000,3.348,3.397,3.334,3.35,289554.7,970992.3234
1656720000000,3.35,3.425,3.329,3.347,482996.7,1632119.6454
1656723600000,3.347,3.361,3.326,3.328,288783.7,965690.4184
1656727200000,3.328,3.35,3.262,3.278,422885.7,1393579.8312
1656730800000,3.278,3.287,3.245,3.265,268097.1,875310.7345
1656734400000,3.265,3.295,3.257,3.288,172869.8,566729.3147
1656738000000,3.288,3.311,3.282,3.287,139044.5,458035.351
1656741600000,3.287,3.307,3.275,3.289,121758.4,400777.8984
