ts_ms,open,high,low,close,volume,turnover
1656633600000,0.546,0.568,0.5385,0.563,3838050.4,2137187.7186
1656637200000,0.563,0.5725,0.561,0.5675,1365722,773792.811
1656640800000,0.5675,0.571,0.562,0.5645,886197,501705.98905
1656644400000,0.5645,0.5645,0.5425,0.544,1312584.3,727926.79825
1656648000000,0.544,0.5445,0.5255,0.5275,2293000.5,1227852.4455
1656651600000,0.5275,0.5365,0.5265,0.5345,738874,393317.6973
1656655200000,0.5345,0.5425,0.531,0.533,1200846.5,643070.23945
1656658800000,0.533,0.549,0.531,0.548,1473752.1,799805.7318
1656662400000,0.548,0.55,0.5365,0.539,1025372.1,558043.85605
1656666000000,0.539,0.541,0.5335,0.535,901687.6,484338.3902
1656669600000,0.535,0.539,0.526,0.529,2412075,1282434.8029
1656673200000,0.529,0.5355,0.525,0.532,813462.7,431897.28245
1656676800000,0.532,0.535,0.526,0.5265,1090874.7,580205.51305
1656680400000,0.5265,0.5365,0.5245,0.5325,1402130.2,744379.6781
1656684000000,0.5325,0.5345,0.517,0.5275,3090261.1,1627691.3347
1656687600000,0.5275,0.532,0.5215,0.5255,1193095.7,629591.3682
1656691200000,0.5255,0.5355,0.523,0.5295,806644.7,428418.5461
1656694800000,0.5295,0.5345,0.5275,0.532,590930.1,314132.32695
1656698400000,0.532,0.533,0.5285,0.5305,666708.5,354011.35045
1656702000000,0.5305,0.5335,0.5255,0.529,600849.7,318040.55555
1656705600000,0.529,0.5395,0.5285,0.5315,945854.2,506695.91485
1656709200000,0.5315,0.5365,0.5275,0.532,260069.1,138301.36295
1656712800000,0.532,0.5345,0.527,0.5275,467184.3,247793.951
1656716400000,0.5275,0.537,0.5245,0.5295,553710.6,293567.1087
1656720000000,0.5295,0.538,0.5255,0.5315,582983.9,310245.92725
1656723600000,0.5315,0.5475,0.5305,0.5385,1163924,630363.0054
1656727200000,0.5385,0.54,0.5225,0.5255,710525,376646.2599
1656730800000,0.5255,0.5285,0.509,0.517,1595918.4,824359.8662
1656734400000,0.517,0.523,0.517,0.522,478940.3,249414.8124
1656738000000,0.522,0.527,0.521,0.5235,467891.4,245269.9635
1656741600000,0.5235,0.528,0.5205,0.5205,307363.4,160957.5141
1656745200000,0.5205,0.5285,0.519,0.52,489491.3,256537.10065
1656748800000,0.52,0.5225,0.5185,0.52,234267.1,121976.78475
1656752400000,0.52,0.5285,0.516,0.5265,573785.5,300354.248
1656756000000,0.5265,0.5295,0.523,0.5275,533697.4,281220.94765
1656759600000,0.5275,0.5275,0.5205,0.523,323005.2,169302.40315
1656763200000,0.523,0.5315,0.522,0.528,772129.4,407335.708
1656766800000,0.528,0.5285,0.5245,0.5265,329483.3,173524.648
1656770400000,0.5265,0.533,0.526,0.5275,522603.9,276959.65855
1656774000000,0.5275,0.5295,0.518,0.523,630794.7,329712.7911
1656777600000,0.523,0.528,0.5205,0.5265,399829.6,210073.7543
1656781200000,0.5265,0.53,0.5245,0.525,370778.7,195420.3326
1656784800000,0.525,0.5315,0.525,0.529,420052.6,221511.20455
1656788400000,0.529,0.5305,0.5195,0.521,514742.6,269477.08825
1656792000000,0.521,0.523,0.5195,0.521,261258,135993.6942
1656795600000,0.521,0.5275,0.521,0.527,229201.9,120098.9522
1656799200000,0.527,0.5285,0.526,0.5275,244648,128922.56795
1656802800000,0.5275,0.5275,0.524,0.524,158032.7,83050.8409
1656806400000,0.524,0.5285,0.52,0.528,370804.3,194056.6734
1656810000000,0.528,0.53,0.5215,0.5235,496234.3,261038.9274
1656813600000,0.5235,0.53,0.5225,0.5285,290627.8,153191.3789
1656817200000,0.5285,0.5305,0.527,0.5285,262202.4,138740.29635
1656820800000,0.5285,0.5345,0.5165,0.528,1352640.3,711690.7108
1656824400000,0.528,0.5335,0.521,0.521,1322336.1,697733.3817
1656828000000,0.521,0.5285,0.521,0.526,621362.2,326294.69005
1656831600000,0.526,0.5265,0.5225,0.5255,272669.1,142998.2623
1656835200000,0.5255,0.5265,0.521,0.524,708868.3,371568.0457
1656838800000,0.524,0.524,0.5155,0.52,884559.3,458572.78505
1656842400000,0.52,0.522,0.518,0.5205,389376.4,202552.2016
1656846000000,0.5205,0.522,0.5195,0.5215,172708,90016.5755
1656849600000,0.5215,0.5225,0.5125,0.517,443912.3,229595.3723
1656853200000,0.517,0.517,0.51,0.5125,680595.5,348649.16775
1656856800000,0.5125,0.5175,0.511,0.516,635597.2,327954.83475
1656860400000,0.516,0.5185,0.5145,0.516,258629.5,133532.1881
1656864000000,0.516,0.519,0.515,0.5155,412913.1,213363.6747
