ts_ms,open_interest
1672531200000,5410620.70000000
1672534800000,5515316.40000000
1672538400000,5556481.40000000
1672542000000,5602417.00000000
1672545600000,5572600.50000000
1672549200000,5381122.80000000
1672552800000,5281269.20000000
1672556400000,5315188.80000000
1672560000000,5322339.59999999
1672563600000,5353196.90000000
1672567200000,5508169.00000000
1672570800000,5546291.70000000
1672574400000,5505856.30000000
1672578000000,5580870.30000000
1672581600000,5479846.50000000
1672585200000,5487172.50000000
1672588800000,5382634.70000000
1672592400000,5326531.30000000
1672596000000,5326554.40000000
1672599600000,5329926.00000000
1672603200000,5302697.70000000
1672606800000,5252287.00000000
1672610400000,5249068.20000000
1672614000000,5230741.90000000
1672617600000,5222887.20000000
1672621200000,5233692.90000000
1672624800000,5088503.40000000
1672628400000,5056879.20000000
1672632000000,5087808.50000000
1672635600000,5175081.20000000
1672639200000,5201550.30000000
1672642800000,5230747.59999999
1672646400000,4216501.50000000
1672650000000,4506175.20000000
1672653600000,4595736.80000000
1672657200000,4724437.20000000
1672660800000,4858816.20000000
1672664400000,4783639.70000000
1672668000000,4866149.09999999
1672671600000,4942454.09999999
1672675200000,4919517.40000000
1672678800000,4986980.70000000
1672682400000,4998606.90000000
1672686000000,5015875.40000000
1672689600000,4649846.80000000
1672693200000,4855724.90000000
1672696800000,4740105.70000000
1672700400000,4745207.70000000
1672704000000,4795975.70000000
1672707600000,4849641.50000000
1672711200000,4775500.80000000
1672714800000,4819012.70000000
1672718400000,4857177.50000000
1672722000000,4859120.59999999
1672725600000,4962082.90000000
1672729200000,5089853.40000000
1672732800000,5279596.59999999
1672736400000,5407038.09999999
1672740000000,5587603.30000000
1672743600000,5784162.80000000
1672747200000,6011491.60000000
1672750800000,5966071.70000000
1672754400000,6162996.70000000
1672758000000,6227256.40000000
1672761600000,6623265.70000000
1672765200000,5999438.60000000
1672768800000,5938636.80000000
1672772400000,5916117.30000000
1672776000000,5976929.30000000
1672779600000,5991992.60000000
1672783200000,6121523.30000000
1672786800000,6077225.50000000
1672790400000,6206513.10000000
1672794000000,6532578.00000000
1672797600000,6466082.90000000
1672801200000,6674559.70000000
1672804800000,6369397.40000000
1672808400000,6216640.70000000
1672812000000,6257880.10000000
1672815600000,6471132.10000000
1672819200000,6299402.50000000
1672822800000,6594720.20000000
1672826400000,6882485.80000000
1672830000000,6920510.30000000
1672833600000,6899072.80000000
1672837200000,7089983.50000000
1672840800000,6989382.30000000
1672844400000,6822053.50000000
1672848000000,6786616.30000000
1672851600000,6173218.30000000
1672855200000,6034347.70000000
1672858800000,5930812.20000000
1672862400000,5741132.30000000
1672866000000,5645129.50000000
1672869600000,5642043.10000000
1672873200000,5616564.70000000
1672876800000,5652023.40000000
1672880400000,5644605.60000000
1672884000000,5586654.80000000
1672887600000,5555659.80000000
1672891200000,5604926.30000000
1672894800000,5641512.90000000
1672898400000,5698826.30000000
1672902000000,5743994.10000000
1672905600000,5785776.60000000
1672909200000,5954164.70000000
1672912800000,5923584.60000000
1672916400000,5906478.00000000
1672920000000,5890136.90000000
1672923600000,6004347.00000000
1672927200000,5988374.00000000
1672930800000,5960407.20000000
1672934400000,6021692.90000000
1672938000000,6010891.10000000
1672941600000,6061387.70000000
1672945200000,6066090.20000000
1672948800000,5999879.10000000
1672952400000,6078850.80000000
1672956000000,6016732.20000000
1672959600000,6061850.00000000
1672963200000,6179136.30000000
1672966800000,6141162.20000000
1672970400000,6153401.30000000
1672974000000,6054649.40000000
1672977600000,6069569.40000000
1672981200000,6081658.50000000
1672984800000,6142430.40000000
1672988400000,6143255.90000000
1672992000000,6093271.60000000
1672995600000,6237090.30000000
1672999200000,6271242.80000000
1673002800000,6066401.00000000
1673006400000,6133837.10000000
1673010000000,6126501.90000000
1673013600000,5820805.60000000
1673017200000,5916552.50000000
1673020800000,5940479.60000000
1673024400000,5849527.80000000
1673028000000,5904584.30000000
1673031600000,5673984.60000000
1673035200000,5630413.50000000
1673038800000,5475421.20000000
1673042400000,5519302.00000000
1673046000000,5503750.20000000
1673049600000,5568583.30000000
1673053200000,5567881.90000000
1673056800000,5550289.90000000
1673060400000,5543302.00000000
1673064000000,5577429.50000000
1673067600000,5560283.20000000
1673071200000,5568978.90000000
1673074800000,5553628.80000000
1673078400000,5585776.09999999
1673082000000,5536334.80000000
1673085600000,5652707.70000000
1673089200000,5754698.90000000
1673092800000,5696454.60000000
1673096400000,5764852.50000000
1673100000000,5705703.00000000
1673103600000,5690642.50000000
1673107200000,5671799.60000000
1673110800000,5693179.10000000
1673114400000,5755628.90000000
1673118000000,5802065.60000000
1673121600000,5776321.20000000
1673125200000,5740525.30000000
1673128800000,5684177.20000000
1673132400000,5568627.50000000
1673136000000,5509611.80000000
1673139600000,5288111.59999999
1673143200000,5368350.50000000
1673146800000,5570166.90000000
1673150400000,5692025.00000000
1673154000000,5545389.40000000
1673157600000,5532668.70000000
1673161200000,5627125.40000000
1673164800000,5669139.80000000
1673168400000,5561697.70000000
