ts_ms,oi
1704060000000,3679527.2
1704063600000,3616309.8
1704067200000,3664902.0
1704070800000,3610562.5
1704074400000,3555537.9
1704078000000,3557666.3
1704081600000,3571278.9
1704085200000,3592528.6
1704088800000,3586119.4
1704092400000,3583165.7
1704096000000,3591741.3
1704099600000,3620050.3
1704103200000,3632045.0
1704106800000,3608093.0
1704110400000,3638843.2
1704114000000,3599091.7
1704117600000,3618058.1
1704121200000,3617476.7
1704124800000,3602272.9
1704128400000,3612234.1
1704132000000,3609160.2
1704135600000,3619760.3
1704139200000,3605967.6
1704142800000,3573573.4
1704146400000,3631356.7
1704150000000,3594917.9
1704153600000,3657859.9
1704157200000,3636919.3
1704160800000,3610462.8
1704164400000,3616860.0
1704168000000,3609835.4
1704171600000,3658981.1
1704175200000,3654385.8
1704178800000,3645727.4
1704182400000,3656005.5
1704186000000,3666120.0
1704189600000,3637821.8
1704193200000,3615033.8
1704196800000,3570908.3
1704200400000,3593355.0
1704204000000,3605986.7
1704207600000,3558877.4
1704211200000,3546155.6
1704214800000,3595215.5
1704218400000,3638677.6
1704222000000,3655657.8
1704225600000,3626355.5
1704229200000,3683065.7
1704232800000,3703978.3
1704236400000,3693434.0
1704240000000,3672268.2
1704243600000,3683266.0
1704247200000,3678743.6
1704250800000,3687091.0
1704254400000,3685569.3
1704258000000,3683925.8
1704261600000,3759559.8
1704265200000,3741142.6
1704268800000,3718487.5
1704272400000,3726661.7
1704276000000,3727787.1
1704279600000,3749650.6
1704283200000,3623367.3
1704286800000,2997503.8
1704290400000,2959973.6
1704294000000,2919830.6
1704297600000,2915818.5
1704301200000,2908680.5
1704304800000,2919314.1
1704308400000,2920905.8
1704312000000,2949636.2
1704315600000,2957134.2
1704319200000,2938431.0
1704322800000,2918436.8
1704326400000,2927805.1
1704330000000,2950340.7
1704333600000,2955191.0
1704337200000,2969590.0
1704340800000,2965579.9
1704344400000,2985155.5
1704348000000,2990641.9
1704351600000,2995770.0
1704355200000,2985947.0
1704358800000,2987832.6
1704362400000,3010953.7
1704366000000,3022249.4
1704369600000,3021500.4
1704373200000,3020783.1
1704376800000,2984184.0
1704380400000,2996648.6
1704384000000,3006188.2
1704387600000,2983961.3
1704391200000,2996381.3
1704394800000,3013814.6
1704398400000,3004219.1
1704402000000,3013671.9
1704405600000,2983655.4
1704409200000,2956180.0
1704412800000,2958685.9
1704416400000,2911357.4
1704420000000,2822724.9
1704423600000,2860606.4
1704427200000,2879324.3
1704430800000,2874104.2
1704434400000,2889270.0
1704438000000,2926936.3
1704441600000,2958585.3
1704445200000,3002399.2
1704448800000,3010717.9
1704452400000,2989886.5
1704456000000,3011289.3
1704459600000,3018034.9
1704463200000,3009182.3
1704466800000,2996177.9
1704470400000,3020374.7
1704474000000,2998754.5
1704477600000,2964429.5
1704481200000,2960787.7
1704484800000,2956401.8
1704488400000,2954565.4
1704492000000,2961202.7
1704495600000,2964936.3
1704499200000,2968748.2
1704502800000,2959164.9
1704506400000,2938004.4
1704510000000,2948147.4
1704513600000,2957753.6
1704517200000,2947717.7
1704520800000,2926612.5
1704524400000,2984686.0
1704528000000,3011750.3
1704531600000,2996432.1
1704535200000,2992891.2
1704538800000,3001872.1
1704542400000,3003044.7
1704546000000,3007099.6
1704549600000,3011948.7
1704553200000,2985722.8
1704556800000,2989320.6
1704560400000,2998083.1
1704564000000,2981813.8
1704567600000,2997139.1
1704571200000,2974470.8
1704574800000,2988042.9
1704578400000,3050062.3
1704582000000,3063142.7
1704585600000,3059209.6
1704589200000,3047723.9
1704592800000,3074828.1
1704596400000,3087397.5
1704600000000,3091553.0
1704603600000,3088093.0
1704607200000,3068168.0
1704610800000,3064111.0
1704614400000,3072062.8
1704618000000,3049826.8
1704621600000,3057753.1
1704625200000,3073038.0
1704628800000,3060502.0
1704632400000,3071361.3
1704636000000,3066895.7
1704639600000,3047627.6
1704643200000,3018320.3
1704646800000,3029163.3
1704650400000,3033022.4
1704654000000,3056969.7
1704657600000,3053426.9
1704661200000,3015506.3
1704664800000,3018931.6
1704668400000,2939483.8
1704672000000,2943316.5
1704675600000,2972521.1
1704679200000,3003594.5
1704682800000,2991876.0
1704686400000,2920997.4
1704690000000,2937031.9
1704693600000,2939473.8
1704697200000,2934057.3
1704700800000,2922698.2
1704704400000,2937393.3
1704708000000,2942742.1
1704711600000,2960524.7
1704715200000,2943808.5
1704718800000,2941072.6
1704722400000,2930595.6
1704726000000,2933224.0
1704729600000,2939821.9
1704733200000,2918447.1
1704736800000,2927930.3
1704740400000,2902101.6
1704744000000,2832085.0
1704747600000,2861094.1
1704751200000,2878291.7
1704754800000,2889891.1
1704758400000,2844586.9
1704762000000,2841371.5
1704765600000,2827414.8
1704769200000,2856267.3
1704772800000,2894984.9
1704776400000,2944724.0
1704780000000,2916842.9
1704783600000,2919305.0
1704787200000,2980827.6
1704790800000,3028757.6
1704794400000,3081828.8
1704798000000,3052217.0
1704801600000,3109333.2
1704805200000,2968954.7
1704808800000,3038590.3
1704812400000,2955968.0
1704816000000,2947095.7
1704819600000,2922030.5
1704823200000,2881544.5
1704826800000,2905514.0
1704830400000,2895217.6
1704834000000,2858385.3
1704837600000,2805432.4
1704841200000,2812567.1
1704844800000,2800174.0
1704848400000,2798748.29999999
1704852000000,2817041.5
1704855600000,2815527.4
1704859200000,2860680.8
1704862800000,2852669.7
1704866400000,2851949.6
1704870000000,2805787.5
1704873600000,2810223.6
1704877200000,2840263.8
1704880800000,2862439.5
1704884400000,2906059.4
1704888000000,2915016.8
1704891600000,2863952.0
1704895200000,2883463.6
1704898800000,2890288.6
1704902400000,2873858.3
1704906000000,2871890.9
1704909600000,2871245.4
1704913200000,2869559.9
1704916800000,2857086.1
1704920400000,2846900.6
1704924000000,2853314.6
1704927600000,2984295.5
1704931200000,2964446.0
1704934800000,2997088.3
1704938400000,2981164.6
1704942000000,2997324.0
1704945600000,3017747.3
1704949200000,3056446.8
1704952800000,2993068.7
1704956400000,2995683.7
1704960000000,3047182.4
1704963600000,3081906.0
1704967200000,3084428.5
1704970800000,3204937.8
1704974400000,3383469.5
1704978000000,3399536.2
1704981600000,3544072.8
1704985200000,3424847.4
1704988800000,3245045.6
1704992400000,3189685.5
1704996000000,3198795.9
1704999600000,3199223.9
1705003200000,3207024.4
1705006800000,3189271.0
1705010400000,3175081.3
1705014000000,3161729.4
1705017600000,3151355.8
1705021200000,3147245.0
1705024800000,3160117.3
1705028400000,3175291.8
1705032000000,3207610.9
1705035600000,3225943.8
1705039200000,3252730.7
1705042800000,3260185.2
1705046400000,3274563.4
1705050000000,3302143.7
1705053600000,3319853.8
1705057200000,3339466.0
1705060800000,3371918.7
1705064400000,3335015.5
1705068000000,3351365.5
1705071600000,3318434.8
1705075200000,3336930.4
1705078800000,3303250.5
1705082400000,3311468.3
1705086000000,3287775.7
1705089600000,3281319.4
1705093200000,3276255.2
1705096800000,3234128.5
1705100400000,3140026.3
1705104000000,3153506.5
1705107600000,3149998.6
1705111200000,3183193.7
1705114800000,3196314.7
1705118400000,3204452.3
1705122000000,3207019.3
1705125600000,3217992.9
1705129200000,3189956.3
1705132800000,3168575.8
1705136400000,3183929.8
1705140000000,3170151.5
1705143600000,3159795.5
1705147200000,3151651.8
1705150800000,3174671.4
1705154400000,3182083.3
1705158000000,3184152.5
1705161600000,3172166.1
1705165200000,3171208.9
1705168800000,3162863.5
1705172400000,3171417.8
1705176000000,3155136.0
1705179600000,3159593.3
1705183200000,3141691.0
1705186800000,3175946.4
1705190400000,3171214.9
1705194000000,3105208.8
1705197600000,3103797.6
1705201200000,3092633.9
1705204800000,3118195.0
1705208400000,3115983.7
1705212000000,3145349.2
1705215600000,3133702.4
1705219200000,3092763.7
1705222800000,3102267.0
1705226400000,3108789.1
1705230000000,3110140.4
1705233600000,3120440.8
1705237200000,3117343.3
1705240800000,3116010.8
1705244400000,3111722.0
1705248000000,3133556.0
1705251600000,3153219.6
1705255200000,3151466.3
1705258800000,3136597.4
1705262400000,3170533.7
1705266000000,3173591.3
1705269600000,3163045.8
1705273200000,3126634.0
1705276800000,3114256.0
1705280400000,3131506.5
1705284000000,3108670.2
1705287600000,3121044.5
1705291200000,3084714.0
1705294800000,3089166.1
1705298400000,3096066.0
1705302000000,3079429.3
1705305600000,3091449.6
1705309200000,3100681.7
1705312800000,3117282.0
1705316400000,3115780.8
1705320000000,3123827.1
1705323600000,3144307.0
1705327200000,3129333.4
1705330800000,3112805.6
1705334400000,3127124.8
1705338000000,3140914.0
1705341600000,3149421.6
1705345200000,3112068.0
1705348800000,3190227.5
1705352400000,3168049.9
1705356000000,3163714.5
1705359600000,3140359.2
1705363200000,3179592.9
1705366800000,3184782.3
1705370400000,3183431.1
1705374000000,3181769.7
1705377600000,3226785.7
1705381200000,3232539.4
1705384800000,3242972.7
1705388400000,3251249.0
1705392000000,3204677.1
1705395600000,3223683.4
1705399200000,3229434.6
1705402800000,3212528.8
1705406400000,3210871.3
1705410000000,3224758.2
1705413600000,3195271.0
1705417200000,3189522.9
1705420800000,3260491.1
1705424400000,3225862.7
1705428000000,3218988.2
1705431600000,3221314.8
1705435200000,3212641.9
1705438800000,3213454.5
1705442400000,3212702.1
1705446000000,3214555.9
1705449600000,3192935.8
1705453200000,3238363.3
1705456800000,3266029.0
1705460400000,3268891.0
1705464000000,3276508.5
1705467600000,3286816.3
1705471200000,3267180.1
1705474800000,3256908.7
1705478400000,3305245.2
1705482000000,3324108.2
1705485600000,3348032.0
1705489200000,3492566.8
1705492800000,3589245.8
1705496400000,3638482.1
1705500000000,3615010.6
1705503600000,3608698.4
1705507200000,3595167.5
1705510800000,3621372.9
1705514400000,3574585.4
1705518000000,3644036.0
1705521600000,3689913.7
1705525200000,3777904.8
1705528800000,3831990.6
1705532400000,3752829.6
1705536000000,3737093.7
1705539600000,3720624.2
1705543200000,3663501.6
1705546800000,3704693.8
1705550400000,3707675.1
1705554000000,3737366.0
1705557600000,3759864.3
1705561200000,3760088.1
1705564800000,3793273.9
1705568400000,3813957.9
1705572000000,3814133.6
1705575600000,3719408.3
1705579200000,3675278.4
1705582800000,3632853.4
1705586400000,3653326.0
1705590000000,3718231.7
1705593600000,3713143.0
1705597200000,3601473.2
1705600800000,3649504.8
1705604400000,3640256.6
1705608000000,3563009.0
1705611600000,3562967.1
1705615200000,3585546.8
1705618800000,3560928.9
1705622400000,3539867.7
1705626000000,3530671.3
1705629600000,3491965.8
1705633200000,3492542.4
1705636800000,3478064.3
1705640400000,3487120.4
1705644000000,3483393.2
1705647600000,3469969.6
1705651200000,3472466.8
1705654800000,3486082.1
1705658400000,3491983.5
1705662000000,3492124.8
1705665600000,3496299.4
1705669200000,3482492.9
1705672800000,3457110.2
1705676400000,3493060.2
1705680000000,3493482.9
1705683600000,3452481.1
1705687200000,3403989.9
1705690800000,3360943.5
1705694400000,3361742.7
1705698000000,3313624.3
1705701600000,3310845.8
1705705200000,3312106.9
1705708800000,3305267.0
1705712400000,3303569.1
1705716000000,3300252.4
1705719600000,3297284.3
1705723200000,3298922.5
1705726800000,3299110.0
1705730400000,3313569.4
1705734000000,3309903.0
1705737600000,3300136.4
1705741200000,3329005.8
1705744800000,3339268.2
1705748400000,3363698.9
1705752000000,3362043.2
1705755600000,3380181.8
1705759200000,3391157.2
1705762800000,3406451.5
1705766400000,3382284.2
1705770000000,3361762.5
1705773600000,3357574.6
1705777200000,3334292.6
1705780800000,3341427.6
1705784400000,3353727.7
1705788000000,3421357.5
1705791600000,3404295.5
1705795200000,3399067.1
1705798800000,3361565.4
1705802400000,3364292.3
1705806000000,3352302.0
1705809600000,3337464.2
1705813200000,3347151.4
1705816800000,3356750.9
1705820400000,3362486.5
1705824000000,3395857.7
1705827600000,3406095.5
1705831200000,3408512.0
1705834800000,3391919.6
1705838400000,3366058.3
1705842000000,3361439.1
1705845600000,3348582.4
1705849200000,3335436.8
1705852800000,3305418.8
1705856400000,3321257.1
1705860000000,3323647.5
1705863600000,3356705.2
1705867200000,3366450.6
1705870800000,3370901.4
1705874400000,3361056.9
1705878000000,3340565.7
1705881600000,3355725.3
1705885200000,3344292.3
1705888800000,3350140.6
1705892400000,3347494.2
1705896000000,3343572.9
1705899600000,3362505.1
1705903200000,3363173.7
1705906800000,3370227.0
1705910400000,3352370.4
1705914000000,3404178.5
1705917600000,3455418.5
1705921200000,3443575.7
1705924800000,3458715.3
1705928400000,3490238.1
1705932000000,3482979.8
1705935600000,3483451.0
1705939200000,3476774.0
1705942800000,3503907.9
1705946400000,3511799.4
1705950000000,3496003.3
1705953600000,3477009.1
1705957200000,3393717.1
1705960800000,3421617.3
1705964400000,3437249.1
1705968000000,3457508.2
1705971600000,3436055.0
1705975200000,3398223.1
1705978800000,3429129.8
1705982400000,3429371.5
1705986000000,3412420.7
1705989600000,3415523.7
1705993200000,3448867.0
1705996800000,3447163.4
1706000400000,3463856.3
1706004000000,3521991.3
1706007600000,3499855.2
1706011200000,3513973.9
1706014800000,3500683.4
1706018400000,3513736.0
1706022000000,3534112.7
1706025600000,3407781.5
1706029200000,3372865.1
1706032800000,3277194.4
1706036400000,3219746.5
1706040000000,3244392.2
1706043600000,3221359.0
1706047200000,3187419.1
1706050800000,3163129.6
1706054400000,3165425.2
1706058000000,3177305.6
1706061600000,3186310.1
1706065200000,3201487.1
1706068800000,3174586.4
1706072400000,3201573.5
1706076000000,3208949.9
1706079600000,3206824.9
1706083200000,3223465.8
1706086800000,3221744.7
1706090400000,3236213.2
1706094000000,3299201.9
1706097600000,3352069.5
1706101200000,3322212.9
1706104800000,3319506.2
1706108400000,3312529.9
1706112000000,3322826.9
1706115600000,3267571.2
1706119200000,3262393.1
1706122800000,3216775.4
1706126400000,3220351.0
1706130000000,3180698.1
1706133600000,3194190.2
1706137200000,3190041.4
1706140800000,3194635.2
1706144400000,3201998.8
1706148000000,3179740.6
1706151600000,3183170.2
1706155200000,3263398.4
1706158800000,3266530.8
1706162400000,3231052.4
1706166000000,3194166.0
1706169600000,3205320.6
1706173200000,3199355.2
1706176800000,3190260.9
1706180400000,3255525.6
1706184000000,3236148.5
1706187600000,3226806.7
1706191200000,3216158.8
1706194800000,3227398.1
1706198400000,3184463.7
1706202000000,3197326.8
1706205600000,3204189.9
1706209200000,3169709.8
1706212800000,3269216.0
1706216400000,3228169.3
1706220000000,3228254.0
1706223600000,3164644.3
1706227200000,3145205.1
1706230800000,3163298.7
1706234400000,3170171.9
1706238000000,3201354.2
1706241600000,3210613.0
1706245200000,3202909.9
1706248800000,3207953.1
1706252400000,3193422.8
1706256000000,3171481.9
1706259600000,3230171.2
1706263200000,3191388.7
1706266800000,3159977.1
1706270400000,3238429.3
1706274000000,3215976.1
1706277600000,3232684.5
1706281200000,3280716.8
1706284800000,3285091.8
1706288400000,3271368.4
1706292000000,3303273.1
1706295600000,3301555.1
1706299200000,3331855.1
1706302800000,3303319.1
1706306400000,3262300.9
1706310000000,3256849.5
1706313600000,3265966.5
1706317200000,3270782.7
1706320800000,3269435.8
1706324400000,3266697.0
1706328000000,3240294.1
1706331600000,3254223.9
1706335200000,3222969.4
1706338800000,3243568.3
1706342400000,3209091.9
1706346000000,3220474.1
1706349600000,3263998.3
1706353200000,3294061.9
1706356800000,3297696.2
1706360400000,3308474.5
1706364000000,3350743.4
1706367600000,3357983.2
1706371200000,3331703.2
1706374800000,3294490.9
1706378400000,3308339.1
1706382000000,3354291.1
1706385600000,3363049.5
1706389200000,3369068.3
1706392800000,3339444.0
1706396400000,3349027.2
1706400000000,3372785.7
1706403600000,3354035.8
1706407200000,3340225.5
1706410800000,3366095.8
1706414400000,3337671.9
1706418000000,3367231.6
1706421600000,3341789.5
1706425200000,3363462.3
1706428800000,3379703.0
1706432400000,3404614.5
1706436000000,3439939.4
1706439600000,3447462.4
1706443200000,3460762.9
1706446800000,3468894.1
1706450400000,3508246.3
1706454000000,3528874.9
1706457600000,3519055.8
1706461200000,3525552.5
1706464800000,3480026.1
1706468400000,3483018.2
1706472000000,3475598.5
1706475600000,3413015.9
1706479200000,3420443.5
1706482800000,3419059.0
1706486400000,3425048.9
1706490000000,3430023.9
1706493600000,3434600.8
1706497200000,3449887.7
1706500800000,3453828.3
1706504400000,3420144.7
1706508000000,3417349.9
1706511600000,3518268.8
1706515200000,3523855.7
1706518800000,3556832.3
1706522400000,3563537.8
1706526000000,3593901.3
1706529600000,3633680.1
1706533200000,3637508.3
1706536800000,3662082.4
1706540400000,3660137.7
1706544000000,3683319.9
1706547600000,3685868.2
1706551200000,3726771.8
1706554800000,3670462.5
1706558400000,3659527.0
1706562000000,3670735.7
1706565600000,3644800.2
1706569200000,3643228.7
1706572800000,3619315.8
1706576400000,3636755.5
1706580000000,3617834.3
1706583600000,3594429.0
1706587200000,3597285.2
1706590800000,3607834.2
1706594400000,3618353.8
1706598000000,3651133.7
1706601600000,3677780.4
1706605200000,3685085.5
1706608800000,3702439.2
1706612400000,3701221.9
1706616000000,3735724.7
1706619600000,3688985.5
1706623200000,3702485.6
1706626800000,3731914.1
1706630400000,3715144.1
1706634000000,3729082.3
1706637600000,3692957.8
1706641200000,3675399.7
1706644800000,3677606.4
1706648400000,3650937.4
1706652000000,3703673.8
1706655600000,3656812.0
1706659200000,3662820.7
1706662800000,3581575.2
1706666400000,3556363.9
1706670000000,3529670.3
1706673600000,3512450.8
1706677200000,3479726.7
1706680800000,3505530.7
1706684400000,3526543.8
1706688000000,3519227.0
1706691600000,3537256.7
1706695200000,3468411.4
1706698800000,3459652.7
1706702400000,3461535.0
1706706000000,3481848.3
1706709600000,3466695.5
1706713200000,3471626.4
1706716800000,3479519.8
1706720400000,3512467.5
1706724000000,3545297.9
1706727600000,3539407.6
1706731200000,3479626.9
1706734800000,3437768.3
1706738400000,3451893.2
1706742000000,3445144.0
1706745600000,3448932.5
1706749200000,3470561.3
1706752800000,3478365.7
1706756400000,3532980.8
1706760000000,3552327.0
1706763600000,3538280.9
1706767200000,3534748.1
1706770800000,3513706.1
1706774400000,3469510.2
1706778000000,3462351.6
1706781600000,3486437.3
1706785200000,3520996.4
1706788800000,3494100.5
1706792400000,3492519.5
1706796000000,3462280.2
1706799600000,3433457.6
1706803200000,3403964.5
1706806800000,3410276.8
1706810400000,3419611.9
1706814000000,3415228.6
1706817600000,3367432.0
1706821200000,3356751.2
1706824800000,3347754.8
1706828400000,3357466.4
